"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"Ealing 034","E02000271",5637,5243,11,7,5,5,366
2021,"Ealing 035","E02000272",5360,4909,9,3,4,5,430
2021,"Ealing 038","E02000275",6562,5831,62,17,15,2,635
2021,"Ealing 039","E02000276",5419,4984,26,8,5,9,387
2021,"Enfield 001","E02000277",5727,5214,60,11,5,3,434
2021,"Enfield 002","E02000278",7154,6445,52,10,11,3,633
2021,"Enfield 003","E02000279",9081,8173,65,39,27,5,772
2021,"Enfield 004","E02000280",6738,6215,16,12,14,3,478
2021,"Enfield 005","E02000281",7376,6750,35,22,7,5,557
2021,"Enfield 006","E02000282",7160,6392,60,16,15,6,671
2021,"Enfield 007","E02000283",6499,5788,42,16,22,4,627
2021,"Enfield 008","E02000284",6913,6499,14,14,4,2,380
2021,"Enfield 009","E02000285",5374,5066,10,5,1,1,291
2021,"Enfield 010","E02000286",7076,6625,15,12,6,3,415
2021,"Enfield 011","E02000287",6019,5563,31,5,8,2,410
2021,"Enfield 012","E02000288",9489,8353,75,22,37,5,997
2021,"Enfield 013","E02000289",5469,5114,7,4,4,4,336
2021,"Enfield 014","E02000290",4850,4230,57,23,15,1,524
2021,"Enfield 015","E02000291",8044,7321,45,15,12,5,646
2021,"Enfield 016","E02000292",7615,6906,38,12,11,9,639
2021,"Enfield 017","E02000293",5223,4900,3,5,4,3,308
2021,"Enfield 018","E02000294",7188,6409,64,18,28,0,669
2021,"Enfield 019","E02000295",6892,6275,20,7,5,5,580
2021,"Enfield 020","E02000296",8267,7321,57,8,17,6,858
2021,"Enfield 021","E02000297",7731,7159,21,4,4,1,542
2021,"Enfield 022","E02000298",6675,6193,10,12,4,2,454
2021,"Enfield 023","E02000299",7141,6177,76,16,17,2,853
2021,"Enfield 024","E02000300",6740,5995,70,16,20,4,635
2021,"Enfield 025","E02000301",7750,6769,78,31,22,6,844
2021,"Enfield 026","E02000302",6993,6497,18,4,7,5,462
2021,"Enfield 027","E02000303",6473,5746,70,27,19,1,610
2021,"Enfield 028","E02000304",6550,5967,12,7,8,2,554
2021,"Enfield 029","E02000305",7312,6655,58,9,9,3,578
2021,"Enfield 030","E02000306",6841,6001,48,19,19,4,750
2021,"Enfield 031","E02000307",7819,7021,59,12,14,2,711
2021,"Enfield 032","E02000308",7047,6380,26,8,6,5,622
2021,"Enfield 033","E02000309",8796,7693,111,30,27,1,934
2021,"Enfield 035","E02000311",8511,7626,66,16,20,3,780
2021,"Enfield 036","E02000312",9319,8427,62,9,20,9,792
2021,"Greenwich 001","E02000313",4863,4387,36,13,17,3,407
2021,"Greenwich 002","E02000314",10650,9605,54,43,34,8,906
2021,"Greenwich 003","E02000315",7288,6639,40,18,16,5,570
2021,"Greenwich 005","E02000317",5793,5288,47,9,9,7,433
2021,"Greenwich 006","E02000318",8718,7769,110,22,56,6,755
2021,"Greenwich 007","E02000319",8330,7575,67,19,14,6,649
2021,"Greenwich 008","E02000320",5478,4964,21,12,8,5,468
2021,"Greenwich 009","E02000321",5980,5332,41,13,15,2,577
2021,"Greenwich 011","E02000323",9961,9016,73,11,17,10,834
2021,"Greenwich 012","E02000324",6122,5620,31,6,8,11,446
2021,"Greenwich 014","E02000326",6276,5820,20,7,3,4,422
2021,"Greenwich 015","E02000327",5128,4717,35,7,12,4,353
2021,"Greenwich 016","E02000328",5355,4971,16,9,4,18,337
2021,"Greenwich 017","E02000329",5030,4659,12,7,11,7,334
2021,"Greenwich 019","E02000331",6480,5927,22,11,22,6,492
2021,"Greenwich 020","E02000332",5928,5411,32,12,16,4,453
2021,"Greenwich 021","E02000333",5126,4791,8,6,2,9,310
2021,"Greenwich 022","E02000334",5320,4863,14,7,6,3,427
2021,"Greenwich 023","E02000335",5284,4986,4,4,6,4,280
2021,"Greenwich 025","E02000337",6645,6179,21,9,6,4,426
2021,"Greenwich 027","E02000339",5082,4733,20,5,3,7,314
2021,"Greenwich 028","E02000340",5610,5295,11,5,5,5,289
2021,"Greenwich 029","E02000341",6044,5594,18,7,9,9,407
2021,"Greenwich 030","E02000342",5106,4679,10,4,4,6,403
2021,"Greenwich 031","E02000343",5606,5208,8,6,5,3,376
2021,"Greenwich 032","E02000344",5171,4885,6,0,4,0,276
2021,"Hackney 001","E02000345",5362,3796,26,4,3,14,1519
2021,"Hackney 002","E02000346",7515,6780,35,8,9,11,672
2021,"Hackney 003","E02000347",5505,4213,19,9,6,6,1252
2021,"Hackney 004","E02000348",5398,4169,44,6,6,1,1172
2021,"Hackney 006","E02000350",8130,7011,15,7,7,31,1059
2021,"Hackney 007","E02000351",7940,7214,29,16,6,19,656
2021,"Hackney 008","E02000352",5262,4641,13,5,5,17,581
2021,"Hackney 009","E02000353",6482,6015,15,7,5,20,420
2021,"Hackney 010","E02000354",8005,7217,34,18,17,31,688
2021,"Hackney 011","E02000355",6788,6090,34,15,20,48,581
2021,"Hackney 012","E02000356",5899,5457,11,6,5,23,397
2021,"Hackney 013","E02000357",5384,4859,39,8,10,14,454
2021,"Hackney 014","E02000358",9405,8532,45,16,18,40,754
2021,"Hackney 015","E02000359",5388,4926,24,7,4,27,400
2021,"Hackney 016","E02000360",9216,8374,61,23,22,34,702
2021,"Hackney 017","E02000361",6871,6251,29,10,11,35,535
2021,"Hackney 018","E02000362",5814,5301,30,12,9,26,436
2021,"Hackney 019","E02000363",9160,8321,54,14,16,26,729
2021,"Hackney 020","E02000364",7784,7154,20,18,15,34,543
2021,"Hackney 022","E02000366",6856,6293,23,13,7,13,507
2021,"Hackney 023","E02000367",8898,8214,37,14,14,38,581
2021,"Hackney 024","E02000368",8183,7394,38,20,9,21,701
2021,"Hackney 025","E02000369",11255,10331,46,18,22,26,812
2021,"Hackney 026","E02000370",7453,6816,35,13,8,13,568
2021,"Hammersmith and Fulham 001","E02000372",8510,7605,63,18,18,8,798
2021,"Hammersmith and Fulham 002","E02000373",5462,4863,36,12,25,6,520
2021,"Hammersmith and Fulham 003","E02000374",5627,5098,18,14,8,4,485
2021,"Hammersmith and Fulham 004","E02000375",6300,5667,37,7,9,6,574
2021,"Hammersmith and Fulham 005","E02000376",5834,5257,60,11,9,9,488
2021,"Hammersmith and Fulham 006","E02000377",6580,5960,25,8,10,12,565
2021,"Hammersmith and Fulham 007","E02000378",5579,5086,24,6,10,10,443
2021,"Hammersmith and Fulham 008","E02000379",5969,5476,21,2,9,6,455
2021,"Hammersmith and Fulham 009","E02000380",4569,4237,16,9,3,1,303
2021,"Hammersmith and Fulham 010","E02000381",6312,5795,23,10,10,6,468
2021,"Hammersmith and Fulham 011","E02000382",5261,4848,15,3,1,6,388
2021,"Hammersmith and Fulham 012","E02000383",7529,6799,12,7,7,10,694
2021,"Hammersmith and Fulham 013","E02000384",7137,6440,26,13,5,14,639
2021,"Hammersmith and Fulham 014","E02000385",5099,4694,10,4,3,5,383
2021,"Hammersmith and Fulham 015","E02000386",6443,5869,20,12,13,8,521
2021,"Hammersmith and Fulham 016","E02000387",5219,4773,15,7,9,7,408
2021,"Hammersmith and Fulham 017","E02000388",7591,7026,17,12,16,7,513
2021,"Hammersmith and Fulham 018","E02000389",7308,6796,18,7,3,4,480
2021,"Hammersmith and Fulham 019","E02000390",5290,4868,15,10,3,2,392
2021,"Hammersmith and Fulham 020","E02000391",6256,5809,11,6,12,5,413
2021,"Hammersmith and Fulham 021","E02000392",7694,7152,9,10,9,5,509
2021,"Hammersmith and Fulham 022","E02000393",4985,4649,7,4,2,5,318
2021,"Hammersmith and Fulham 023","E02000394",7722,7102,16,15,10,9,570
2021,"Hammersmith and Fulham 024","E02000395",4876,4571,3,2,4,4,292
2021,"Hammersmith and Fulham 025","E02000396",5473,5048,11,5,1,11,397
2021,"Haringey 001","E02000397",6543,5816,93,9,20,15,590
2021,"Haringey 002","E02000398",5925,5155,56,15,20,7,672
2021,"Haringey 004","E02000400",6357,5794,32,6,6,8,511
2021,"Haringey 005","E02000401",5609,5022,44,16,15,8,504
2021,"Haringey 006","E02000402",5190,4569,41,15,14,3,548
2021,"Haringey 007","E02000403",6218,5475,40,12,13,8,670
2021,"Haringey 008","E02000404",5903,5190,40,13,7,13,640
2021,"Haringey 009","E02000405",4986,4691,10,3,3,7,272
2021,"Haringey 010","E02000406",5743,4971,44,6,9,11,702
2021,"Haringey 011","E02000407",6172,5271,58,18,21,10,794
2021,"Haringey 012","E02000408",6476,5718,66,8,12,11,661
2021,"Haringey 013","E02000409",5012,4489,43,17,22,5,436
2021,"Haringey 014","E02000410",5197,4745,11,7,5,13,416
2021,"Haringey 015","E02000411",9372,8354,87,9,22,45,855
2021,"Haringey 016","E02000412",6303,5586,39,13,11,6,648
2021,"Haringey 017","E02000413",6036,5585,11,8,6,33,393
2021,"Haringey 018","E02000414",5846,5192,34,21,16,10,573
2021,"Haringey 019","E02000415",6068,5318,62,26,11,20,631
2021,"Haringey 020","E02000416",7087,6503,20,15,11,17,521
2021,"Haringey 021","E02000417",5443,5090,9,11,9,14,310
2021,"Haringey 022","E02000418",4447,4183,4,2,6,3,249
2021,"Haringey 023","E02000419",7405,6703,51,16,16,28,591
2021,"Haringey 024","E02000420",6757,5938,70,11,12,15,711
2021,"Haringey 025","E02000421",7078,6125,65,21,13,27,827
2021,"Haringey 026","E02000422",6024,5317,44,17,11,20,615
2021,"Haringey 027","E02000423",5951,5345,39,11,9,19,528
2021,"Haringey 028","E02000424",5651,5289,15,6,9,11,321
2021,"Haringey 029","E02000425",5116,3902,33,3,2,5,1171
2021,"Haringey 030","E02000426",5324,4957,10,3,5,14,335
2021,"Haringey 031","E02000427",5779,5180,44,6,6,21,522
2021,"Haringey 032","E02000428",6844,6011,37,3,14,40,739
2021,"Haringey 033","E02000429",5621,5173,3,8,4,12,421
2021,"Haringey 034","E02000430",5825,5372,10,1,2,23,417
2021,"Haringey 035","E02000431",5085,4705,7,5,4,17,347
2021,"Haringey 036","E02000432",5338,4949,14,2,7,15,351
2021,"Harrow 001","E02000433",7177,6577,17,5,5,5,568
2021,"Harrow 002","E02000434",8109,7353,38,14,13,4,687
2021,"Harrow 003","E02000435",6575,6005,31,7,8,4,520
2021,"Harrow 004","E02000436",4823,4515,15,5,1,3,284
2021,"Harrow 005","E02000437",7064,6426,27,11,14,3,583
2021,"Harrow 006","E02000438",6699,6131,36,10,12,7,503
