"date","geography","geography code","National identity: Total: All usual residents","National identity: British only identity","National identity: English only identity","National identity: English and British only identity","National identity: Welsh only identity","National identity: Welsh and British only identity","National identity: Any other combination of only UK identities","National identity: Scottish only identity","National identity: Scottish and British only identity","National identity: Northern Irish only identity","National identity: Northern Irish and British only identity","National identity: Cornish only identity","National identity: Cornish and British only identity","National identity: Any other combination of only UK identities","National identity: Irish only identity","National identity: Irish and at least one UK identity","National identity: Other identity only","National identity: Other identity and at least one UK identity","National identity: Non-UK identity only","National identity: UK identity and non-UK identity"
2021,"Brent 033","E02000125",9940,6032,505,490,20,15,130,48,25,21,8,4,1,23,219,20,1988,521,2207,541
2021,"Brent 034","E02000126",8194,5268,318,290,7,6,64,20,12,19,7,2,0,4,132,16,1710,383,1842,399
2021,"Bromley 001","E02000127",9329,5398,1468,979,10,7,47,28,12,2,0,0,0,5,57,14,1096,253,1153,267
2021,"Bromley 002","E02000128",7789,4536,1434,895,14,6,44,20,6,8,2,0,0,8,46,17,567,230,613,247
2021,"Bromley 004","E02000130",8426,5112,791,786,40,13,120,46,24,18,6,1,0,25,145,23,1058,338,1203,361
2021,"Bromley 005","E02000131",10487,6167,744,822,44,12,163,64,30,26,12,3,2,26,116,27,1918,474,2034,501
2021,"Bromley 006","E02000132",9835,5427,1117,1010,38,17,123,49,33,13,7,2,0,19,125,28,1502,448,1627,476
2021,"Bromley 007","E02000133",10753,6409,1589,1369,26,20,123,48,29,22,10,1,0,13,124,13,755,325,879,338
2021,"Bromley 008","E02000134",11748,6502,1446,1219,39,10,114,46,23,20,5,2,1,17,108,22,1847,441,1955,463
2021,"Bromley 009","E02000135",9873,5942,899,787,17,10,82,30,10,22,8,0,0,12,85,21,1673,357,1758,378
2021,"Bromley 010","E02000136",5743,3473,1066,639,11,6,40,14,9,3,3,0,0,11,21,3,360,124,381,127
2021,"Bromley 011","E02000137",8399,4844,1130,915,26,11,80,35,22,8,2,2,1,10,108,24,960,301,1068,325
2021,"Bromley 012","E02000138",8504,4818,1192,945,34,20,130,49,33,18,7,0,0,23,131,15,921,298,1052,313
2021,"Bromley 013","E02000139",7710,4553,893,895,33,15,106,31,33,14,6,1,0,21,96,31,827,261,923,292
2021,"Bromley 014","E02000140",8680,5017,1590,1065,8,3,39,14,6,3,3,0,0,13,41,1,719,197,760,198
2021,"Bromley 015","E02000141",7230,4292,844,693,18,14,69,24,18,13,4,1,0,9,86,30,923,261,1009,291
2021,"Bromley 016","E02000142",8819,5201,1208,1004,35,10,89,35,21,17,5,1,0,10,106,18,872,276,978,294
2021,"Bromley 018","E02000144",10062,5317,1082,1032,35,16,138,51,26,31,5,1,1,23,113,20,1829,480,1942,500
2021,"Bromley 019","E02000145",8824,4994,1365,1083,12,9,45,19,9,9,0,0,0,8,48,11,1019,238,1067,249
2021,"Bromley 020","E02000146",9703,5651,1363,1142,25,11,96,42,14,11,7,3,0,19,78,21,989,327,1067,348
2021,"Bromley 021","E02000147",8191,5055,1209,885,19,12,81,43,16,10,3,0,0,9,55,17,596,262,651,279
2021,"Bromley 022","E02000148",6722,3946,1217,812,19,10,55,18,19,7,1,0,0,10,48,15,412,188,460,203
2021,"Bromley 023","E02000149",8166,4501,1585,1127,9,8,35,6,12,2,4,0,0,11,44,3,636,218,680,221
2021,"Bromley 024","E02000150",8516,5173,1351,1000,33,16,70,31,12,6,3,1,0,17,123,21,518,211,641,232
2021,"Bromley 025","E02000151",7546,4191,1350,1071,11,8,84,22,25,13,3,0,0,21,103,25,470,233,573,258
2021,"Bromley 026","E02000152",7967,4694,1263,962,9,5,57,23,13,6,5,0,0,10,67,9,646,255,713,264
2021,"Bromley 027","E02000153",8108,4696,1686,1009,19,6,77,34,15,13,2,0,0,13,54,11,361,189,415,200
2021,"Bromley 028","E02000154",8528,4639,1412,1032,15,10,76,23,19,10,3,0,0,21,43,8,1008,285,1051,293
2021,"Bromley 029","E02000155",7157,3951,1531,892,5,7,47,17,9,6,3,1,0,11,56,11,482,175,538,186
2021,"Bromley 030","E02000156",12294,7332,2227,1517,26,16,120,51,30,24,7,1,0,7,130,29,646,251,776,280
2021,"Bromley 031","E02000157",8372,4626,1634,1152,15,9,83,27,25,10,5,0,0,16,30,10,538,275,568,285
2021,"Bromley 032","E02000158",7784,4422,1426,964,17,3,56,25,9,10,4,0,0,8,37,14,601,244,638,258
2021,"Bromley 033","E02000159",7118,4178,1413,885,10,11,72,30,16,13,1,1,0,11,41,6,374,128,415,134
2021,"Bromley 034","E02000160",8106,4678,1640,1075,23,14,71,28,9,13,2,0,0,19,84,8,370,143,454,151
2021,"Bromley 035","E02000161",8698,4951,1547,1088,14,11,73,40,8,6,6,0,0,13,49,15,650,300,699,315
2021,"Bromley 036","E02000162",7120,4008,1411,970,13,5,45,26,5,9,1,0,0,4,37,14,465,152,502,166
2021,"Bromley 037","E02000163",7716,4319,1527,1059,6,6,87,32,20,7,8,0,0,20,33,5,462,212,495,217
2021,"Bromley 039","E02000165",7174,4090,1643,1052,25,7,59,27,10,9,5,0,0,8,30,3,195,70,225,73
2021,"Camden 001","E02000166",7744,4735,614,640,35,11,124,49,33,15,9,2,0,16,128,34,1062,361,1190,395
2021,"Camden 002","E02000167",7198,3673,383,489,18,20,95,32,25,14,3,2,0,19,95,25,1832,568,1927,593
2021,"Camden 003","E02000168",7814,4534,538,616,29,23,147,52,32,20,14,1,0,28,156,30,1335,406,1491,436
2021,"Camden 004","E02000169",7177,3581,361,383,10,7,77,21,17,17,6,1,0,15,69,13,2142,534,2211,547
2021,"Camden 005","E02000170",7911,4123,401,546,28,12,70,22,19,15,3,1,0,10,149,15,1950,617,2099,632
2021,"Camden 006","E02000171",7394,4132,475,516,21,9,110,48,24,9,4,1,0,24,106,27,1505,493,1611,520
2021,"Camden 007","E02000172",10003,6019,794,650,26,14,117,44,13,21,8,3,0,28,175,29,1706,473,1881,502
2021,"Camden 008","E02000173",7494,3390,357,418,14,10,87,33,15,17,2,1,0,19,106,16,2476,620,2582,636
2021,"Camden 009","E02000174",8083,4706,567,550,25,15,95,38,16,23,1,1,1,15,165,33,1488,439,1653,472
2021,"Camden 010","E02000175",9079,4620,449,685,37,15,98,45,25,6,5,0,0,17,174,33,2367,601,2541,634
2021,"Camden 011","E02000176",5916,2646,299,324,16,13,68,30,14,16,2,0,0,6,89,16,1928,517,2017,533
2021,"Camden 012","E02000177",8489,4996,648,514,25,7,111,51,15,19,7,2,0,17,146,18,1601,423,1747,441
2021,"Camden 013","E02000178",8905,4739,515,521,17,9,121,45,26,30,2,3,0,15,213,38,2263,469,2476,507
2021,"Camden 014","E02000179",5749,3157,289,377,20,4,59,23,17,9,5,2,0,3,55,11,1366,411,1421,422
2021,"Camden 015","E02000180",7879,4501,460,503,26,12,122,46,29,14,11,0,0,22,111,18,1695,431,1806,449
2021,"Camden 016","E02000181",8071,3796,428,501,17,15,122,47,23,28,3,4,1,16,143,17,2350,682,2493,699
2021,"Camden 017","E02000182",7121,3538,302,307,15,8,62,23,12,11,3,1,0,12,47,4,2380,458,2427,462
2021,"Camden 018","E02000183",7590,4044,505,520,20,13,130,46,32,21,10,1,0,20,147,25,1738,448,1885,473
2021,"Camden 019","E02000184",8909,4773,534,566,21,23,109,35,25,17,7,0,0,25,117,28,2272,466,2389,494
2021,"Camden 020","E02000185",8883,5145,485,421,16,11,68,34,12,10,3,0,1,8,170,23,2109,435,2279,458
2021,"Camden 021","E02000186",6223,3166,369,428,24,5,88,43,18,6,4,0,0,17,79,11,1669,384,1748,395
2021,"Camden 022","E02000187",9784,5886,561,458,24,10,87,32,13,14,8,0,0,20,94,17,2224,423,2318,440
2021,"Camden 023","E02000188",7179,4464,416,316,17,11,47,26,5,10,4,1,0,1,58,19,1537,294,1595,313
2021,"Camden 026","E02000191",5338,2103,229,363,28,15,55,14,19,10,3,0,0,9,69,20,2066,390,2135,410
2021,"Camden 027","E02000192",6658,3795,423,322,17,11,85,34,15,20,4,0,0,12,94,10,1549,352,1643,362
2021,"Camden 028","E02000193",5960,2632,384,357,28,9,89,31,19,17,6,0,0,16,62,17,2045,337,2107,354
2021,"Croydon 001","E02000194",9213,5633,698,673,30,14,130,49,26,23,11,3,3,15,116,22,1484,413,1600,435
2021,"Croydon 002","E02000195",9648,6467,545,508,11,3,52,20,12,8,3,0,0,9,126,12,1537,387,1663,399
2021,"Croydon 003","E02000196",7916,5130,439,392,8,3,30,9,7,6,5,0,0,3,52,10,1557,295,1609,305
