"date","geography","geography code","Occupancy rating for bedrooms: Total: All households","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less"
2021,"Hackney 010","E02000354",3989,406,878,2119,451,135
2021,"Hackney 011","E02000355",3114,701,780,1330,255,48
2021,"Hackney 012","E02000356",3061,580,831,1410,209,31
2021,"Hackney 013","E02000357",2721,275,591,1417,339,99
2021,"Hackney 014","E02000358",4817,630,1201,2453,448,85
2021,"Hackney 015","E02000359",2437,544,626,964,232,71
2021,"Hackney 016","E02000360",4852,317,1100,2714,578,143
2021,"Hackney 017","E02000361",3678,318,855,2063,366,76
2021,"Hackney 018","E02000362",2805,339,697,1404,297,68
2021,"Hackney 019","E02000363",4440,351,997,2307,655,130
2021,"Hackney 020","E02000364",4098,608,1042,2083,296,69
2021,"Hackney 022","E02000366",3541,510,885,1741,337,68
2021,"Hackney 023","E02000367",4594,429,1303,2384,408,70
2021,"Hackney 024","E02000368",4152,386,1015,2173,484,94
2021,"Hackney 025","E02000369",5929,437,1590,3150,644,108
2021,"Hackney 026","E02000370",3991,300,981,2202,448,60
2021,"Hammersmith and Fulham 001","E02000372",3876,428,934,1983,436,95
2021,"Hammersmith and Fulham 002","E02000373",2537,254,543,1218,409,113
2021,"Hammersmith and Fulham 003","E02000374",2616,587,657,1072,241,59
2021,"Hammersmith and Fulham 004","E02000375",3499,387,728,1910,404,70
2021,"Hammersmith and Fulham 005","E02000376",3183,358,654,1826,294,51
2021,"Hammersmith and Fulham 006","E02000377",3445,505,758,1786,337,59
2021,"Hammersmith and Fulham 007","E02000378",3251,326,723,1898,261,43
2021,"Hammersmith and Fulham 008","E02000379",3106,701,760,1383,222,40
2021,"Hammersmith and Fulham 009","E02000380",2498,557,658,1129,126,28
2021,"Hammersmith and Fulham 010","E02000381",3547,680,850,1741,235,41
2021,"Hammersmith and Fulham 011","E02000382",2772,519,724,1296,202,31
2021,"Hammersmith and Fulham 012","E02000383",4112,461,1062,2260,285,44
2021,"Hammersmith and Fulham 013","E02000384",3809,435,882,2108,327,57
2021,"Hammersmith and Fulham 014","E02000385",2850,344,673,1641,165,27
2021,"Hammersmith and Fulham 015","E02000386",3366,349,724,1788,427,78
2021,"Hammersmith and Fulham 016","E02000387",2587,488,600,1265,194,40
2021,"Hammersmith and Fulham 017","E02000388",4134,561,1065,2221,252,35
2021,"Hammersmith and Fulham 018","E02000389",3680,1021,1095,1377,161,26
2021,"Hammersmith and Fulham 019","E02000390",2719,642,711,1181,157,28
2021,"Hammersmith and Fulham 020","E02000391",3280,984,876,1247,143,30
2021,"Hammersmith and Fulham 021","E02000392",4038,931,1062,1740,240,65
2021,"Hammersmith and Fulham 022","E02000393",2588,653,894,944,81,16
2021,"Hammersmith and Fulham 023","E02000394",4346,504,1374,2113,304,51
2021,"Hammersmith and Fulham 024","E02000395",2640,833,719,980,95,13
2021,"Hammersmith and Fulham 025","E02000396",2773,793,703,1022,208,47
2021,"Haringey 001","E02000397",3472,435,786,1736,415,100
2021,"Haringey 002","E02000398",2881,361,535,1283,552,150
2021,"Haringey 004","E02000400",3120,706,757,1193,376,88
2021,"Haringey 005","E02000401",2474,377,693,972,341,91
2021,"Haringey 006","E02000402",2426,306,599,1046,359,116
2021,"Haringey 007","E02000403",2990,469,703,1350,364,104
2021,"Haringey 008","E02000404",2665,446,687,1065,372,95
2021,"Haringey 009","E02000405",2462,1056,615,640,125,26
2021,"Haringey 010","E02000406",2595,367,707,1092,343,86
2021,"Haringey 011","E02000407",3005,380,607,1443,455,120
2021,"Haringey 012","E02000408",3001,355,691,1335,474,146
2021,"Haringey 013","E02000409",2369,355,480,1058,374,102
2021,"Haringey 014","E02000410",2614,827,671,981,120,15
2021,"Haringey 015","E02000411",3952,407,936,1852,561,196
2021,"Haringey 016","E02000412",2870,380,589,1408,381,112
2021,"Haringey 017","E02000413",2963,1012,792,982,151,26
2021,"Haringey 018","E02000414",2718,579,681,1092,294,72
2021,"Haringey 019","E02000415",2835,548,683,1205,320,79
2021,"Haringey 020","E02000416",3919,448,1019,2092,302,58
2021,"Haringey 021","E02000417",2867,902,794,1040,111,20
2021,"Haringey 022","E02000418",2208,926,598,601,67,16
2021,"Haringey 023","E02000419",3645,641,847,1690,390,77
2021,"Haringey 024","E02000420",3436,392,814,1722,412,96
2021,"Haringey 025","E02000421",3138,334,589,1582,457,176
2021,"Haringey 026","E02000422",2884,424,684,1279,398,99
2021,"Haringey 027","E02000423",2671,543,641,1143,260,84
2021,"Haringey 028","E02000424",2984,673,810,1300,159,42
2021,"Haringey 029","E02000425",2162,488,442,792,334,106
2021,"Haringey 030","E02000426",2744,908,831,864,117,24
2021,"Haringey 031","E02000427",2869,602,620,1374,212,61
2021,"Haringey 032","E02000428",2922,362,593,1397,447,123
2021,"Haringey 033","E02000429",3202,739,954,1353,139,17
2021,"Haringey 034","E02000430",3249,597,890,1591,148,23
2021,"Haringey 035","E02000431",2848,661,940,1150,91,6
2021,"Haringey 036","E02000432",2799,452,766,1372,175,34
2021,"Harrow 001","E02000433",3544,1171,1104,992,223,54
2021,"Harrow 002","E02000434",3638,1255,935,1092,274,82
2021,"Harrow 003","E02000435",2813,934,816,714,244,105
2021,"Harrow 004","E02000436",2048,1168,503,295,61,21
2021,"Harrow 005","E02000437",3089,1027,855,893,262,52
2021,"Harrow 006","E02000438",3044,889,815,990,250,100
2021,"Harrow 007","E02000439",2949,679,771,986,372,141
2021,"Harrow 008","E02000440",3054,1344,880,582,195,53
2021,"Harrow 009","E02000441",2794,856,797,879,216,46
2021,"Harrow 010","E02000442",2666,641,682,827,332,184
2021,"Harrow 011","E02000443",3546,662,894,1372,487,131
2021,"Harrow 012","E02000444",2671,849,734,699,296,93
2021,"Harrow 013","E02000445",3820,739,931,1452,527,171
2021,"Harrow 015","E02000447",2746,1054,751,711,196,34
2021,"Harrow 016","E02000448",2756,1253,745,594,129,35
2021,"Harrow 017","E02000449",2527,626,705,780,297,119
2021,"Harrow 019","E02000451",2329,1033,665,479,112,40
2021,"Harrow 020","E02000452",3452,612,805,1480,466,89
2021,"Harrow 021","E02000453",3047,840,746,1105,294,62
2021,"Harrow 022","E02000454",2524,1230,780,431,71,12
2021,"Harrow 023","E02000455",4757,618,1176,2334,534,95
