"date","geography","geography code","Multiple ethnic groups in household: Total: All households","Multiple ethnic groups in household: One-person household","Multiple ethnic groups in household: All household members have the same ethnic group","Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships","Multiple ethnic groups in household: Ethnic groups differ within partnerships","Multiple ethnic groups in household: Any other combination of multiple ethnic identities"
2021,"Havering 008","E02000471",2941,615,1962,54,217,93
2021,"Havering 009","E02000472",3527,772,2269,91,267,128
2021,"Havering 010","E02000473",4020,960,2563,77,329,91
2021,"Havering 011","E02000474",3533,1001,1978,110,299,145
2021,"Havering 012","E02000475",3958,1114,2314,97,333,100
2021,"Havering 013","E02000476",4198,1533,1976,168,384,137
2021,"Havering 014","E02000477",3715,830,2412,70,319,84
2021,"Havering 015","E02000478",2151,449,1472,36,142,52
2021,"Havering 016","E02000479",3788,1129,2020,124,367,148
2021,"Havering 017","E02000480",5013,1206,2859,245,429,274
2021,"Havering 018","E02000481",3244,817,2135,39,190,63
2021,"Havering 019","E02000482",2577,635,1674,23,206,39
2021,"Havering 020","E02000483",3474,1136,1958,73,237,70
2021,"Havering 021","E02000484",3251,776,2095,60,237,83
2021,"Havering 022","E02000485",3455,886,2134,77,269,89
2021,"Havering 023","E02000486",2990,823,1834,57,205,71
2021,"Havering 024","E02000487",2944,522,2139,31,208,44
2021,"Havering 025","E02000488",3011,719,2015,34,186,57
2021,"Havering 026","E02000489",3260,760,2056,95,252,97
2021,"Havering 027","E02000490",3225,832,2025,85,163,120
2021,"Havering 028","E02000491",3934,1012,2370,150,235,167
2021,"Havering 029","E02000492",2624,645,1737,52,132,58
2021,"Havering 030","E02000493",2497,639,1460,108,195,95
2021,"Hillingdon 001","E02000494",3217,917,1794,74,338,94
2021,"Hillingdon 002","E02000495",4303,1363,2162,136,464,178
2021,"Hillingdon 003","E02000496",3173,941,1789,59,280,104
2021,"Hillingdon 004","E02000497",3693,988,2091,94,396,124
2021,"Hillingdon 005","E02000498",2638,766,1462,61,278,71
2021,"Hillingdon 006","E02000499",3014,722,1786,54,354,98
2021,"Hillingdon 007","E02000500",3305,844,1861,88,395,117
2021,"Hillingdon 008","E02000501",3273,779,1884,78,417,115
2021,"Hillingdon 009","E02000502",3530,990,1865,132,404,139
2021,"Hillingdon 010","E02000503",3254,663,1912,91,438,150
2021,"Hillingdon 011","E02000504",2921,677,1812,61,300,71
2021,"Hillingdon 013","E02000506",2899,625,1789,70,301,114
2021,"Hillingdon 014","E02000507",2780,506,1762,110,295,107
2021,"Hillingdon 015","E02000508",4339,1347,2137,145,482,228
2021,"Hillingdon 016","E02000509",3403,1079,1590,120,351,263
2021,"Hillingdon 017","E02000510",3261,797,1900,96,295,173
2021,"Hillingdon 018","E02000511",3262,678,2021,108,262,193
2021,"Hillingdon 019","E02000512",3105,758,1745,139,265,198
2021,"Hillingdon 020","E02000513",3322,728,2032,170,223,169
2021,"Hillingdon 021","E02000514",3181,496,2091,129,214,251
2021,"Hillingdon 022","E02000515",5345,1665,2705,188,478,309
2021,"Hillingdon 023","E02000516",2819,547,1744,144,195,189
2021,"Hillingdon 024","E02000517",3321,659,1985,160,300,217
2021,"Hillingdon 025","E02000518",3329,753,1996,116,254,210
2021,"Hillingdon 026","E02000519",3022,654,1866,101,179,222
2021,"Hillingdon 027","E02000520",4457,964,2656,168,350,319
2021,"Hillingdon 028","E02000521",4351,861,2707,162,362,259
2021,"Hillingdon 029","E02000522",3490,848,1974,150,326,192
2021,"Hillingdon 030","E02000523",3685,760,2251,109,266,299
2021,"Hillingdon 031","E02000524",2642,697,1457,84,218,186
2021,"Hillingdon 032","E02000525",3320,717,1976,136,239,252
2021,"Hounslow 001","E02000526",3617,1120,1532,98,620,247
2021,"Hounslow 004","E02000529",3036,588,1956,103,184,205
2021,"Hounslow 005","E02000530",2517,523,1577,111,147,159
2021,"Hounslow 006","E02000531",4936,1610,2149,205,685,287
2021,"Hounslow 007","E02000532",3818,1195,1670,144,590,219
2021,"Hounslow 008","E02000533",3688,1216,1566,148,569,189
2021,"Hounslow 009","E02000534",2999,671,1632,103,359,234
2021,"Hounslow 010","E02000535",3004,592,1891,73,168,280
2021,"Hounslow 011","E02000536",3245,593,2082,111,193,266
2021,"Hounslow 012","E02000537",3156,584,1922,84,268,298
2021,"Hounslow 013","E02000538",3005,527,1940,108,153,277
2021,"Hounslow 014","E02000539",4733,1256,2316,244,653,264
2021,"Hounslow 015","E02000540",4487,1177,2344,173,461,332
2021,"Hounslow 016","E02000541",3281,662,2022,184,165,248
2021,"Hounslow 017","E02000542",3953,963,2351,117,238,284
2021,"Hounslow 018","E02000543",4893,1098,2911,192,338,354
2021,"Hounslow 019","E02000544",2920,563,1714,104,291,248
2021,"Hounslow 020","E02000545",3548,1008,1740,174,418,208
2021,"Hounslow 021","E02000546",3159,556,2019,127,217,240
2021,"Hounslow 022","E02000547",3852,999,2131,197,270,255
2021,"Hounslow 023","E02000548",3726,1034,2059,146,281,206
2021,"Hounslow 024","E02000549",4081,879,2419,167,299,317
2021,"Hounslow 025","E02000550",3718,755,2292,170,269,232
2021,"Hounslow 026","E02000551",3416,876,1923,172,231,214
2021,"Hounslow 027","E02000552",3359,829,1871,133,355,171
2021,"Hounslow 028","E02000553",2600,661,1481,108,227,123
2021,"Islington 001","E02000554",4200,1558,1606,239,455,342
2021,"Islington 002","E02000555",4031,1280,1609,192,509,441
2021,"Islington 003","E02000556",4949,1751,1794,209,676,519
2021,"Islington 004","E02000557",4140,1631,1393,187,539,390
2021,"Islington 005","E02000558",3957,1424,1630,201,364,338
2021,"Islington 006","E02000559",3994,1223,1637,144,663,327
2021,"Islington 007","E02000560",3274,1101,1211,105,464,393
2021,"Islington 008","E02000561",3158,1038,1170,123,534,293
2021,"Islington 009","E02000562",3486,1230,1326,147,496,287
2021,"Islington 010","E02000563",3856,1428,1455,189,436,348
2021,"Islington 011","E02000564",5664,2022,2043,210,767,622
2021,"Islington 012","E02000565",3498,1162,1361,188,441,346
2021,"Islington 013","E02000566",3838,1305,1484,126,612,311
2021,"Islington 014","E02000567",4895,1707,1868,207,679,434
2021,"Islington 015","E02000568",4669,1739,1880,215,427,408
2021,"Islington 016","E02000569",4601,1642,1792,247,573,347
2021,"Islington 017","E02000570",3991,1465,1462,131,652,281
2021,"Islington 018","E02000571",4124,1517,1595,207,519,286
2021,"Islington 019","E02000572",3522,1181,1461,204,283,393
2021,"Islington 020","E02000573",4923,1861,1812,166,734,350
2021,"Islington 021","E02000574",3604,1498,1253,100,468,285
2021,"Islington 022","E02000575",5171,2108,1843,199,615,406
2021,"Islington 023","E02000576",4951,1925,1910,207,504,405
2021,"Kensington and Chelsea 001","E02000577",3176,1238,1253,237,246,202
2021,"Kensington and Chelsea 002","E02000578",2308,823,937,186,151,211
2021,"Kensington and Chelsea 003","E02000579",3821,1492,1421,193,480,235
2021,"Kensington and Chelsea 004","E02000580",3988,1951,1189,194,394,260
2021,"Kensington and Chelsea 005","E02000581",3011,1154,1106,168,295,288
2021,"Kensington and Chelsea 006","E02000582",3270,1660,910,85,424,191
2021,"Kensington and Chelsea 007","E02000583",3118,1324,1045,123,439,187
2021,"Kensington and Chelsea 008","E02000584",3333,1327,1151,116,560,179
2021,"Kensington and Chelsea 009","E02000585",3387,1253,1205,137,499,293
2021,"Kensington and Chelsea 010","E02000586",2880,1147,1004,69,427,233
2021,"Kensington and Chelsea 011","E02000587",3027,1157,1195,92,410,173
2021,"Kensington and Chelsea 012","E02000588",3076,1357,1053,80,382,204
2021,"Kensington and Chelsea 013","E02000589",3658,1795,1039,118,497,209
2021,"Kensington and Chelsea 014","E02000590",3047,1584,904,103,290,166
2021,"Kensington and Chelsea 015","E02000591",3241,1589,1027,120,344,161
2021,"Kensington and Chelsea 016","E02000592",2837,1287,950,77,386,137
2021,"Kensington and Chelsea 017","E02000593",3685,1726,1175,134,418,232
2021,"Kensington and Chelsea 018","E02000594",2922,1334,996,72,324,196
2021,"Kensington and Chelsea 019","E02000595",3030,1441,944,90,365,190
2021,"Kensington and Chelsea 020","E02000596",3073,1303,1014,88,442,226
2021,"Kensington and Chelsea 021","E02000597",2997,1290,1072,151,287,197
2021,"Kingston upon Thames 001","E02000598",2970,623,1622,112,498,115
2021,"Kingston upon Thames 002","E02000599",2354,435,1304,75,364,176
2021,"Kingston upon Thames 003","E02000600",3381,973,1620,153,434,201
2021,"Kingston upon Thames 004","E02000601",4858,1311,2410,132,797,208
2021,"Kingston upon Thames 005","E02000602",4046,1302,1822,161,487,274
2021,"Kingston upon Thames 006","E02000603",2953,621,1648,142,340,202
2021,"Kingston upon Thames 007","E02000604",3559,893,1860,93,538,175
2021,"Kingston upon Thames 008","E02000605",3115,732,1634,102,492,155
2021,"Kingston upon Thames 009","E02000606",4811,1760,1854,126,736,335
2021,"Kingston upon Thames 010","E02000607",2583,737,1226,66,393,161
2021,"Kingston upon Thames 011","E02000608",3406,1365,1295,71,534,141
2021,"Kingston upon Thames 012","E02000609",2737,645,1564,88,291,149
2021,"Kingston upon Thames 013","E02000610",3870,1603,1499,116,476,176
2021,"Kingston upon Thames 014","E02000611",2653,487,1619,45,395,107
2021,"Kingston upon Thames 015","E02000612",3079,651,1800,63,459,106
2021,"Kingston upon Thames 016","E02000613",3193,810,1701,94,470,118
2021,"Kingston upon Thames 017","E02000614",3374,736,1972,134,359,173
2021,"Kingston upon Thames 018","E02000615",2956,660,1788,87,296,125
2021,"Kingston upon Thames 019","E02000616",2390,559,1450,66,242,73
2021,"Kingston upon Thames 020","E02000617",3344,813,1975,112,312,132
2021,"Lambeth 002","E02000619",4055,1540,1475,247,402,391
2021,"Lambeth 003","E02000620",4589,1735,1688,224,462,480
2021,"Lambeth 004","E02000621",6009,2440,2064,187,696,622
2021,"Lambeth 005","E02000622",3633,1179,1388,165,399,502
2021,"Lambeth 006","E02000623",3331,1103,1379,223,279,347
2021,"Lambeth 007","E02000624",4272,1453,1698,213,486,422
2021,"Lambeth 008","E02000625",3796,1158,1620,214,300,504
2021,"Lambeth 009","E02000626",3449,1165,1411,241,286,346
2021,"Lambeth 010","E02000627",3916,1162,1668,187,370,529
2021,"Lambeth 011","E02000628",4484,1540,1780,255,361,548
2021,"Lambeth 012","E02000629",4016,1199,1671,149,447,550
2021,"Lambeth 013","E02000630",3430,1118,1420,124,452,316
2021,"Lambeth 014","E02000631",3739,1003,1631,135,542,428
2021,"Lambeth 015","E02000632",4261,1191,1841,135,444,650
2021,"Lambeth 016","E02000633",3962,1403,1522,191,335,511
2021,"Lambeth 017","E02000634",3107,1124,1180,137,292,374
2021,"Lambeth 018","E02000635",4337,1447,1680,183,595,432
2021,"Lambeth 019","E02000636",3080,752,1415,93,459,361
2021,"Lambeth 020","E02000637",3705,1117,1526,119,474,469
2021,"Lambeth 021","E02000638",4107,1272,1657,217,471,490
2021,"Lambeth 022","E02000639",3725,1313,1480,216,320,396
2021,"Lambeth 023","E02000640",3804,984,1813,123,526,358
2021,"Lambeth 024","E02000641",3391,1024,1516,256,283,312
2021,"Lambeth 025","E02000642",4170,1288,1772,237,555,318
2021,"Lambeth 026","E02000643",3948,1255,1610,153,477,453
2021,"Lambeth 027","E02000644",3495,984,1453,180,506,372
2021,"Lambeth 028","E02000645",4047,1213,1729,217,589,299
2021,"Lambeth 029","E02000646",3905,1141,1686,167,530,381
2021,"Lambeth 030","E02000647",3422,991,1440,166,557,268
2021,"Lambeth 031","E02000648",3188,1013,1397,224,345,209
2021,"Lambeth 032","E02000649",5304,1669,2180,238,704,513
2021,"Lambeth 033","E02000650",3276,1042,1377,190,446,221
2021,"Lambeth 034","E02000651",3480,1035,1465,171,478,331
2021,"Lambeth 035","E02000652",2544,574,1211,135,275,349
2021,"Lewisham 001","E02000653",5294,1679,2219,275,635,486
2021,"Lewisham 002","E02000654",3596,1132,1599,193,327,345
2021,"Lewisham 003","E02000655",4007,1238,1733,213,426,397
2021,"Lewisham 005","E02000657",3992,1290,1585,188,507,422
2021,"Lewisham 006","E02000658",3459,961,1495,161,449,393
2021,"Lewisham 007","E02000659",3541,1089,1544,143,530,235
2021,"Lewisham 008","E02000660",3603,1145,1485,159,537,277
2021,"Lewisham 009","E02000661",3044,1136,1205,106,406,191
2021,"Lewisham 010","E02000662",3306,926,1445,180,465,290
2021,"Lewisham 011","E02000663",2819,843,1155,133,453,235
2021,"Lewisham 013","E02000665",3414,1035,1495,147,527,210
2021,"Lewisham 014","E02000666",2735,673,1237,168,420,237
2021,"Lewisham 015","E02000667",2523,583,1152,112,449,227
2021,"Lewisham 016","E02000668",2727,726,1278,138,431,154
2021,"Lewisham 017","E02000669",3308,1005,1396,171,521,215
2021,"Lewisham 018","E02000670",2780,903,1151,149,304,273
2021,"Lewisham 019","E02000671",3682,1086,1540,171,613,272
2021,"Lewisham 020","E02000672",4197,1403,1698,245,546,305
2021,"Lewisham 021","E02000673",3496,1037,1485,157,598,219
2021,"Lewisham 022","E02000674",3057,780,1432,158,436,251
2021,"Lewisham 023","E02000675",3420,962,1633,163,470,192
2021,"Lewisham 024","E02000676",3190,856,1439,158,545,192
2021,"Lewisham 025","E02000677",2642,721,1206,153,341,221
2021,"Lewisham 026","E02000678",2614,737,1265,139,245,228
2021,"Lewisham 027","E02000679",3376,1079,1455,164,465,213
2021,"Lewisham 028","E02000680",2913,884,1288,215,366,160
2021,"Lewisham 029","E02000681",3352,1039,1565,213,332,203
2021,"Lewisham 030","E02000682",3218,834,1613,249,285,237
2021,"Lewisham 031","E02000683",2724,856,1276,143,283,166
2021,"Lewisham 033","E02000685",3422,1120,1469,197,425,211
2021,"Lewisham 034","E02000686",3044,1007,1334,266,234,203
2021,"Lewisham 035","E02000687",3455,1059,1548,195,458,195
2021,"Merton 001","E02000689",3512,764,1698,160,666,224
2021,"Merton 002","E02000690",2224,591,1063,59,385,126
2021,"Merton 003","E02000691",2958,771,1389,95,477,226
2021,"Merton 004","E02000692",3568,1308,1473,74,542,171
2021,"Merton 005","E02000693",4282,1229,1883,178,665,327
2021,"Merton 006","E02000694",3834,1052,1746,129,658,249
2021,"Merton 007","E02000695",2939,607,1540,137,340,315
2021,"Merton 008","E02000696",3270,839,1575,160,385,311
2021,"Merton 009","E02000697",3666,981,1606,120,709,250
2021,"Merton 010","E02000698",3182,791,1601,98,555,137
2021,"Merton 011","E02000699",3262,798,1513,104,650,197
2021,"Merton 012","E02000700",3357,900,1698,190,332,237
2021,"Merton 013","E02000701",3112,711,1685,145,269,302
2021,"Merton 014","E02000702",3366,861,1692,215,354,244
2021,"Merton 015","E02000703",2937,606,1549,107,474,201
2021,"Merton 016","E02000704",3573,1054,1603,145,524,247
2021,"Merton 017","E02000705",3115,640,1629,171,363,312
2021,"Merton 018","E02000706",3534,852,1835,225,310,312
2021,"Merton 019","E02000707",2777,617,1502,186,215,257
2021,"Merton 020","E02000708",3255,711,1712,115,517,200
2021,"Merton 021","E02000709",2869,590,1566,100,441,172
2021,"Merton 022","E02000710",3439,970,1725,184,341,219
2021,"Merton 023","E02000711",3458,839,1841,152,388,238
2021,"Merton 024","E02000712",3403,825,1843,160,339,236
2021,"Merton 025","E02000713",2830,553,1732,102,322,121
2021,"Newham 001","E02000714",2649,616,1362,146,286,239
2021,"Newham 002","E02000715",2091,409,1318,83,108,173
2021,"Newham 003","E02000716",2302,500,1341,116,174,171
2021,"Newham 004","E02000717",2395,459,1511,115,138,172
2021,"Newham 005","E02000718",2249,490,1362,109,145,143
2021,"Newham 006","E02000719",2875,795,1376,144,255,305
2021,"Newham 007","E02000720",2122,409,1239,62,178,234
2021,"Newham 008","E02000721",2764,603,1681,110,148,222
2021,"Newham 009","E02000722",2937,850,1359,134,246,348
2021,"Newham 010","E02000723",2860,416,1993,69,122,260
2021,"Newham 011","E02000724",2534,384,1750,73,139,188
2021,"Newham 012","E02000725",4000,1142,1908,173,348,429
2021,"Newham 014","E02000727",2289,357,1563,66,122,181
2021,"Newham 015","E02000728",2342,348,1573,65,118,238
2021,"Newham 016","E02000729",2200,526,1197,88,164,225
2021,"Newham 017","E02000730",2566,456,1659,83,95,273
2021,"Newham 018","E02000731",2770,492,1802,89,147,240
2021,"Newham 019","E02000732",2752,593,1659,120,187,193
2021,"Newham 020","E02000733",3461,879,1741,192,251,398
2021,"Newham 021","E02000734",2495,686,1239,104,183,283
2021,"Newham 022","E02000735",2658,622,1472,113,177,274
2021,"Newham 023","E02000736",2653,430,1731,110,167,215
2021,"Newham 024","E02000737",3065,598,1845,125,221,276
2021,"Newham 025","E02000738",2785,508,1640,89,278,270
2021,"Newham 026","E02000739",2479,611,1270,140,233,225
2021,"Newham 027","E02000740",2496,687,1252,148,184,225
2021,"Newham 028","E02000741",2689,590,1498,145,223,233
2021,"Newham 029","E02000742",2528,481,1534,134,159,220
2021,"Newham 030","E02000743",3577,923,1843,194,281,336
2021,"Newham 031","E02000744",3326,883,1736,178,250,279
2021,"Newham 032","E02000745",2876,646,1577,177,205,271
2021,"Newham 033","E02000746",3393,898,1796,161,299,239
2021,"Newham 034","E02000747",5447,1606,2668,209,505,459
2021,"Newham 035","E02000748",2209,501,1174,161,182,191
2021,"Newham 036","E02000749",3330,866,1698,198,244,324
2021,"Redbridge 001","E02000751",4438,1187,2371,121,609,150
2021,"Redbridge 002","E02000752",3263,904,1769,158,248,184
2021,"Redbridge 003","E02000753",2476,600,1412,133,196,135
2021,"Redbridge 004","E02000754",2588,638,1352,106,343,149
2021,"Redbridge 005","E02000755",2186,650,1119,82,230,105
2021,"Redbridge 006","E02000756",5258,1338,3002,211,397,310
2021,"Redbridge 007","E02000757",5179,1556,2452,205,733,233
2021,"Redbridge 008","E02000758",2317,548,1431,67,155,116
2021,"Redbridge 009","E02000759",4818,1122,2557,209,658,272
2021,"Redbridge 010","E02000760",2627,636,1550,110,198,133
2021,"Redbridge 012","E02000762",2105,434,1370,44,140,117
2021,"Redbridge 013","E02000763",2575,506,1601,125,191,152
2021,"Redbridge 014","E02000764",5367,1848,2304,131,859,225
2021,"Redbridge 015","E02000765",2426,491,1551,84,145,155
2021,"Redbridge 017","E02000767",2768,588,1764,77,189,150
2021,"Redbridge 018","E02000768",2200,537,1117,59,393,94
2021,"Redbridge 020","E02000770",2486,524,1565,72,168,157
2021,"Redbridge 022","E02000772",2539,528,1593,81,184,153
2021,"Redbridge 023","E02000773",3114,487,2110,126,229,162
2021,"Redbridge 024","E02000774",2459,487,1588,76,144,164
2021,"Redbridge 026","E02000776",2083,403,1348,61,159,112
2021,"Redbridge 027","E02000777",2322,631,1136,85,376,94
2021,"Redbridge 029","E02000779",2777,671,1660,103,183,160
2021,"Redbridge 031","E02000781",4427,774,2926,149,262,316
2021,"Redbridge 032","E02000782",3575,727,2304,124,210,210
2021,"Redbridge 033","E02000783",2114,416,1360,97,96,145
2021,"Richmond upon Thames 001","E02000784",4176,1239,1895,162,690,190
2021,"Richmond upon Thames 002","E02000785",4161,1247,1893,74,790,157
2021,"Richmond upon Thames 003","E02000786",4942,1588,2209,157,770,218
2021,"Richmond upon Thames 004","E02000787",5173,1574,2328,222,839,210
2021,"Richmond upon Thames 005","E02000788",3624,1000,1751,116,613,144
2021,"Richmond upon Thames 006","E02000789",2845,1035,1167,65,478,100
2021,"Richmond upon Thames 007","E02000790",2704,738,1300,67,501,98
2021,"Richmond upon Thames 008","E02000791",2969,1056,1164,69,593,87
2021,"Richmond upon Thames 009","E02000792",3101,1041,1329,78,554,99
2021,"Richmond upon Thames 010","E02000793",3137,815,1660,93,405,164
2021,"Richmond upon Thames 011","E02000794",2759,670,1388,73,509,119
2021,"Richmond upon Thames 012","E02000795",2588,627,1312,81,457,111
2021,"Richmond upon Thames 013","E02000796",3981,922,2265,141,448,205
2021,"Richmond upon Thames 014","E02000797",3481,1165,1572,73,562,109
2021,"Richmond upon Thames 015","E02000798",4324,1014,2279,162,689,180
2021,"Richmond upon Thames 016","E02000799",2440,685,1239,42,382,92
2021,"Richmond upon Thames 017","E02000800",2158,639,1041,99,290,89
2021,"Richmond upon Thames 018","E02000801",3019,901,1551,59,443,65
2021,"Richmond upon Thames 019","E02000802",2975,915,1495,79,413,73
2021,"Richmond upon Thames 020","E02000803",4097,1308,2018,153,485,133
2021,"Richmond upon Thames 021","E02000804",3168,1068,1438,71,486,105
2021,"Richmond upon Thames 022","E02000805",4633,1462,2222,136,672,141
2021,"Richmond upon Thames 023","E02000806",4254,1168,2280,93,585,128
2021,"Southwark 001","E02000807",3734,1164,1494,118,583,375
2021,"Southwark 002","E02000808",4696,2000,1518,142,597,439
2021,"Southwark 004","E02000810",5395,1903,2179,221,606,486
2021,"Southwark 006","E02000812",4533,1640,1726,193,449,525
2021,"Southwark 007","E02000813",4483,1481,1888,196,408,510
2021,"Southwark 008","E02000814",4589,1456,1831,146,677,479
2021,"Southwark 009","E02000815",3233,1089,1355,74,318,397
2021,"Southwark 010","E02000816",4146,1405,1759,204,403,375
2021,"Southwark 011","E02000817",2925,1100,1168,142,201,314
2021,"Southwark 012","E02000818",4489,1619,1712,175,452,531
2021,"Southwark 013","E02000819",3555,1290,1439,195,260,371
2021,"Southwark 014","E02000820",4227,1721,1507,188,397,414
2021,"Southwark 015","E02000821",3133,804,1364,219,248,498
2021,"Southwark 016","E02000822",2776,890,1211,184,206,285
2021,"Southwark 017","E02000823",3633,1190,1449,231,308,455
2021,"Southwark 018","E02000824",3791,1127,1727,290,250,397
2021,"Southwark 019","E02000825",3891,1179,1683,309,363,357
2021,"Southwark 020","E02000826",4023,1352,1596,225,454,396
2021,"Southwark 021","E02000827",5018,1818,1966,295,510,429
2021,"Southwark 022","E02000828",3596,1184,1525,214,302,371
2021,"Southwark 023","E02000829",4737,1681,1926,236,468,426
2021,"Southwark 024","E02000830",3761,1142,1560,175,511,373
2021,"Southwark 025","E02000831",4052,1226,1689,180,582,375
2021,"Southwark 026","E02000832",4100,1366,1706,197,456,375
2021,"Southwark 027","E02000833",3046,939,1286,190,358,273
2021,"Southwark 028","E02000834",4103,1278,1731,98,673,323
2021,"Southwark 029","E02000835",3030,781,1386,160,462,241
2021,"Southwark 030","E02000836",3339,855,1540,130,628,186
2021,"Southwark 031","E02000837",3150,618,1655,94,608,175
2021,"Southwark 032","E02000838",3924,1110,1808,164,592,250
2021,"Southwark 033","E02000839",3428,979,1540,212,497,200
2021,"Sutton 001","E02000840",3474,873,2014,176,275,136
2021,"Sutton 002","E02000841",3301,746,2038,146,233,138
2021,"Sutton 003","E02000842",2958,594,1870,85,294,115
2021,"Sutton 004","E02000843",3981,1200,1994,163,515,109
2021,"Sutton 005","E02000844",3217,771,1894,121,299,132
2021,"Sutton 006","E02000845",3608,826,2045,111,514,112
2021,"Sutton 007","E02000846",2786,612,1669,96,287,122
2021,"Sutton 008","E02000847",3683,952,2153,99,378,101
2021,"Sutton 009","E02000848",2916,607,1860,65,283,101
2021,"Sutton 010","E02000849",3251,874,1835,110,319,113
2021,"Sutton 011","E02000850",4089,938,2503,123,404,121
2021,"Sutton 012","E02000851",5036,1705,2409,231,489,202
2021,"Sutton 013","E02000852",3255,895,1747,105,384,124
2021,"Sutton 014","E02000853",3202,825,1767,126,350,134
2021,"Sutton 015","E02000854",3085,815,1706,82,404,78
2021,"Sutton 016","E02000855",3210,839,1836,75,363,97
2021,"Sutton 017","E02000856",3800,1131,2028,117,415,109
2021,"Sutton 018","E02000857",4080,1547,1791,154,454,134
2021,"Sutton 019","E02000858",3309,960,1842,163,217,127
2021,"Sutton 020","E02000859",3491,1118,1841,97,334,101
2021,"Sutton 021","E02000860",4118,1718,1728,146,390,136
2021,"Sutton 022","E02000861",2863,501,1851,61,370,80
2021,"Sutton 024","E02000863",2423,465,1551,70,257,80
2021,"Tower Hamlets 001","E02000864",4664,1526,2075,130,546,387
2021,"Tower Hamlets 002","E02000865",2894,986,1336,65,229,278
2021,"Tower Hamlets 003","E02000866",4150,1210,1859,94,567,420
2021,"Tower Hamlets 004","E02000867",4871,1509,2165,136,598,463
2021,"Tower Hamlets 005","E02000868",2785,835,1258,61,296,335
2021,"Tower Hamlets 006","E02000869",2525,952,983,67,277,246
2021,"Tower Hamlets 007","E02000870",2422,718,1142,69,222,271
2021,"Tower Hamlets 008","E02000871",4229,1247,2166,149,321,346
2021,"Tower Hamlets 009","E02000872",3193,994,1420,92,297,390
2021,"Tower Hamlets 010","E02000873",2919,778,1513,64,276,288
2021,"Tower Hamlets 011","E02000874",2526,685,1323,77,228,213
2021,"Tower Hamlets 012","E02000875",5079,1508,2584,150,450,387
2021,"Tower Hamlets 013","E02000876",2778,967,1184,66,243,318
2021,"Tower Hamlets 014","E02000877",4913,1258,2479,112,492,572
2021,"Tower Hamlets 015","E02000878",4012,1439,1654,48,394,477
2021,"Tower Hamlets 016","E02000879",3048,969,1453,85,256,285
2021,"Tower Hamlets 017","E02000880",2281,675,1120,47,154,285
2021,"Tower Hamlets 018","E02000881",3853,1024,2041,140,310,338
2021,"Tower Hamlets 019","E02000882",3808,1033,2082,114,305,274
2021,"Tower Hamlets 020","E02000883",3031,804,1657,88,189,293
2021,"Tower Hamlets 021","E02000884",5114,1801,2234,78,454,547
2021,"Tower Hamlets 022","E02000885",2389,757,1218,44,154,216
2021,"Tower Hamlets 023","E02000886",3824,1217,1752,73,385,397
2021,"Tower Hamlets 024","E02000887",3947,1145,2019,141,307,335
2021,"Tower Hamlets 025","E02000888",3353,1073,1552,75,379,274
2021,"Tower Hamlets 026","E02000889",3807,1365,1532,66,519,325
2021,"Tower Hamlets 027","E02000890",2891,1113,1070,46,489,173
2021,"Tower Hamlets 030","E02000893",2988,874,1451,89,326,248
2021,"Tower Hamlets 031","E02000894",4464,1274,2021,158,594,417
2021,"Waltham Forest 001","E02000895",3274,964,1685,125,340,160
2021,"Waltham Forest 002","E02000896",3836,1195,1889,138,472,142
2021,"Waltham Forest 003","E02000897",3370,982,1730,187,325,146
2021,"Waltham Forest 004","E02000898",3200,945,1600,145,349,161
2021,"Waltham Forest 005","E02000899",3226,816,1747,139,341,183
2021,"Waltham Forest 006","E02000900",3120,731,1651,199,297,242
2021,"Waltham Forest 007","E02000901",3851,804,2102,149,615,181
2021,"Waltham Forest 008","E02000902",3518,797,1800,237,449,235
2021,"Waltham Forest 009","E02000903",3467,709,1856,209,417,276
2021,"Waltham Forest 010","E02000904",3108,796,1531,145,416,220
2021,"Waltham Forest 011","E02000905",3630,748,1841,174,591,276
2021,"Waltham Forest 012","E02000906",3627,838,1762,199,558,270
2021,"Waltham Forest 013","E02000907",4067,1285,1861,220,460,241
2021,"Waltham Forest 014","E02000908",5239,1570,2214,270,781,404
2021,"Waltham Forest 015","E02000909",3568,929,1660,181,575,223
2021,"Waltham Forest 016","E02000910",4404,1158,1988,218,695,345
2021,"Waltham Forest 017","E02000911",4850,1243,2250,239,658,460
2021,"Waltham Forest 018","E02000912",3272,718,1710,140,418,286
2021,"Waltham Forest 019","E02000913",3115,715,1568,149,388,295
2021,"Waltham Forest 020","E02000914",3972,1037,2060,223,361,291
2021,"Waltham Forest 021","E02000915",3283,1008,1391,162,463,259
2021,"Waltham Forest 022","E02000916",3982,1077,1932,183,473,317
2021,"Waltham Forest 023","E02000917",3651,887,1763,185,516,300
2021,"Waltham Forest 024","E02000918",3409,917,1558,158,431,345
2021,"Waltham Forest 025","E02000919",3357,800,1603,132,461,361
2021,"Waltham Forest 026","E02000920",3814,1102,1752,179,373,408
2021,"Waltham Forest 027","E02000921",4059,1068,1933,239,440,379
2021,"Waltham Forest 028","E02000922",3633,858,1820,173,432,350
2021,"Wandsworth 001","E02000923",3469,1255,1384,112,405,313
2021,"Wandsworth 003","E02000925",3363,1062,1469,198,338,296
2021,"Wandsworth 004","E02000926",5552,2013,2197,173,731,438
2021,"Wandsworth 005","E02000927",3233,1009,1468,134,362,260
