"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
2021,"Bexley 018","E02000082",7456,4604,3759,3745,14,9,836,816,20,2852,1870,86,118,349,429
2021,"Bexley 019","E02000083",8862,4994,3544,3536,8,14,1436,1384,52,3868,2539,102,177,620,430
2021,"Bexley 020","E02000084",8932,5668,4612,4600,12,6,1050,1010,40,3264,2110,80,125,436,513
2021,"Bexley 021","E02000085",6380,3840,2946,2926,20,10,884,860,24,2540,1625,68,104,349,394
2021,"Bexley 022","E02000086",5846,3702,2986,2968,18,0,716,698,18,2144,1381,44,96,298,325
2021,"Bexley 023","E02000087",6714,4284,3400,3390,10,12,872,844,28,2430,1492,68,82,347,441
2021,"Bexley 024","E02000088",6268,3982,3181,3154,27,14,787,767,20,2286,1472,54,94,295,371
2021,"Bexley 025","E02000089",6225,4022,3315,3299,16,15,692,666,26,2203,1488,39,80,246,350
2021,"Bexley 026","E02000090",7729,4089,2867,2841,26,7,1215,1146,69,3640,2406,87,153,520,474
2021,"Bexley 027","E02000091",8345,4672,3686,3660,26,6,980,944,36,3673,2187,90,143,587,666
2021,"Bexley 028","E02000092",5241,2654,2021,2009,12,17,616,590,26,2587,1692,42,141,432,280
2021,"Bexley 029","E02006785",5398,3016,2455,2445,10,5,556,530,26,2382,1471,129,105,319,358
2021,"Brent 001","E02000093",9730,5120,4454,4446,8,16,650,622,28,4610,3017,557,150,418,468
2021,"Brent 002","E02000094",8397,4253,3598,3586,12,18,637,612,25,4144,2840,412,172,370,350
2021,"Brent 003","E02000095",8594,4522,4095,4087,8,17,410,384,26,4072,2592,572,117,376,415
2021,"Brent 004","E02000096",6228,3679,3444,3432,12,6,229,220,9,2549,1561,263,57,251,417
2021,"Brent 005","E02000097",7755,4050,3578,3566,12,10,462,440,22,3705,2390,385,100,451,379
2021,"Brent 006","E02000098",7032,3468,3066,3052,14,8,394,374,20,3564,2391,318,122,368,365
2021,"Brent 007","E02000099",7537,3842,3322,3314,8,8,512,490,22,3695,2384,492,154,389,276
2021,"Brent 008","E02000100",6795,3543,3175,3169,6,16,352,320,32,3252,2084,381,87,293,407
2021,"Brent 009","E02000101",7742,3526,3002,2990,12,32,492,468,24,4216,2851,350,206,472,337
2021,"Brent 010","E02000102",6217,2893,2414,2404,10,12,467,453,14,3324,2281,263,142,363,275
2021,"Brent 011","E02000103",7703,3471,2896,2882,14,4,571,531,40,4232,2929,349,209,437,308
2021,"Brent 012","E02000104",6154,2894,2500,2498,2,6,388,364,24,3260,2202,321,111,351,275
2021,"Brent 013","E02000105",7810,3935,3436,3418,18,15,484,446,38,3875,2454,461,180,435,345
2021,"Brent 014","E02000106",8245,3539,2878,2864,14,8,653,595,58,4706,3038,550,200,588,330
2021,"Brent 015","E02000107",9050,3865,2821,2796,25,8,1036,952,84,5185,3565,484,217,585,334
2021,"Brent 016","E02000108",5827,2934,2574,2568,6,2,358,344,14,2893,1867,411,88,274,253
2021,"Brent 018","E02000110",6758,3148,2406,2362,44,2,740,666,74,3610,2612,203,129,381,285
2021,"Brent 019","E02000111",8907,4472,4069,4053,16,8,395,381,14,4435,2827,768,108,350,382
2021,"Brent 020","E02000112",9613,4712,4065,4053,12,11,636,588,48,4901,3002,997,139,340,423
2021,"Brent 021","E02000113",7428,2524,2122,2120,2,16,386,360,26,4904,3451,296,217,574,366
2021,"Brent 022","E02000114",7598,3148,2200,2170,30,8,940,882,58,4450,3263,290,176,441,280
2021,"Brent 023","E02000115",7174,3154,2016,1978,38,14,1124,1038,86,4020,2931,201,145,462,281
