"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Ealing 002","E02000239",9042,8732,133,177
2021,"Ealing 003","E02000240",11209,10835,186,188
2021,"Ealing 004","E02000241",7395,7095,154,146
2021,"Ealing 005","E02000242",6882,6633,103,146
2021,"Ealing 006","E02000243",8722,8375,132,215
2021,"Ealing 007","E02000244",7890,7571,122,197
2021,"Ealing 008","E02000245",9308,9034,159,115
2021,"Ealing 009","E02000246",9461,9175,144,142
2021,"Ealing 010","E02000247",11152,10853,180,119
2021,"Ealing 011","E02000248",7717,7296,164,257
2021,"Ealing 012","E02000249",8378,8108,137,133
2021,"Ealing 013","E02000250",6483,6044,241,198
2021,"Ealing 014","E02000251",8313,8083,116,114
2021,"Ealing 015","E02000252",12238,10146,1320,772
2021,"Ealing 016","E02000253",10344,9995,198,151
2021,"Ealing 017","E02000254",9209,8934,162,113
2021,"Ealing 018","E02000255",9860,9385,279,196
2021,"Ealing 019","E02000256",9184,8480,366,338
2021,"Ealing 021","E02000258",6900,6524,189,187
2021,"Ealing 022","E02000259",6584,6236,212,136
2021,"Ealing 023","E02000260",9837,9558,131,148
2021,"Ealing 024","E02000261",12653,11757,360,536
2021,"Ealing 025","E02000262",9348,8768,343,237
2021,"Ealing 026","E02000263",13706,13281,217,208
2021,"Ealing 027","E02000264",8494,7699,462,333
2021,"Ealing 028","E02000265",11232,10707,307,218
2021,"Ealing 029","E02000266",13114,12696,227,191
2021,"Ealing 030","E02000267",8149,7782,234,133
2021,"Ealing 031","E02000268",9251,8539,387,325
2021,"Ealing 032","E02000269",8168,7646,322,200
2021,"Ealing 033","E02000270",9607,9067,269,271
2021,"Ealing 034","E02000271",6950,6242,401,307
2021,"Ealing 035","E02000272",6714,6366,208,140
2021,"Ealing 038","E02000275",8168,7902,114,152
2021,"Ealing 039","E02000276",6760,6351,245,164
2021,"Enfield 001","E02000277",7523,7330,119,74
2021,"Enfield 002","E02000278",9429,9197,158,74
2021,"Enfield 003","E02000279",12322,11992,216,114
2021,"Enfield 004","E02000280",8635,8324,243,68
2021,"Enfield 005","E02000281",9652,9371,206,75
2021,"Enfield 006","E02000282",9951,9727,137,87
2021,"Enfield 007","E02000283",8538,8318,121,99
2021,"Enfield 008","E02000284",8741,8432,206,103
2021,"Enfield 009","E02000285",6643,6401,152,90
2021,"Enfield 010","E02000286",8686,8321,242,123
2021,"Enfield 011","E02000287",7357,6922,218,217
2021,"Enfield 012","E02000288",12784,12459,197,128
2021,"Enfield 013","E02000289",6774,6516,163,95
2021,"Enfield 014","E02000290",6684,6512,103,69
2021,"Enfield 015","E02000291",10162,9744,226,192
2021,"Enfield 016","E02000292",9837,9574,172,91
2021,"Enfield 017","E02000293",6397,6120,149,128
2021,"Enfield 018","E02000294",9369,9130,129,110
2021,"Enfield 019","E02000295",8691,8335,198,158
2021,"Enfield 020","E02000296",10343,9855,224,264
2021,"Enfield 021","E02000297",9398,9078,173,147
2021,"Enfield 022","E02000298",8253,7838,203,212
2021,"Enfield 023","E02000299",9495,9242,139,114
2021,"Enfield 024","E02000300",8857,8612,129,116
2021,"Enfield 025","E02000301",10220,9951,141,128
2021,"Enfield 026","E02000302",8668,8340,171,157
2021,"Enfield 027","E02000303",8367,8103,157,107
2021,"Enfield 028","E02000304",8041,7629,182,230
2021,"Enfield 029","E02000305",8878,8500,228,150
2021,"Enfield 030","E02000306",9131,8888,146,97
2021,"Enfield 031","E02000307",10110,9784,144,182
2021,"Enfield 032","E02000308",8759,8323,223,213
2021,"Enfield 033","E02000309",11794,11446,200,148
2021,"Enfield 035","E02000311",10544,10170,184,190
2021,"Enfield 036","E02000312",11303,10808,257,238
2021,"Greenwich 001","E02000313",6489,6250,159,80
2021,"Greenwich 002","E02000314",14106,13541,352,213
2021,"Greenwich 003","E02000315",9873,9554,206,113
2021,"Greenwich 005","E02000317",7561,7280,185,96
2021,"Greenwich 006","E02000318",11064,10679,233,152
2021,"Greenwich 007","E02000319",10618,10222,240,156
2021,"Greenwich 008","E02000320",7040,6807,137,96
2021,"Greenwich 009","E02000321",7721,7442,171,108
2021,"Greenwich 011","E02000323",12860,12302,323,235
2021,"Greenwich 012","E02000324",7867,7581,150,136
2021,"Greenwich 014","E02000326",7798,7427,250,121
2021,"Greenwich 015","E02000327",6625,6331,195,99
2021,"Greenwich 016","E02000328",6512,6092,277,143
2021,"Greenwich 017","E02000329",6332,6102,160,70
2021,"Greenwich 019","E02000331",8235,7882,228,125
2021,"Greenwich 020","E02000332",7453,7080,227,146
2021,"Greenwich 021","E02000333",6240,5751,317,172
2021,"Greenwich 022","E02000334",6639,6372,168,99
2021,"Greenwich 023","E02000335",6675,6443,167,65
2021,"Greenwich 025","E02000337",8471,8227,162,82
2021,"Greenwich 027","E02000339",6291,6033,176,82
2021,"Greenwich 028","E02000340",6865,6586,181,98
2021,"Greenwich 029","E02000341",7995,7718,180,97
2021,"Greenwich 030","E02000342",6347,5688,564,95
2021,"Greenwich 031","E02000343",7047,6788,158,101
2021,"Greenwich 032","E02000344",6428,6240,123,65
2021,"Hackney 001","E02000345",8197,7998,113,86
2021,"Hackney 002","E02000346",9398,8813,316,269
2021,"Hackney 003","E02000347",8156,7895,158,103
2021,"Hackney 004","E02000348",8106,7857,158,91
2021,"Hackney 006","E02000350",10241,9730,298,213
2021,"Hackney 007","E02000351",9286,8542,507,237
2021,"Hackney 008","E02000352",6746,6362,271,113
2021,"Hackney 009","E02000353",7763,7252,335,176
2021,"Hackney 010","E02000354",9609,9160,278,171
2021,"Hackney 011","E02000355",8194,7799,270,125
2021,"Hackney 012","E02000356",7034,6537,322,175
2021,"Hackney 013","E02000357",6845,6590,152,103
2021,"Hackney 014","E02000358",11090,10416,380,294
2021,"Hackney 015","E02000359",6697,6307,261,129
2021,"Hackney 016","E02000360",11512,11022,298,192
2021,"Hackney 017","E02000361",8058,7565,298,195
2021,"Hackney 018","E02000362",6961,6655,207,99
2021,"Hackney 019","E02000363",11882,11403,326,153
2021,"Hackney 020","E02000364",9217,8600,404,213
2021,"Hackney 022","E02000366",8328,7813,354,161
2021,"Hackney 023","E02000367",10420,9661,453,306
2021,"Hackney 024","E02000368",9923,9440,274,209
