"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Lambeth 006","E02000623",7860,5725,4334,1303,1074,151,62,16,88,88,910,337,829,56,3
2021,"Lambeth 007","E02000624",9631,7123,5839,1167,925,143,66,33,117,117,1012,333,1032,127,4
2021,"Lambeth 008","E02000625",9304,6619,5045,1449,1097,234,89,29,125,125,1128,482,983,89,3
2021,"Lambeth 009","E02000626",8360,5706,4845,787,639,93,39,16,74,74,1264,311,1045,34,0
2021,"Lambeth 010","E02000627",9554,7037,5715,1204,1018,120,42,24,118,118,1051,380,882,198,6
2021,"Lambeth 011","E02000628",10785,7470,5761,1596,1342,176,56,22,113,113,1437,476,1290,100,12
2021,"Lambeth 012","E02000629",9116,7240,5851,1269,1057,146,36,30,120,120,620,351,646,254,5
2021,"Lambeth 013","E02000630",7538,6133,4993,1002,832,113,39,18,138,138,409,287,485,221,3
2021,"Lambeth 014","E02000631",9524,7401,6365,928,750,106,39,33,108,108,549,539,919,113,3
2021,"Lambeth 015","E02000632",9586,7703,6428,1161,991,110,39,21,114,114,525,317,703,334,4
2021,"Lambeth 016","E02000633",9158,6690,5662,926,781,102,33,10,102,102,1052,387,922,106,1
2021,"Lambeth 017","E02000634",6772,5185,4242,825,694,86,29,16,118,118,620,309,497,157,4
2021,"Lambeth 018","E02000635",9808,7746,6597,1070,833,191,15,31,79,79,687,376,835,154,10
2021,"Lambeth 019","E02000636",7717,6414,5414,886,724,86,48,28,114,114,306,302,456,235,4
2021,"Lambeth 020","E02000637",8403,6691,5562,1049,850,144,30,25,80,80,428,271,852,157,4
2021,"Lambeth 021","E02000638",10256,7774,6411,1220,977,158,64,21,143,143,870,422,1020,156,14
2021,"Lambeth 022","E02000639",8322,5763,4399,1220,876,237,76,31,144,144,1159,324,999,68,9
2021,"Lambeth 023","E02000640",9293,7626,6589,936,755,109,57,15,101,101,522,418,523,201,3
2021,"Lambeth 024","E02000641",8628,6088,5083,909,714,139,35,21,96,96,1182,324,985,48,1
2021,"Lambeth 025","E02000642",9811,7946,6782,1020,728,162,109,21,144,144,610,376,770,105,4
2021,"Lambeth 026","E02000643",9379,7306,5875,1319,945,233,111,30,112,112,650,357,946,113,7
2021,"Lambeth 027","E02000644",8521,6808,5526,1176,781,309,55,31,106,106,513,362,733,104,1
2021,"Lambeth 028","E02000645",9534,7618,6318,1169,829,219,88,33,131,131,623,364,834,91,4
2021,"Lambeth 029","E02000646",9499,7491,5926,1454,939,382,105,28,111,111,545,508,805,147,3
2021,"Lambeth 030","E02000647",8593,6888,5770,1015,699,242,45,29,103,103,588,393,636,87,1
2021,"Lambeth 031","E02000648",7826,6128,5307,746,553,129,46,18,75,75,730,278,644,43,3
2021,"Lambeth 032","E02000649",12477,9580,7233,2180,1176,748,227,29,167,167,843,618,1300,128,8
