"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"Hackney 019","E02000363",11882,6300,3556,1289,562,175
2021,"Hackney 020","E02000364",9216,5090,2678,963,365,120
2021,"Hackney 022","E02000366",8328,4381,2395,1002,410,140
2021,"Hackney 023","E02000367",10420,6110,2982,913,309,106
2021,"Hackney 024","E02000368",9922,5098,2861,1244,528,191
2021,"Hackney 025","E02000369",13456,7437,4021,1312,507,179
2021,"Hackney 026","E02000370",8862,4989,2582,828,346,117
2021,"Hammersmith and Fulham 001","E02000372",9987,5020,3172,1224,430,141
2021,"Hammersmith and Fulham 002","E02000373",7034,3804,2071,777,291,91
2021,"Hammersmith and Fulham 003","E02000374",6909,3966,1908,711,240,84
2021,"Hammersmith and Fulham 004","E02000375",7485,4162,2226,715,291,91
2021,"Hammersmith and Fulham 005","E02000376",6700,3685,2044,633,253,85
2021,"Hammersmith and Fulham 006","E02000377",7795,4322,2336,773,273,91
2021,"Hammersmith and Fulham 007","E02000378",6434,3682,1893,589,187,83
2021,"Hammersmith and Fulham 008","E02000379",7388,4367,2074,630,226,91
2021,"Hammersmith and Fulham 009","E02000380",5508,3342,1478,500,141,47
2021,"Hammersmith and Fulham 010","E02000381",7626,4601,2079,635,248,63
2021,"Hammersmith and Fulham 011","E02000382",6191,3653,1793,529,161,55
2021,"Hammersmith and Fulham 012","E02000383",8462,4758,2532,807,264,101
2021,"Hammersmith and Fulham 013","E02000384",8267,4623,2361,848,327,108
2021,"Hammersmith and Fulham 014","E02000385",5615,3401,1619,436,123,36
2021,"Hammersmith and Fulham 015","E02000386",7582,4143,2249,814,291,85
2021,"Hammersmith and Fulham 016","E02000387",6025,3477,1663,606,206,73
2021,"Hammersmith and Fulham 017","E02000388",8657,5297,2294,699,272,95
2021,"Hammersmith and Fulham 018","E02000389",8645,5403,2419,575,184,64
2021,"Hammersmith and Fulham 019","E02000390",6195,3755,1687,525,172,56
2021,"Hammersmith and Fulham 020","E02000391",7585,4915,1836,561,197,76
2021,"Hammersmith and Fulham 021","E02000392",9229,5864,2383,686,213,83
2021,"Hammersmith and Fulham 022","E02000393",5977,4104,1370,364,92,47
2021,"Hammersmith and Fulham 023","E02000394",9280,5740,2461,731,244,104
2021,"Hammersmith and Fulham 024","E02000395",5680,3632,1498,411,103,36
