"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"Enfield 004","E02000280",6737,6026,71,61,16,563
2021,"Enfield 005","E02000281",7377,6506,66,60,32,713
2021,"Enfield 006","E02000282",7161,6296,33,59,35,738
2021,"Enfield 007","E02000283",6497,5726,41,57,27,646
2021,"Enfield 008","E02000284",6914,6161,121,68,25,539
2021,"Enfield 009","E02000285",5375,4914,51,34,9,367
2021,"Enfield 010","E02000286",7074,6395,80,50,17,532
2021,"Enfield 011","E02000287",6019,5424,34,38,8,515
2021,"Enfield 012","E02000288",9488,8326,41,110,35,976
2021,"Enfield 013","E02000289",5467,4967,31,36,11,422
2021,"Enfield 014","E02000290",4854,4228,58,40,28,500
2021,"Enfield 015","E02000291",8045,7023,111,81,36,794
2021,"Enfield 016","E02000292",7613,6774,61,58,30,690
2021,"Enfield 017","E02000293",5223,4722,42,38,8,413
2021,"Enfield 018","E02000294",7190,6311,40,42,46,751
2021,"Enfield 019","E02000295",6894,6070,77,46,23,678
2021,"Enfield 020","E02000296",8267,7134,113,80,37,903
2021,"Enfield 021","E02000297",7729,6973,66,35,25,630
2021,"Enfield 022","E02000298",6674,6011,66,43,19,535
2021,"Enfield 023","E02000299",7140,6077,37,66,42,918
2021,"Enfield 024","E02000300",6740,5879,44,47,47,723
2021,"Enfield 025","E02000301",7754,6711,54,55,48,886
2021,"Enfield 026","E02000302",6990,6268,52,44,24,602
2021,"Enfield 027","E02000303",6473,5633,42,58,46,694
2021,"Enfield 028","E02000304",6550,5798,65,44,10,633
2021,"Enfield 029","E02000305",7312,6448,95,62,30,677
2021,"Enfield 030","E02000306",6846,5993,42,45,51,715
2021,"Enfield 031","E02000307",7820,6887,49,52,42,790
2021,"Enfield 032","E02000308",7048,6063,120,81,37,747
2021,"Enfield 033","E02000309",8797,7653,35,72,69,968
2021,"Enfield 035","E02000311",8511,7444,133,56,40,838
2021,"Enfield 036","E02000312",9317,7996,166,128,97,930
2021,"Greenwich 001","E02000313",4863,4338,47,49,35,394
2021,"Greenwich 002","E02000314",10650,9479,109,106,70,886
2021,"Greenwich 003","E02000315",7288,6385,98,85,42,678
2021,"Greenwich 005","E02000317",5793,5042,117,82,30,522
2021,"Greenwich 006","E02000318",8718,7573,99,107,99,840
2021,"Greenwich 007","E02000319",8330,7246,161,119,45,759
2021,"Greenwich 008","E02000320",5483,4792,77,83,25,506
2021,"Greenwich 009","E02000321",5982,5211,84,84,37,566
2021,"Greenwich 011","E02000323",9960,8573,178,152,62,995
2021,"Greenwich 012","E02000324",6121,5368,113,57,36,547
2021,"Greenwich 014","E02000326",6277,5397,197,90,71,522
2021,"Greenwich 015","E02000327",5132,4482,107,81,29,433
2021,"Greenwich 016","E02000328",5354,4651,153,83,32,435
2021,"Greenwich 017","E02000329",5028,4424,89,53,20,442
2021,"Greenwich 019","E02000331",6480,5598,150,95,45,592
2021,"Greenwich 020","E02000332",5926,5143,147,79,23,534
2021,"Greenwich 021","E02000333",5123,4421,182,84,22,414
2021,"Greenwich 022","E02000334",5321,4664,90,39,15,513
2021,"Greenwich 023","E02000335",5283,4708,109,55,12,399
2021,"Greenwich 025","E02000337",6645,5942,101,65,17,520
2021,"Greenwich 027","E02000339",5084,4529,90,61,13,391
2021,"Greenwich 028","E02000340",5610,5066,109,70,15,350
2021,"Greenwich 029","E02000341",6044,5410,77,61,21,475
2021,"Greenwich 030","E02000342",5107,4399,96,106,29,477
2021,"Greenwich 031","E02000343",5605,5026,73,47,14,445
2021,"Greenwich 032","E02000344",5171,4727,47,39,14,344
2021,"Hackney 001","E02000345",5363,3241,81,57,33,1951
2021,"Hackney 002","E02000346",7516,6263,269,169,43,772
2021,"Hackney 003","E02000347",5504,3598,109,93,32,1672
2021,"Hackney 004","E02000348",5397,3599,81,77,27,1613
2021,"Hackney 006","E02000350",8130,6045,299,281,75,1430
2021,"Hackney 007","E02000351",7943,6378,343,297,81,844
2021,"Hackney 008","E02000352",5260,4133,162,124,43,798
2021,"Hackney 009","E02000353",6479,5379,257,221,43,579
