"date","geography","geography code","Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over","Schoolchild or full-time student indicator: Student","Schoolchild or full-time student indicator: Not a student"
2021,"Harrow 017","E02000449",7791,1615,6176
2021,"Harrow 019","E02000451",6360,1297,5063
2021,"Harrow 020","E02000452",8798,2013,6785
2021,"Harrow 021","E02000453",7808,1672,6136
2021,"Harrow 022","E02000454",6981,1659,5322
2021,"Harrow 023","E02000455",10766,2064,8702
2021,"Harrow 024","E02000456",7382,1570,5812
2021,"Harrow 025","E02000457",6748,1429,5319
2021,"Harrow 027","E02000459",8704,2051,6653
2021,"Harrow 028","E02000460",6815,1712,5103
2021,"Harrow 029","E02000461",6882,1911,4971
2021,"Harrow 030","E02000462",6593,1511,5082
2021,"Harrow 031","E02000463",8281,2079,6202
2021,"Havering 001","E02000464",7259,1619,5640
2021,"Havering 002","E02000465",8684,2059,6625
2021,"Havering 003","E02000466",8445,1757,6688
2021,"Havering 004","E02000467",10609,3007,7602
2021,"Havering 005","E02000468",8102,1758,6344
2021,"Havering 006","E02000469",6746,1561,5185
2021,"Havering 007","E02000470",9132,1463,7669
2021,"Havering 008","E02000471",7444,1297,6147
2021,"Havering 009","E02000472",8910,1781,7129
2021,"Havering 010","E02000473",9824,1935,7889
2021,"Havering 011","E02000474",8519,1832,6687
2021,"Havering 012","E02000475",9039,1518,7521
2021,"Havering 013","E02000476",8632,1573,7059
2021,"Havering 014","E02000477",9013,1545,7468
2021,"Havering 015","E02000478",5748,952,4796
2021,"Havering 016","E02000479",8748,1803,6945
2021,"Havering 017","E02000480",12701,2949,9752
2021,"Havering 018","E02000481",7769,1460,6309
2021,"Havering 019","E02000482",6305,1204,5101
2021,"Havering 020","E02000483",7554,1221,6333
2021,"Havering 021","E02000484",8053,1470,6583
2021,"Havering 022","E02000485",7983,1429,6554
2021,"Havering 023","E02000486",6955,1086,5869
2021,"Havering 024","E02000487",7583,1314,6269
2021,"Havering 025","E02000488",7187,1107,6080
2021,"Havering 026","E02000489",8090,1645,6445
2021,"Havering 027","E02000490",7919,1582,6337
2021,"Havering 028","E02000491",9889,2340,7549
2021,"Havering 029","E02000492",6481,1141,5340
2021,"Havering 030","E02000493",6241,1437,4804
2021,"Hillingdon 001","E02000494",7590,1378,6212
2021,"Hillingdon 002","E02000495",9805,1989,7816
2021,"Hillingdon 003","E02000496",7391,1327,6064
2021,"Hillingdon 004","E02000497",8980,1822,7158
2021,"Hillingdon 005","E02000498",5994,1068,4926
2021,"Hillingdon 006","E02000499",7339,1366,5973
2021,"Hillingdon 007","E02000500",7892,1411,6481
2021,"Hillingdon 008","E02000501",7979,1542,6437
2021,"Hillingdon 009","E02000502",8262,1654,6608
2021,"Hillingdon 010","E02000503",8098,1512,6586
2021,"Hillingdon 011","E02000504",7233,1398,5835
2021,"Hillingdon 013","E02000506",7580,1403,6177
2021,"Hillingdon 014","E02000507",7716,1797,5919
2021,"Hillingdon 015","E02000508",11143,3559,7584
2021,"Hillingdon 016","E02000509",9937,4011,5926
2021,"Hillingdon 017","E02000510",8603,1935,6668
2021,"Hillingdon 018","E02000511",9293,2189,7104
2021,"Hillingdon 019","E02000512",8191,2010,6181
2021,"Hillingdon 020","E02000513",8965,2490,6475
2021,"Hillingdon 021","E02000514",9970,2675,7295
2021,"Hillingdon 022","E02000515",12231,2937,9294
2021,"Hillingdon 023","E02000516",8099,2030,6069
2021,"Hillingdon 024","E02000517",9739,2575,7164
2021,"Hillingdon 025","E02000518",8829,2234,6595
