"date","geography","geography code","National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over","National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations","National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers","National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations","National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations","National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations","National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed","National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students"
2021,"Brent 032","E02000124",8120,1884,2028,586,1017,252,512,587,587,667
2021,"Brent 033","E02000125",8066,1445,1933,636,1060,298,578,798,740,578
2021,"Brent 034","E02000126",6574,854,1127,567,556,312,766,677,970,745
2021,"Bromley 001","E02000127",7220,876,1318,932,909,369,887,762,697,470
2021,"Bromley 002","E02000128",6104,1272,1470,806,750,227,453,386,398,342
2021,"Bromley 004","E02000130",6820,1520,1882,763,669,262,482,402,467,373
2021,"Bromley 005","E02000131",8634,1916,2387,813,827,309,671,600,584,527
2021,"Bromley 006","E02000132",8232,1964,2260,987,809,272,580,499,484,377
2021,"Bromley 007","E02000133",8699,2744,2135,951,1006,174,460,265,445,519
2021,"Bromley 008","E02000134",9441,1948,2409,1093,1098,334,679,580,694,606
2021,"Bromley 009","E02000135",7972,911,1666,846,783,367,945,847,945,662
2021,"Bromley 010","E02000136",4655,827,992,646,615,171,405,329,384,286
2021,"Bromley 011","E02000137",6824,1730,1856,828,770,196,428,311,358,347
2021,"Bromley 012","E02000138",7235,2019,1922,889,832,198,424,274,376,301
2021,"Bromley 013","E02000139",6141,1495,1637,712,628,242,400,355,336,336
2021,"Bromley 014","E02000140",6587,608,1184,841,719,389,829,807,754,456
2021,"Bromley 015","E02000141",5826,1049,1581,701,624,205,468,436,417,345
2021,"Bromley 016","E02000142",7010,1710,1823,873,806,228,416,354,371,429
2021,"Bromley 018","E02000144",8106,2018,2275,996,851,255,476,379,449,407
2021,"Bromley 019","E02000145",6678,715,1230,873,743,411,812,737,712,445
2021,"Bromley 020","E02000146",7732,1632,2057,1018,872,270,578,449,438,418
2021,"Bromley 021","E02000147",6567,1784,1632,899,726,175,369,230,320,432
2021,"Bromley 022","E02000148",5409,1390,1368,727,604,149,370,217,289,295
2021,"Bromley 023","E02000149",6500,897,1369,891,725,353,707,627,567,364
2021,"Bromley 024","E02000150",6744,1367,1686,989,768,232,509,359,420,414
2021,"Bromley 025","E02000151",6003,1718,1458,846,648,175,404,230,262,262
2021,"Bromley 026","E02000152",6128,978,1269,780,710,266,605,537,560,423
2021,"Bromley 027","E02000153",6381,1319,1572,941,754,237,517,324,313,404
2021,"Bromley 028","E02000154",6978,1636,1681,953,716,226,564,437,402,363
2021,"Bromley 029","E02000155",5972,830,1305,941,628,313,669,536,458,292
2021,"Bromley 030","E02000156",10071,2133,2573,1529,1164,344,775,483,521,549
2021,"Bromley 031","E02000157",6746,1550,1776,1057,700,214,498,263,268,420
2021,"Bromley 032","E02000158",6125,1143,1260,851,675,241,613,472,472,398
2021,"Bromley 033","E02000159",5905,1272,1388,838,859,184,380,268,373,343
2021,"Bromley 034","E02000160",6534,1241,1586,1001,861,242,507,366,341,389
2021,"Bromley 035","E02000161",6918,1596,1714,1047,671,223,555,349,383,380
2021,"Bromley 036","E02000162",5789,1005,1386,799,666,237,553,396,427,320
2021,"Bromley 037","E02000163",6297,1451,1499,907,754,238,471,305,326,346
2021,"Bromley 039","E02000165",5783,739,1364,937,808,339,590,409,275,322
2021,"Camden 001","E02000166",6525,1616,1651,476,682,152,439,364,612,533
2021,"Camden 002","E02000167",6002,2311,1644,313,666,73,197,102,282,414
2021,"Camden 003","E02000168",6626,1818,1779,449,658,172,378,346,475,551
2021,"Camden 004","E02000169",5760,2183,1249,375,703,49,189,136,400,476
2021,"Camden 005","E02000170",6578,2043,1621,406,678,162,335,309,480,544
2021,"Camden 006","E02000171",6212,1820,1577,432,609,158,320,269,495,532
2021,"Camden 007","E02000172",8166,1214,1529,651,739,280,720,681,1219,1133
2021,"Camden 008","E02000173",6173,2164,1648,349,621,93,244,179,355,520
2021,"Camden 009","E02000174",6761,1458,1546,544,601,184,464,428,689,847
2021,"Camden 010","E02000175",7879,2445,1863,495,670,172,440,332,606,856
2021,"Camden 011","E02000176",4971,1884,1280,313,537,74,198,146,237,302
2021,"Camden 012","E02000177",7098,1380,1420,564,644,226,560,548,882,874
2021,"Camden 013","E02000178",7614,1701,1645,539,667,276,616,572,916,682
2021,"Camden 014","E02000179",4720,1363,993,308,495,89,284,225,431,532
2021,"Camden 015","E02000180",6742,1427,1474,478,641,188,443,437,664,990
2021,"Camden 016","E02000181",6842,2525,1736,448,531,107,292,242,434,527
2021,"Camden 017","E02000182",5785,1673,1173,387,546,138,308,248,667,645
2021,"Camden 018","E02000183",6446,1852,1467,408,697,137,361,313,534,677
2021,"Camden 019","E02000184",7747,1198,1336,594,540,257,557,497,847,1921
2021,"Camden 020","E02000185",7265,1162,1279,569,707,266,702,634,1123,823
2021,"Camden 021","E02000186",5436,1230,1118,329,497,117,305,281,513,1046
2021,"Camden 022","E02000187",7987,898,1102,572,573,266,794,670,1124,1988
2021,"Camden 023","E02000188",5930,518,953,453,425,252,517,467,879,1466
2021,"Camden 026","E02000191",5023,888,780,208,278,86,162,156,274,2191
2021,"Camden 027","E02000192",5740,1158,1063,409,500,160,473,380,728,869
2021,"Camden 028","E02000193",5502,1162,1042,314,445,137,296,272,446,1388
2021,"Croydon 001","E02000194",7483,1392,2084,782,761,265,596,528,620,455
2021,"Croydon 002","E02000195",7738,1255,1741,845,1135,275,601,566,714,606
2021,"Croydon 003","E02000196",6480,788,1231,742,906,278,627,575,825,508
2021,"Croydon 004","E02000197",7314,902,1424,806,1100,296,745,668,727,646
2021,"Croydon 005","E02000198",7013,649,1263,809,876,362,814,785,801,654
2021,"Croydon 006","E02000199",6748,788,1457,817,837,296,646,661,626,620
2021,"Croydon 007","E02000200",7352,1138,1854,812,746,295,710,630,629,538
2021,"Croydon 008","E02000201",6782,835,1368,798,779,318,742,692,741,509
2021,"Croydon 009","E02000202",7145,672,1268,804,959,324,824,729,839,726
2021,"Croydon 010","E02000203",6292,506,1119,719,739,317,755,718,849,570
2021,"Croydon 011","E02000204",7612,656,1316,930,936,272,882,807,1090,723
2021,"Croydon 013","E02000206",8346,829,1582,897,953,416,958,974,990,747
2021,"Croydon 014","E02000207",7213,858,1390,832,741,326,780,711,852,723
2021,"Croydon 015","E02000208",8127,676,1384,875,894,342,1001,959,1165,831
2021,"Croydon 016","E02000209",7002,534,1134,767,812,326,963,762,811,893
2021,"Croydon 017","E02000210",6943,1028,1583,868,773,319,676,622,505,569
2021,"Croydon 018","E02000211",6826,1061,1574,1099,836,304,613,457,464,418
2021,"Croydon 019","E02000212",7203,478,1122,824,713,296,1041,910,995,824
2021,"Croydon 020","E02000213",9891,1130,1771,979,1003,465,1252,1138,1295,858
2021,"Croydon 021","E02000214",5086,909,1298,705,563,194,444,299,325,349
2021,"Croydon 022","E02000215",9620,1590,1984,1045,1197,428,923,832,906,715
2021,"Croydon 023","E02000216",5750,1434,1367,646,585,165,375,292,506,380
2021,"Croydon 024","E02000217",9313,1292,1890,1078,1094,442,998,960,830,729
2021,"Croydon 025","E02000218",5127,612,1036,685,518,206,583,429,532,526
2021,"Croydon 026","E02000219",6507,1213,1557,987,797,257,475,351,493,377
2021,"Croydon 028","E02000221",8356,1034,1591,1032,823,386,935,802,933,820
2021,"Croydon 029","E02000222",6729,1475,1697,811,724,221,505,414,482,400
2021,"Croydon 030","E02000223",6015,285,769,636,524,337,908,916,843,797
2021,"Croydon 031","E02000224",6404,1144,1593,822,713,280,517,439,444,452
2021,"Croydon 032","E02000225",5828,347,932,726,594,358,829,877,663,502
2021,"Croydon 033","E02000226",6283,1151,1543,931,777,241,490,321,385,444
2021,"Croydon 034","E02000227",9377,1102,2133,1550,1013,465,1084,836,664,530
2021,"Croydon 035","E02000228",6396,1670,1648,889,724,162,382,209,393,319
2021,"Croydon 036","E02000229",4729,297,742,502,482,268,694,695,636,413
2021,"Croydon 037","E02000230",8574,1939,2081,1010,923,295,622,425,761,518
2021,"Croydon 038","E02000231",6542,1730,1486,787,861,129,379,259,477,434
2021,"Croydon 039","E02000232",5073,869,1173,742,638,230,470,330,334,287
2021,"Croydon 040","E02000233",4997,962,1282,670,578,181,417,269,324,314
2021,"Croydon 041","E02000234",7420,1466,1824,978,804,295,555,469,547,482
2021,"Croydon 042","E02000235",5604,1249,1426,747,672,198,413,324,291,284
2021,"Croydon 043","E02000236",7067,1547,1775,951,741,305,549,417,374,408
2021,"Croydon 044","E02000237",6125,1021,1477,944,723,291,552,450,368,299
2021,"Ealing 001","E02000238",8612,878,1516,968,1240,414,932,1018,834,812
2021,"Ealing 002","E02000239",7455,899,1364,828,1126,349,711,799,714,665
2021,"Ealing 003","E02000240",8734,731,1372,833,1127,426,1019,1112,1212,902
2021,"Ealing 004","E02000241",5909,648,1038,647,784,292,605,656,659,580
2021,"Ealing 005","E02000242",5644,552,863,566,846,284,578,736,680,539
2021,"Ealing 006","E02000243",7115,724,1193,750,1170,338,626,830,840,644
2021,"Ealing 007","E02000244",6384,749,1114,602,1121,269,574,659,754,542
2021,"Ealing 008","E02000245",6942,471,1069,751,765,390,851,872,1087,686
2021,"Ealing 009","E02000246",7198,503,1035,760,901,357,853,936,1088,765
2021,"Ealing 010","E02000247",8646,670,1422,873,1091,434,962,1073,1301,820
2021,"Ealing 011","E02000248",6141,1070,1082,561,950,225,445,558,734,516
2021,"Ealing 012","E02000249",6680,621,1047,719,1002,297,645,847,910,592
2021,"Ealing 013","E02000250",5212,1538,1372,491,532,113,226,238,347,355
2021,"Ealing 014","E02000251",6647,562,1038,699,890,355,728,879,906,590
2021,"Ealing 015","E02000252",10461,1172,1560,770,1008,484,791,928,963,2785
2021,"Ealing 016","E02000253",8048,779,1307,813,1021,352,847,878,1211,840
2021,"Ealing 017","E02000254",7494,499,917,693,773,429,888,1275,1299,721
2021,"Ealing 018","E02000255",7878,1613,1732,855,862,230,561,506,798,721
2021,"Ealing 019","E02000256",7779,2077,2014,710,857,203,399,441,535,543
2021,"Ealing 021","E02000258",5481,977,1197,575,668,202,382,415,616,449
2021,"Ealing 022","E02000259",5162,957,1220,529,724,191,395,371,378,397
2021,"Ealing 023","E02000260",7833,421,865,672,655,428,864,1487,1636,805
2021,"Ealing 024","E02000261",10373,1615,2122,905,1161,537,876,931,1167,1059
2021,"Ealing 025","E02000262",7599,1333,1686,616,925,313,554,664,842,666
2021,"Ealing 026","E02000263",10847,544,1042,887,772,592,1295,2333,2213,1169
2021,"Ealing 027","E02000264",7291,1716,1779,629,892,226,407,378,619,645
2021,"Ealing 028","E02000265",9084,1598,2087,866,1050,364,656,709,1077,677
2021,"Ealing 029","E02000266",10327,866,1570,919,1018,498,1205,1260,1887,1104
2021,"Ealing 030","E02000267",6419,1020,1625,610,894,243,492,514,550,471
2021,"Ealing 031","E02000268",7797,1909,1864,690,837,259,496,443,669,630
2021,"Ealing 032","E02000269",6596,1806,1856,615,706,189,299,327,388,410
2021,"Ealing 033","E02000270",7770,1526,1718,716,740,267,624,643,894,642
2021,"Ealing 034","E02000271",5638,1897,1415,446,620,128,224,253,282,373
2021,"Ealing 035","E02000272",5364,1236,1395,550,656,170,333,298,347,379
2021,"Ealing 038","E02000275",6566,491,807,578,641,320,750,1101,1236,642
2021,"Ealing 039","E02000276",5421,1271,1434,522,565,213,326,282,363,445
2021,"Enfield 001","E02000277",5727,410,890,593,648,289,675,861,754,607
2021,"Enfield 002","E02000278",7153,384,993,723,751,374,900,995,1209,824
2021,"Enfield 003","E02000279",9081,733,1509,882,953,367,1058,1237,1340,1002
2021,"Enfield 004","E02000280",6738,974,1543,837,818,285,628,575,599,479
2021,"Enfield 005","E02000281",7377,703,1405,872,893,330,777,838,854,705
2021,"Enfield 006","E02000282",7162,367,877,597,736,328,977,1058,1348,874
2021,"Enfield 007","E02000283",6493,440,959,641,754,347,801,928,952,671
2021,"Enfield 008","E02000284",6915,1208,1699,813,790,249,606,528,598,424
2021,"Enfield 009","E02000285",5373,821,1258,821,646,221,495,434,348,329
2021,"Enfield 010","E02000286",7074,1434,1783,887,844,239,571,435,508,373
2021,"Enfield 011","E02000287",6019,1418,1264,682,978,159,370,257,516,375
2021,"Enfield 012","E02000288",9489,565,1208,867,1087,455,1184,1216,1663,1244
2021,"Enfield 013","E02000289",5466,1097,1258,710,702,185,420,334,398,362
2021,"Enfield 014","E02000290",4855,314,683,418,465,231,640,693,858,553
2021,"Enfield 015","E02000291",8045,1080,1719,808,1007,319,828,767,949,568
2021,"Enfield 016","E02000292",7616,880,1474,918,938,342,797,760,830,677
2021,"Enfield 017","E02000293",5221,1137,1256,629,759,134,343,252,397,314
2021,"Enfield 018","E02000294",7190,414,1037,691,830,360,875,996,1213,774
2021,"Enfield 019","E02000295",6893,1203,1536,781,984,223,547,453,671,495
2021,"Enfield 020","E02000296",8268,1212,1585,829,1277,325,705,663,1009,663
2021,"Enfield 021","E02000297",7729,1265,1665,993,1108,298,691,556,678,475
2021,"Enfield 022","E02000298",6674,1621,1638,745,971,192,357,328,468,354
2021,"Enfield 023","E02000299",7141,369,919,628,842,369,920,1114,1160,820
2021,"Enfield 024","E02000300",6740,440,955,668,886,300,810,886,1055,740
2021,"Enfield 025","E02000301",7752,389,1055,680,817,379,988,1118,1396,930
2021,"Enfield 026","E02000302",6994,884,1381,754,1059,300,647,657,824,488
2021,"Enfield 027","E02000303",6474,353,830,585,810,274,808,867,1182,765
2021,"Enfield 028","E02000304",6550,1450,1621,694,974,162,411,323,456,459
2021,"Enfield 029","E02000305",7309,1369,1708,649,1133,251,517,610,602,470
2021,"Enfield 030","E02000306",6842,338,821,581,708,303,914,936,1465,776
2021,"Enfield 031","E02000307",7820,596,1240,842,1161,347,806,990,1029,809
2021,"Enfield 032","E02000308",7049,971,1423,661,987,275,672,715,768,577
2021,"Enfield 033","E02000309",8797,474,1200,835,1053,463,1046,1225,1458,1043
2021,"Enfield 035","E02000311",8511,773,1329,824,1315,422,915,994,1243,696
2021,"Enfield 036","E02000312",9319,1386,1928,861,1536,404,792,840,888,684
2021,"Greenwich 001","E02000313",4864,300,725,524,500,260,738,638,675,504
2021,"Greenwich 002","E02000314",10650,974,1807,1008,1192,500,1309,1234,1497,1129
2021,"Greenwich 003","E02000315",7288,535,1080,695,736,411,1037,980,958,856
2021,"Greenwich 005","E02000317",5793,539,994,494,527,311,777,650,908,593
2021,"Greenwich 006","E02000318",8718,550,1133,743,851,502,1268,1207,1464,1000
2021,"Greenwich 007","E02000319",8330,835,1416,788,911,389,1072,1064,1125,730
2021,"Greenwich 008","E02000320",5481,541,915,664,583,301,645,700,651,481
2021,"Greenwich 009","E02000321",5982,456,916,577,562,296,898,876,836,565
2021,"Greenwich 011","E02000323",9961,1083,1723,824,969,501,1185,1236,1269,1171
2021,"Greenwich 012","E02000324",6121,674,1119,551,614,312,713,757,801,580
2021,"Greenwich 014","E02000326",6273,1325,1536,619,738,221,502,473,447,412
2021,"Greenwich 015","E02000327",5134,541,1090,513,433,222,652,511,670,502
2021,"Greenwich 016","E02000328",5354,1559,1421,423,445,146,331,321,392,316
2021,"Greenwich 017","E02000329",5030,556,965,621,594,258,596,545,513,382
2021,"Greenwich 019","E02000331",6481,886,1253,690,662,320,698,641,768,563
2021,"Greenwich 020","E02000332",5928,918,1484,669,702,266,488,482,514,405
