"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"Croydon 002","E02000195",4584,1428,574,854,3156,2632,524
2021,"Croydon 003","E02000196",3751,1175,431,744,2576,2212,364
2021,"Croydon 004","E02000197",4458,1390,524,866,3068,2647,421
2021,"Croydon 005","E02000198",4267,1390,442,948,2877,2534,343
2021,"Croydon 006","E02000199",4250,1291,446,845,2959,2525,434
2021,"Croydon 007","E02000200",4735,1323,480,843,3412,2938,474
2021,"Croydon 008","E02000201",4193,1313,472,841,2880,2522,358
2021,"Croydon 009","E02000202",4120,1359,474,885,2761,2391,370
2021,"Croydon 010","E02000203",3717,1187,470,717,2530,2209,321
2021,"Croydon 011","E02000204",4340,1471,501,970,2869,2525,344
2021,"Croydon 013","E02000206",5108,1544,573,971,3564,3157,407
2021,"Croydon 014","E02000207",4361,1256,464,792,3105,2736,369
2021,"Croydon 015","E02000208",4711,1647,607,1040,3064,2760,304
2021,"Croydon 016","E02000209",4234,1507,517,990,2727,2438,289
2021,"Croydon 017","E02000210",4579,1172,401,771,3407,2915,492
2021,"Croydon 018","E02000211",4079,1165,400,765,2914,2503,411
2021,"Croydon 019","E02000212",4224,1470,487,983,2754,2456,298
2021,"Croydon 020","E02000213",5997,1752,637,1115,4245,3733,512
2021,"Croydon 021","E02000214",3097,871,313,558,2226,1885,341
2021,"Croydon 022","E02000215",6260,1662,693,969,4598,3936,662
2021,"Croydon 023","E02000216",3468,812,329,483,2656,2254,402
2021,"Croydon 024","E02000217",6204,1810,653,1157,4394,3774,620
2021,"Croydon 025","E02000218",2795,917,324,593,1878,1636,242
2021,"Croydon 026","E02000219",3647,1089,442,647,2558,2162,396
2021,"Croydon 028","E02000221",4988,1534,529,1005,3454,2999,455
