"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
2021,"Enfield 033","E02000309",11653,10703,16,795,139
2021,"Enfield 035","E02000311",10439,9397,47,817,178
2021,"Enfield 036","E02000312",11150,9764,20,1205,161
2021,"Enfield 037","E02006793",9546,8694,19,730,103
2021,"Greenwich 001","E02000313",6395,5960,26,360,49
2021,"Greenwich 002","E02000314",13941,12324,24,1431,162
2021,"Greenwich 003","E02000315",9729,8973,18,634,104
2021,"Greenwich 005","E02000317",7479,6726,16,672,65
2021,"Greenwich 006","E02000318",10908,9628,15,1076,189
2021,"Greenwich 007","E02000319",10479,9412,18,896,153
2021,"Greenwich 008","E02000320",6967,6361,21,547,38
2021,"Greenwich 009","E02000321",7626,6904,16,595,111
2021,"Greenwich 011","E02000323",12665,11180,43,1222,220
2021,"Greenwich 012","E02000324",7774,7072,16,605,81
2021,"Greenwich 014","E02000326",7707,6788,20,836,63
2021,"Greenwich 015","E02000327",6529,5691,17,729,92
2021,"Greenwich 016","E02000328",6437,5659,24,683,71
2021,"Greenwich 017","E02000329",6246,5777,5,420,44
2021,"Greenwich 019","E02000331",8137,7337,20,695,85
2021,"Greenwich 020","E02000332",7368,6697,15,577,79
2021,"Greenwich 021","E02000333",6162,5410,24,658,70
2021,"Greenwich 022","E02000334",6547,6092,15,386,54
2021,"Greenwich 023","E02000335",6566,6113,12,417,24
2021,"Greenwich 025","E02000337",8386,7886,11,445,44
2021,"Greenwich 027","E02000339",6225,5764,16,404,41
2021,"Greenwich 028","E02000340",6784,6055,25,624,80
2021,"Greenwich 029","E02000341",7904,7355,20,482,47
2021,"Greenwich 030","E02000342",6283,5311,79,769,124
2021,"Greenwich 031","E02000343",6977,6472,18,438,49
2021,"Greenwich 032","E02000344",6353,5848,8,472,25
2021,"Greenwich 033","E02006786",7481,6851,9,577,44
2021,"Greenwich 034","E02006927",12210,10705,44,1299,162
2021,"Greenwich 035","E02006928",11943,8983,139,2291,530
2021,"Greenwich 037","E02006930",9692,7812,56,1660,164
2021,"Greenwich 038","E02006931",9298,7770,67,1272,189
2021,"Greenwich 039","E02006991",6229,4702,24,1354,149
2021,"Greenwich 040","E02006992",8058,6563,37,1282,176
2021,"Greenwich 041","E02006993",8282,6244,46,1729,263
2021,"Greenwich 042","E02006994",7526,6586,19,779,142
2021,"Hackney 001","E02000345",7998,7301,6,640,51
2021,"Hackney 002","E02000346",9255,7553,36,1514,152
2021,"Hackney 003","E02000347",7965,7204,9,678,74
2021,"Hackney 004","E02000348",7914,7297,21,534,62
2021,"Hackney 006","E02000350",10102,8564,29,1394,115
2021,"Hackney 007","E02000351",9146,7341,65,1619,121
2021,"Hackney 008","E02000352",6646,5786,11,777,72
2021,"Hackney 009","E02000353",7687,6402,50,1166,69
2021,"Hackney 010","E02000354",9523,8252,26,1133,112
2021,"Hackney 011","E02000355",8112,7000,21,1013,78
2021,"Hackney 012","E02000356",6957,5738,40,1099,80
2021,"Hackney 013","E02000357",6769,6229,30,456,54
2021,"Hackney 014","E02000358",10994,9173,46,1604,171
2021,"Hackney 015","E02000359",6613,5704,19,834,56
2021,"Hackney 016","E02000360",11378,10099,30,1155,94
2021,"Hackney 017","E02000361",7966,6327,27,1490,122
2021,"Hackney 018","E02000362",6890,5806,21,982,81
2021,"Hackney 019","E02000363",11763,10370,48,1239,106
2021,"Hackney 020","E02000364",9097,7657,37,1244,159
2021,"Hackney 022","E02000366",8250,7219,28,897,106
2021,"Hackney 023","E02000367",10328,8225,45,1839,219
2021,"Hackney 024","E02000368",9834,8524,36,1116,158
2021,"Hackney 025","E02000369",13293,11175,47,1813,258
2021,"Hackney 026","E02000370",8776,7194,70,1266,246
2021,"Hackney 028","E02006918",8229,7323,18,803,85
2021,"Hackney 029","E02006921",7680,7027,13,585,55
2021,"Hackney 030","E02007108",5873,4345,26,1380,122
2021,"Hackney 031","E02007109",7528,6229,29,1152,118
2021,"Hackney 032","E02007110",7277,5440,138,1312,387
2021,"Hackney 033","E02007111",5914,3556,134,1742,482
2021,"Hammersmith and Fulham 001","E02000372",9886,7845,109,1552,380
2021,"Hammersmith and Fulham 002","E02000373",6963,6293,33,567,70
2021,"Hammersmith and Fulham 003","E02000374",6839,5636,75,938,190
2021,"Hammersmith and Fulham 004","E02000375",7406,5994,70,1143,199
2021,"Hammersmith and Fulham 005","E02000376",6627,5203,65,1222,137
2021,"Hammersmith and Fulham 006","E02000377",7693,6268,68,1196,161
2021,"Hammersmith and Fulham 007","E02000378",6376,5032,61,1102,181
2021,"Hammersmith and Fulham 008","E02000379",7310,6329,61,795,125
2021,"Hammersmith and Fulham 009","E02000380",5447,4562,35,737,113
2021,"Hammersmith and Fulham 010","E02000381",7559,6252,64,1060,183
2021,"Hammersmith and Fulham 011","E02000382",6121,4946,70,907,198
2021,"Hammersmith and Fulham 012","E02000383",8406,6489,157,1440,320
2021,"Hammersmith and Fulham 013","E02000384",8210,6413,161,1401,235
2021,"Hammersmith and Fulham 014","E02000385",5561,3962,149,1258,192
2021,"Hammersmith and Fulham 015","E02000386",7517,6146,97,1131,143
2021,"Hammersmith and Fulham 016","E02000387",5984,4615,168,969,232
2021,"Hammersmith and Fulham 017","E02000388",8563,6453,142,1690,278
2021,"Hammersmith and Fulham 018","E02000389",8552,6651,151,1503,247
2021,"Hammersmith and Fulham 019","E02000390",6117,4752,91,1127,147
2021,"Hammersmith and Fulham 020","E02000391",7502,5953,59,1251,239
2021,"Hammersmith and Fulham 021","E02000392",9137,7162,113,1612,250
2021,"Hammersmith and Fulham 022","E02000393",5895,4536,55,1133,171
2021,"Hammersmith and Fulham 023","E02000394",9157,7119,72,1696,270
2021,"Hammersmith and Fulham 024","E02000395",5624,4416,56,1006,146
2021,"Hammersmith and Fulham 025","E02000396",6823,5701,56,897,169
2021,"Haringey 001","E02000397",7821,6738,18,963,102
2021,"Haringey 002","E02000398",7427,6750,11,595,71
2021,"Haringey 004","E02000400",7921,7075,30,724,92
2021,"Haringey 005","E02000401",6810,6156,6,568,80
2021,"Haringey 006","E02000402",6409,5857,12,469,71
2021,"Haringey 007","E02000403",7357,6253,27,967,110
2021,"Haringey 008","E02000404",7058,6204,13,703,138
2021,"Haringey 009","E02000405",6418,5710,18,641,49
2021,"Haringey 010","E02000406",6670,5755,17,798,100
2021,"Haringey 011","E02000407",7536,6614,10,785,127
2021,"Haringey 012","E02000408",8162,7330,13,686,133
2021,"Haringey 013","E02000409",6004,5298,16,621,69
2021,"Haringey 014","E02000410",6361,5383,29,845,104
