"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
2021,"Harrow 031","E02000463",8706,8694,12
2021,"Harrow 032","E02006795",8269,8266,3
2021,"Harrow 033","E02006882",14394,14302,92
2021,"Havering 001","E02000464",7756,7664,92
2021,"Havering 002","E02000465",9346,9345,1
2021,"Havering 003","E02000466",9069,8902,167
2021,"Havering 004","E02000467",11457,11446,11
2021,"Havering 005","E02000468",8651,8581,70
2021,"Havering 006","E02000469",7283,7214,69
2021,"Havering 007","E02000470",9782,9721,61
2021,"Havering 008","E02000471",7820,7817,3
2021,"Havering 009","E02000472",9472,9442,30
2021,"Havering 010","E02000473",10493,10449,44
2021,"Havering 011","E02000474",9185,9136,49
2021,"Havering 012","E02000475",9613,9486,127
2021,"Havering 013","E02000476",9363,9270,93
2021,"Havering 014","E02000477",9535,9525,10
2021,"Havering 015","E02000478",5989,5930,59
2021,"Havering 016","E02000479",9450,9379,71
2021,"Havering 017","E02000480",13842,13675,167
2021,"Havering 018","E02000481",8234,8172,62
2021,"Havering 019","E02000482",6588,6568,20
2021,"Havering 020","E02000483",8001,7973,28
2021,"Havering 021","E02000484",8492,8481,11
2021,"Havering 022","E02000485",8476,8476,0
2021,"Havering 023","E02000486",7355,7300,55
2021,"Havering 024","E02000487",7913,7820,93
2021,"Havering 025","E02000488",7579,7545,34
2021,"Havering 026","E02000489",8634,8634,0
2021,"Havering 027","E02000490",8469,8469,0
2021,"Havering 028","E02000491",10640,10596,44
2021,"Havering 029","E02000492",6830,6802,28
2021,"Havering 030","E02000493",6737,6736,1
2021,"Hillingdon 001","E02000494",7958,7833,125
2021,"Hillingdon 002","E02000495",10417,10372,45
2021,"Hillingdon 003","E02000496",7801,7654,147
2021,"Hillingdon 004","E02000497",9521,9443,78
2021,"Hillingdon 005","E02000498",6377,6377,0
2021,"Hillingdon 006","E02000499",7727,7727,0
2021,"Hillingdon 007","E02000500",8279,8237,42
2021,"Hillingdon 008","E02000501",8475,8421,54
2021,"Hillingdon 009","E02000502",8929,8874,55
2021,"Hillingdon 010","E02000503",8688,8688,0
2021,"Hillingdon 011","E02000504",7643,7643,0
2021,"Hillingdon 013","E02000506",7961,7895,66
2021,"Hillingdon 014","E02000507",8243,8194,49
2021,"Hillingdon 015","E02000508",11949,10470,1479
2021,"Hillingdon 016","E02000509",10555,8480,2075
2021,"Hillingdon 017","E02000510",9115,8919,196
2021,"Hillingdon 018","E02000511",9933,9861,72
2021,"Hillingdon 019","E02000512",8823,8800,23
2021,"Hillingdon 020","E02000513",9760,9760,0
2021,"Hillingdon 021","E02000514",10674,10665,9
2021,"Hillingdon 022","E02000515",13293,13291,2
2021,"Hillingdon 023","E02000516",8646,8629,17
2021,"Hillingdon 024","E02000517",10470,10332,138
2021,"Hillingdon 025","E02000518",9632,9626,6
2021,"Hillingdon 026","E02000519",9554,9550,4
2021,"Hillingdon 027","E02000520",14062,13962,100
2021,"Hillingdon 028","E02000521",13190,13093,97
2021,"Hillingdon 029","E02000522",9576,9469,107
2021,"Hillingdon 030","E02000523",11368,11350,18
2021,"Hillingdon 031","E02000524",7535,7335,200
2021,"Hillingdon 032","E02000525",10062,10045,17
2021,"Hillingdon 033","E02006796",9695,9425,270
2021,"Hounslow 001","E02000526",8640,8456,184
2021,"Hounslow 004","E02000529",9716,9714,2
2021,"Hounslow 005","E02000530",8117,8111,6
2021,"Hounslow 006","E02000531",11583,11512,71
2021,"Hounslow 007","E02000532",8976,8975,1
2021,"Hounslow 008","E02000533",8402,8402,0
2021,"Hounslow 009","E02000534",8558,8460,98
2021,"Hounslow 010","E02000535",10052,10042,10
2021,"Hounslow 011","E02000536",10841,10709,132
2021,"Hounslow 012","E02000537",9845,9805,40
2021,"Hounslow 013","E02000538",10109,10101,8
2021,"Hounslow 014","E02000539",12224,12142,82
2021,"Hounslow 015","E02000540",12122,12101,21
2021,"Hounslow 016","E02000541",10620,10581,39
2021,"Hounslow 017","E02000542",12304,12154,150
2021,"Hounslow 018","E02000543",14001,13967,34
2021,"Hounslow 019","E02000544",8557,8557,0
2021,"Hounslow 020","E02000545",9237,9184,53
2021,"Hounslow 021","E02000546",10427,10269,158
2021,"Hounslow 022","E02000547",11001,10998,3
2021,"Hounslow 023","E02000548",10576,10524,52
2021,"Hounslow 024","E02000549",12535,12222,313
2021,"Hounslow 025","E02000550",10713,10710,3
2021,"Hounslow 026","E02000551",9752,9726,26
2021,"Hounslow 027","E02000552",9258,9012,246
