"date","geography","geography code","Religion: Total: All usual residents","Religion: No religion","Religion: Christian","Religion: Buddhist","Religion: Hindu","Religion: Jewish","Religion: Muslim","Religion: Sikh","Religion: Other religion","Religion: Not answered"
2021,"Bromley 028","E02000154",8526,3025,4116,88,438,29,264,22,39,505
2021,"Bromley 029","E02000155",7153,2483,3643,60,262,11,176,13,20,485
2021,"Bromley 030","E02000156",12292,4234,6537,31,326,43,306,19,47,749
2021,"Bromley 031","E02000157",8366,2848,4262,43,522,31,147,14,17,482
2021,"Bromley 032","E02000158",7786,2617,3910,67,372,11,245,18,29,517
2021,"Bromley 033","E02000159",7118,2516,3720,32,232,15,187,27,14,375
2021,"Bromley 034","E02000160",8108,3094,4162,35,103,18,129,16,24,527
2021,"Bromley 035","E02000161",8705,2940,4088,68,776,18,173,54,48,540
2021,"Bromley 036","E02000162",7120,2432,3812,23,253,8,156,22,35,379
2021,"Bromley 037","E02000163",7713,2804,3747,51,427,18,125,63,32,446
2021,"Bromley 039","E02000165",7173,3184,3395,21,25,14,44,14,23,453
2021,"Camden 001","E02000166",7745,3308,2603,56,26,406,643,11,61,631
2021,"Camden 002","E02000167",7198,2729,2348,87,138,795,247,18,84,752
2021,"Camden 003","E02000168",7810,3712,2424,53,55,259,626,13,64,604
2021,"Camden 004","E02000169",7176,2174,2304,51,259,1116,472,21,79,700
2021,"Camden 005","E02000170",7913,2542,2821,79,264,683,789,25,58,652
2021,"Camden 006","E02000171",7391,2966,2416,69,110,384,704,35,58,649
2021,"Camden 007","E02000172",9996,3375,3262,73,89,152,2221,2,66,756
2021,"Camden 008","E02000173",7496,2450,2467,113,282,819,516,27,66,756
2021,"Camden 009","E02000174",8087,3326,2465,53,55,193,1186,10,71,728
2021,"Camden 010","E02000175",9080,3419,2827,118,257,595,989,18,92,765
2021,"Camden 011","E02000176",5910,2230,1891,94,163,665,252,16,62,537
2021,"Camden 012","E02000177",8487,2752,2715,70,94,277,1809,14,73,683
2021,"Camden 013","E02000178",8903,2785,3042,77,166,311,1742,17,79,684
2021,"Camden 014","E02000179",5748,1762,1674,62,109,564,959,8,45,565
2021,"Camden 015","E02000180",7880,3175,2275,85,72,128,1412,11,67,655
2021,"Camden 016","E02000181",8076,3107,2426,105,259,681,673,22,78,725
2021,"Camden 017","E02000182",7116,2032,1969,188,350,608,1168,16,54,731
2021,"Camden 018","E02000183",7590,2751,2721,56,85,457,799,14,72,635
2021,"Camden 019","E02000184",8905,3186,2671,83,120,95,1860,27,53,810
2021,"Camden 020","E02000185",8883,2080,2941,103,105,219,2588,18,113,716
2021,"Camden 021","E02000186",6223,2366,1907,85,100,196,922,18,67,562
2021,"Camden 022","E02000187",9784,2532,2782,125,135,55,3264,22,61,808
2021,"Camden 023","E02000188",7178,1767,2094,63,92,52,2389,17,48,656
2021,"Camden 026","E02000191",5337,2087,1614,103,174,89,593,18,65,594
2021,"Camden 027","E02000192",6660,2125,2099,58,59,62,1600,7,47,603
2021,"Camden 028","E02000193",5962,2280,1947,115,117,95,765,19,47,577
2021,"Croydon 001","E02000194",9211,3874,3816,101,120,14,552,12,76,646
2021,"Croydon 002","E02000195",9649,2227,4375,82,556,12,1532,55,96,714
2021,"Croydon 003","E02000196",7913,1392,3689,26,405,2,1638,74,81,606
2021,"Croydon 004","E02000197",9025,1564,4388,41,497,17,1657,116,113,632
2021,"Croydon 005","E02000198",8889,1896,5012,41,147,1,1063,21,77,631
2021,"Croydon 006","E02000199",8414,1970,4619,38,187,6,864,18,92,620
2021,"Croydon 007","E02000200",9050,2766,4578,58,127,49,796,15,53,608
2021,"Croydon 008","E02000201",8692,2417,4467,63,120,11,901,15,87,611
2021,"Croydon 009","E02000202",8931,1132,4391,34,852,9,1703,65,124,621
2021,"Croydon 010","E02000203",7965,1416,4209,44,379,11,1169,38,54,645
2021,"Croydon 011","E02000204",9655,1011,4103,39,1222,8,2262,89,211,710
2021,"Croydon 013","E02000206",10818,2399,5748,57,459,19,1142,23,86,885
2021,"Croydon 014","E02000207",8902,2410,4730,51,200,25,725,33,45,683
2021,"Croydon 015","E02000208",10863,1784,5056,27,864,11,2212,31,84,794
2021,"Croydon 016","E02000209",9067,1102,4017,49,1782,5,1416,45,75,576
2021,"Croydon 017","E02000210",8714,2522,4477,52,277,8,680,16,53,629
2021,"Croydon 018","E02000211",8273,2337,4332,27,482,5,415,58,43,574
2021,"Croydon 019","E02000212",9461,1409,4430,40,1225,12,1619,23,49,654
2021,"Croydon 020","E02000213",12798,2648,6284,147,744,14,1808,52,81,1020
2021,"Croydon 021","E02000214",6236,1656,3310,26,271,11,496,16,51,399
2021,"Croydon 022","E02000215",11824,3285,5481,58,805,19,1224,30,100,822
2021,"Croydon 023","E02000216",7159,1329,2738,60,1484,21,892,45,157,433
2021,"Croydon 024","E02000217",11926,3011,5931,121,620,14,1204,43,94,888
2021,"Croydon 025","E02000218",6671,1615,3482,17,277,12,738,22,48,460
2021,"Croydon 026","E02000219",7629,1854,4008,85,525,14,517,51,72,503
2021,"Croydon 028","E02000221",10858,2712,5097,100,758,14,1263,35,122,757
2021,"Croydon 029","E02000222",8350,2711,3994,42,443,20,537,21,71,511
2021,"Croydon 030","E02000223",8532,2730,4262,19,134,5,851,6,46,479
2021,"Croydon 031","E02000224",8054,2410,3980,68,428,8,573,30,51,506
2021,"Croydon 032","E02000225",7499,2675,3786,11,109,10,419,28,27,434
2021,"Croydon 033","E02000226",7614,2013,3903,54,560,14,503,28,61,478
2021,"Croydon 034","E02000227",11680,3810,5934,59,337,24,717,37,38,724
2021,"Croydon 035","E02000228",7954,2313,4078,49,578,23,376,51,26,460
2021,"Croydon 036","E02000229",6234,2285,3155,22,87,8,311,6,22,338
2021,"Croydon 037","E02000230",10502,2832,5071,105,705,17,844,63,75,790
2021,"Croydon 038","E02000231",7930,1737,3672,44,947,13,819,116,76,506
2021,"Croydon 039","E02000232",6196,2056,2977,24,305,18,324,36,17,439
2021,"Croydon 040","E02000233",6366,2071,3048,34,351,12,395,16,45,394
2021,"Croydon 041","E02000234",9449,2913,4483,76,538,15,683,26,60,655
2021,"Croydon 042","E02000235",6891,2317,3413,27,336,10,307,26,30,425
2021,"Croydon 043","E02000236",9132,3327,4221,43,496,27,392,37,34,555
2021,"Croydon 044","E02000237",7601,2448,4180,28,204,6,186,18,33,498
2021,"Ealing 001","E02000238",10707,1313,4787,174,1687,23,1765,189,58,711
2021,"Ealing 002","E02000239",9040,873,3613,139,1747,8,1761,184,105,610
2021,"Ealing 003","E02000240",11210,1696,4794,292,1314,18,2039,255,129,673
2021,"Ealing 004","E02000241",7395,1007,3221,159,910,8,1326,134,64,566
2021,"Ealing 005","E02000242",6884,592,2495,103,1500,5,1505,165,76,443
2021,"Ealing 006","E02000243",8722,1109,3963,74,760,22,1797,274,76,647
2021,"Ealing 007","E02000244",7889,1042,3614,50,461,6,1939,137,57,583
2021,"Ealing 008","E02000245",9309,1379,3640,86,741,6,2543,363,50,501
2021,"Ealing 009","E02000246",9461,1267,3714,108,814,13,2343,574,73,555
2021,"Ealing 010","E02000247",11156,1374,4505,164,967,8,2722,712,65,639
2021,"Ealing 011","E02000248",7717,1350,3096,64,343,39,2004,118,67,636
2021,"Ealing 012","E02000249",8377,980,3584,71,797,7,1800,590,42,506
2021,"Ealing 013","E02000250",6483,1814,3141,80,195,51,544,113,55,490
2021,"Ealing 014","E02000251",8313,542,2541,88,1385,1,1739,1538,34,445
2021,"Ealing 015","E02000252",12239,3163,4821,137,325,32,2504,93,86,1078
2021,"Ealing 016","E02000253",10344,1956,4441,85,514,16,2327,301,57,647
2021,"Ealing 017","E02000254",9209,414,1480,40,1840,3,1749,3239,56,388
2021,"Ealing 018","E02000255",9862,2386,4082,70,347,51,1891,196,87,752
2021,"Ealing 019","E02000256",9183,2694,3954,101,423,63,897,211,67,773
2021,"Ealing 021","E02000258",6900,1812,2782,214,114,18,1193,47,39,681
2021,"Ealing 022","E02000259",6581,1672,3333,37,197,21,751,100,38,432
2021,"Ealing 023","E02000260",9839,336,2039,38,1557,7,2490,2884,71,417
2021,"Ealing 024","E02000261",12656,2827,4901,88,226,27,3278,60,104,1145
2021,"Ealing 025","E02000262",9342,2697,3731,93,96,45,1836,54,75,715
2021,"Ealing 026","E02000263",13706,412,2768,41,2418,2,3938,3510,108,509
2021,"Ealing 027","E02000264",8496,2483,3579,140,200,54,1051,165,52,772
2021,"Ealing 028","E02000265",11231,3094,4591,88,279,47,1952,273,94,813
2021,"Ealing 029","E02000266",13114,1452,3366,84,1219,17,4025,2210,67,674
2021,"Ealing 030","E02000267",8152,2373,3909,95,183,16,841,160,34,541
2021,"Ealing 031","E02000268",9250,2860,4030,103,255,64,1017,110,75,736
2021,"Ealing 032","E02000269",8167,2944,3583,88,251,43,499,131,43,585
2021,"Ealing 033","E02000270",9608,2761,3493,104,176,36,2303,80,49,606
2021,"Ealing 034","E02000271",6950,2480,3174,54,110,65,429,22,50,566
2021,"Ealing 035","E02000272",6713,2196,2950,62,224,36,537,124,64,520
2021,"Ealing 038","E02000275",8170,370,1844,24,999,5,1396,3140,71,321
2021,"Ealing 039","E02000276",6763,2408,3015,61,190,26,514,44,34,471
2021,"Enfield 001","E02000277",7529,1382,3880,34,107,20,1259,31,337,479
2021,"Enfield 002","E02000278",9427,1927,4131,37,139,18,1944,24,590,617
2021,"Enfield 003","E02000279",12321,2428,5815,47,236,20,2305,29,571,870
2021,"Enfield 004","E02000280",8633,2627,4381,22,115,82,644,12,181,569
2021,"Enfield 005","E02000281",9653,2596,4427,61,391,28,1275,25,231,619
2021,"Enfield 006","E02000282",9951,1913,4205,24,156,21,2427,23,534,648
2021,"Enfield 007","E02000283",8538,1581,3935,22,163,13,1756,27,442,599
2021,"Enfield 008","E02000284",8738,2629,4381,54,162,79,627,3,107,696
2021,"Enfield 009","E02000285",6642,1499,3873,43,191,25,502,26,75,408
2021,"Enfield 010","E02000286",8685,2367,4424,79,241,296,618,23,117,520
2021,"Enfield 011","E02000287",7353,1363,3340,77,425,695,719,43,156,535
2021,"Enfield 012","E02000288",12785,1761,4737,61,227,19,4440,21,479,1040
2021,"Enfield 013","E02000289",6773,1377,3378,41,442,199,693,14,158,471
2021,"Enfield 014","E02000290",6683,1157,2724,13,137,6,1926,24,296,400
2021,"Enfield 015","E02000291",10165,2468,4934,75,167,92,1425,30,234,740
2021,"Enfield 016","E02000292",9837,2223,4668,43,295,35,1714,18,192,649
2021,"Enfield 017","E02000293",6399,1478,3436,48,261,143,472,27,131,403
2021,"Enfield 018","E02000294",9369,1297,4090,10,288,12,2584,47,373,668
2021,"Enfield 019","E02000295",8691,1977,4050,83,425,204,1038,58,215,641
2021,"Enfield 020","E02000296",10343,2296,4541,72,432,326,1422,52,284,918
2021,"Enfield 021","E02000297",9397,1847,5054,31,369,92,1112,51,143,698
2021,"Enfield 022","E02000298",8254,1883,4729,25,263,149,546,62,70,527
2021,"Enfield 023","E02000299",9494,1130,4173,38,331,14,2790,43,363,612
2021,"Enfield 024","E02000300",8853,1025,4284,48,391,86,2103,35,303,578
2021,"Enfield 025","E02000301",10218,1473,4530,33,278,15,2792,37,425,635
2021,"Enfield 026","E02000302",8671,1688,4089,33,374,77,1421,42,169,778
2021,"Enfield 027","E02000303",8367,1250,3534,42,224,5,2296,22,428,566
2021,"Enfield 028","E02000304",8041,1973,3635,67,320,379,939,78,142,508
2021,"Enfield 029","E02000305",8877,2419,4428,62,180,123,902,33,118,612
2021,"Enfield 030","E02000306",9133,1170,3722,26,161,10,2925,21,528,570
