"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Greenwich 003","E02000315",3490,2337,879,274
2021,"Greenwich 005","E02000317",2820,1935,716,169
2021,"Greenwich 006","E02000318",3581,2442,901,238
2021,"Greenwich 007","E02000319",3919,2787,923,209
2021,"Greenwich 008","E02000320",2557,1819,585,153
2021,"Greenwich 009","E02000321",2958,1991,760,207
2021,"Greenwich 011","E02000323",4820,3554,1029,237
2021,"Greenwich 012","E02000324",2854,1805,802,247
2021,"Greenwich 014","E02000326",3050,2264,618,168
2021,"Greenwich 015","E02000327",2635,1865,646,124
2021,"Greenwich 016","E02000328",2946,2130,699,117
2021,"Greenwich 017","E02000329",2462,1626,647,189
2021,"Greenwich 019","E02000331",3191,2187,772,232
2021,"Greenwich 020","E02000332",2999,2171,659,169
2021,"Greenwich 021","E02000333",2884,2194,575,115
2021,"Greenwich 022","E02000334",2544,1737,636,171
2021,"Greenwich 023","E02000335",2592,1798,635,159
2021,"Greenwich 025","E02000337",3084,1913,839,332
2021,"Greenwich 027","E02000339",2591,1817,640,134
2021,"Greenwich 028","E02000340",3020,2146,735,139
2021,"Greenwich 029","E02000341",2941,1813,827,301
2021,"Greenwich 030","E02000342",2342,1612,582,148
2021,"Greenwich 031","E02000343",2696,1759,701,236
2021,"Greenwich 032","E02000344",2448,1817,484,147
2021,"Hackney 001","E02000345",2589,1923,553,113
2021,"Hackney 002","E02000346",3972,2905,876,191
2021,"Hackney 003","E02000347",2582,1910,549,123
2021,"Hackney 004","E02000348",2723,1874,715,134
2021,"Hackney 006","E02000350",3693,2684,820,189
2021,"Hackney 007","E02000351",4231,3163,893,175
2021,"Hackney 008","E02000352",2685,1903,647,135
2021,"Hackney 009","E02000353",3156,2295,707,154
2021,"Hackney 010","E02000354",3989,2725,1066,198
2021,"Hackney 011","E02000355",3114,2177,743,194
2021,"Hackney 012","E02000356",3061,2296,634,131
2021,"Hackney 013","E02000357",2721,1785,760,176
2021,"Hackney 014","E02000358",4816,3434,1143,239
2021,"Hackney 015","E02000359",2437,1696,564,177
2021,"Hackney 016","E02000360",4852,3306,1261,285
2021,"Hackney 017","E02000361",3678,2702,832,144
2021,"Hackney 018","E02000362",2805,1867,772,166
2021,"Hackney 019","E02000363",4440,3092,1072,276
2021,"Hackney 020","E02000364",4099,2943,969,187
2021,"Hackney 022","E02000366",3539,2291,1054,194
2021,"Hackney 023","E02000367",4594,3482,930,182
2021,"Hackney 024","E02000368",4152,2749,1129,274
2021,"Hackney 025","E02000369",5929,4442,1229,258
2021,"Hackney 026","E02000370",3992,2964,880,148
2021,"Hammersmith and Fulham 001","E02000372",3876,2731,920,225
2021,"Hammersmith and Fulham 002","E02000373",2537,1738,637,162
2021,"Hammersmith and Fulham 003","E02000374",2616,1850,614,152
2021,"Hammersmith and Fulham 004","E02000375",3497,2593,785,119
2021,"Hammersmith and Fulham 005","E02000376",3183,2415,665,103
2021,"Hammersmith and Fulham 006","E02000377",3446,2534,780,132
2021,"Hammersmith and Fulham 007","E02000378",3251,2575,601,75
2021,"Hammersmith and Fulham 008","E02000379",3104,2386,621,97
2021,"Hammersmith and Fulham 009","E02000380",2498,1950,462,86
2021,"Hammersmith and Fulham 010","E02000381",3546,2751,685,110
2021,"Hammersmith and Fulham 011","E02000382",2772,2134,564,74
2021,"Hammersmith and Fulham 012","E02000383",4111,3187,788,136
2021,"Hammersmith and Fulham 013","E02000384",3808,2814,856,138
2021,"Hammersmith and Fulham 014","E02000385",2850,2321,470,59
2021,"Hammersmith and Fulham 015","E02000386",3366,2435,778,153
2021,"Hammersmith and Fulham 016","E02000387",2587,1933,514,140
2021,"Hammersmith and Fulham 017","E02000388",4131,3276,749,106
2021,"Hammersmith and Fulham 018","E02000389",3674,2930,643,101
2021,"Hammersmith and Fulham 019","E02000390",2718,2111,505,102
2021,"Hammersmith and Fulham 020","E02000391",3286,2589,604,93
2021,"Hammersmith and Fulham 021","E02000392",4039,3215,703,121
2021,"Hammersmith and Fulham 022","E02000393",2588,2157,364,67
2021,"Hammersmith and Fulham 023","E02000394",4346,3476,734,136
2021,"Hammersmith and Fulham 024","E02000395",2640,2154,436,50
2021,"Hammersmith and Fulham 025","E02000396",2771,2193,468,110
2021,"Haringey 001","E02000397",3472,2522,804,146
2021,"Haringey 002","E02000398",2881,1951,763,167
2021,"Haringey 004","E02000400",3120,2276,700,144
2021,"Haringey 005","E02000401",2477,1568,695,214
2021,"Haringey 006","E02000402",2426,1619,647,160
2021,"Haringey 007","E02000403",2990,2210,641,139
2021,"Haringey 008","E02000404",2665,1828,660,177
2021,"Haringey 009","E02000405",2462,1841,503,118
2021,"Haringey 010","E02000406",2595,1751,678,166
2021,"Haringey 011","E02000407",3005,2103,743,159
2021,"Haringey 012","E02000408",3001,2023,787,191
2021,"Haringey 013","E02000409",2370,1614,615,141
2021,"Haringey 014","E02000410",2614,2051,484,79
2021,"Haringey 015","E02000411",3952,2840,936,176
2021,"Haringey 016","E02000412",2870,1976,696,198
2021,"Haringey 017","E02000413",2964,2215,619,130
2021,"Haringey 018","E02000414",2717,2007,555,155
2021,"Haringey 019","E02000415",2835,2057,636,142
2021,"Haringey 020","E02000416",3919,2850,902,167
2021,"Haringey 021","E02000417",2868,2163,602,103
2021,"Haringey 022","E02000418",2208,1604,488,116
2021,"Haringey 023","E02000419",3645,2736,747,162
2021,"Haringey 024","E02000420",3435,2478,806,151
2021,"Haringey 025","E02000421",3142,2202,787,153
2021,"Haringey 026","E02000422",2887,2021,686,180
2021,"Haringey 027","E02000423",2672,1966,553,153
2021,"Haringey 028","E02000424",2984,2164,691,129
2021,"Haringey 029","E02000425",2163,1608,449,106
2021,"Haringey 030","E02000426",2744,2044,596,104
2021,"Haringey 031","E02000427",2869,2140,610,119
2021,"Haringey 032","E02000428",2922,2030,694,198
2021,"Haringey 033","E02000429",3201,2494,619,88
