"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Ealing 024","E02000261",4977,1608,780,828,243,243,1114,571,543,1994,1812,182,18
2021,"Ealing 025","E02000262",3946,1384,592,792,72,72,919,300,619,1563,1486,77,8
2021,"Ealing 026","E02000263",3646,1611,997,614,80,80,637,209,428,1310,1163,147,8
2021,"Ealing 027","E02000264",3543,1590,815,775,32,32,366,87,279,1553,1459,94,2
2021,"Ealing 028","E02000265",4733,1869,829,1040,115,115,1106,251,855,1628,1516,112,15
2021,"Ealing 029","E02000266",4298,1454,622,832,241,241,1723,879,844,859,755,104,21
2021,"Ealing 030","E02000267",3219,1651,736,915,116,116,444,152,292,1005,935,70,3
2021,"Ealing 031","E02000268",3864,1910,944,966,34,34,639,467,172,1270,1178,92,11
2021,"Ealing 032","E02000269",3307,1980,1014,966,11,11,191,106,85,1125,1057,68,0
2021,"Ealing 033","E02000270",4116,1353,387,966,268,268,1381,520,861,1104,1026,78,10
2021,"Ealing 034","E02000271",2977,1823,869,954,17,17,188,74,114,948,882,66,1
2021,"Ealing 035","E02000272",2539,1820,970,850,19,19,163,100,63,534,482,52,3
2021,"Ealing 038","E02000275",2348,981,526,455,19,19,481,203,278,855,756,99,12
2021,"Ealing 039","E02000276",2724,1479,645,834,15,15,298,147,151,930,874,56,2
2021,"Enfield 001","E02000277",2628,1428,727,701,19,19,370,203,167,806,743,63,5
2021,"Enfield 002","E02000278",3341,1271,636,635,40,40,1125,784,341,893,795,98,12
2021,"Enfield 003","E02000279",4419,1667,614,1053,202,202,1120,526,594,1420,1343,77,10
2021,"Enfield 004","E02000280",3410,2135,1037,1098,34,34,679,549,130,553,479,74,9
2021,"Enfield 005","E02000281",3550,1772,756,1016,69,69,774,491,283,923,867,56,12
2021,"Enfield 006","E02000282",3468,1095,475,620,23,23,1221,918,303,1106,1064,42,23
2021,"Enfield 007","E02000283",2800,1508,701,807,16,16,476,309,167,797,740,57,3
2021,"Enfield 008","E02000284",3618,2229,1064,1165,34,34,415,294,121,935,853,82,5
2021,"Enfield 009","E02000285",2460,2052,1084,968,6,6,84,46,38,318,282,36,0
2021,"Enfield 010","E02000286",4002,2632,1408,1224,12,12,263,124,139,1092,999,93,3
2021,"Enfield 011","E02000287",2870,2030,1075,955,50,50,248,159,89,537,472,65,5
2021,"Enfield 012","E02000288",4053,1654,736,918,70,70,954,597,357,1360,1265,95,15
2021,"Enfield 013","E02000289",2427,1983,1065,918,8,8,161,88,73,275,240,35,0
2021,"Enfield 014","E02000290",2517,832,334,498,47,47,808,557,251,811,757,54,19
2021,"Enfield 015","E02000291",4329,2066,992,1074,23,23,618,450,168,1616,1531,85,6
2021,"Enfield 016","E02000292",3569,2309,1031,1278,15,15,290,223,67,952,869,83,3
2021,"Enfield 017","E02000293",2491,1972,1122,850,7,7,86,46,40,426,381,45,0
2021,"Enfield 018","E02000294",3086,1555,807,748,32,32,572,369,203,919,861,58,8
2021,"Enfield 019","E02000295",3350,2124,1114,1010,48,48,310,128,182,868,803,65,0
2021,"Enfield 020","E02000296",4040,1926,1042,884,29,29,388,309,79,1694,1585,109,3
2021,"Enfield 021","E02000297",3475,2789,1535,1254,10,10,83,43,40,591,534,57,2
2021,"Enfield 022","E02000298",3056,2331,1158,1173,5,5,107,77,30,612,552,60,1
2021,"Enfield 023","E02000299",3317,1325,704,621,56,56,531,279,252,1398,1295,103,7
