"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"Croydon 004","E02000197",4457,500,887,577,437,486,428,337,303,502
2021,"Croydon 005","E02000198",4267,402,789,523,409,469,562,322,287,504
2021,"Croydon 006","E02000199",4249,462,906,575,420,386,477,297,290,436
2021,"Croydon 007","E02000200",4734,583,1213,833,428,321,446,268,232,410
2021,"Croydon 008","E02000201",4190,454,861,624,386,361,495,291,247,471
2021,"Croydon 009","E02000202",4121,386,757,462,450,370,452,414,383,447
2021,"Croydon 010","E02000203",3718,337,643,470,352,349,482,314,251,520
2021,"Croydon 011","E02000204",4341,379,788,474,511,347,443,471,339,589
2021,"Croydon 013","E02000206",5108,505,947,685,457,477,593,396,374,674
2021,"Croydon 014","E02000207",4361,437,914,629,448,373,504,313,290,453
2021,"Croydon 015","E02000208",4713,392,873,513,419,392,635,442,408,639
2021,"Croydon 016","E02000209",4233,378,670,419,429,370,473,616,369,509
2021,"Croydon 017","E02000210",4585,511,1073,667,460,438,439,277,256,464
2021,"Croydon 018","E02000211",4080,571,927,594,570,392,319,269,203,235
2021,"Croydon 019","E02000212",4224,310,678,430,418,351,536,561,365,575
2021,"Croydon 020","E02000213",5996,553,1241,731,508,463,759,605,364,772
2021,"Croydon 021","E02000214",3096,449,825,473,372,241,214,212,135,175
2021,"Croydon 022","E02000215",6255,779,1547,919,513,555,570,400,308,664
2021,"Croydon 023","E02000216",3468,558,1262,437,308,213,214,170,115,191
2021,"Croydon 024","E02000217",6205,688,1350,810,599,566,608,520,394,670
2021,"Croydon 025","E02000218",2795,341,534,367,333,259,321,231,155,254
2021,"Croydon 026","E02000219",3651,618,929,516,474,320,253,207,178,156
2021,"Croydon 028","E02000221",4988,541,1066,627,535,445,557,446,300,471
2021,"Croydon 029","E02000222",4496,730,1260,702,450,303,322,242,211,276
