"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"Brent 024","E02000116",3237,3204,33,0,0
2021,"Brent 025","E02000117",4759,4701,55,3,0
2021,"Brent 026","E02000118",3157,3090,64,3,0
2021,"Brent 027","E02000119",3952,3902,49,1,0
2021,"Brent 028","E02000120",4243,4187,54,2,0
2021,"Brent 029","E02000121",3627,3568,55,4,0
2021,"Brent 030","E02000122",3160,3099,60,1,0
2021,"Brent 031","E02000123",5539,5455,83,1,0
2021,"Brent 032","E02000124",4163,4084,77,2,0
2021,"Brent 033","E02000125",3942,3868,73,1,0
2021,"Brent 034","E02000126",3405,3367,38,0,0
2021,"Bromley 001","E02000127",3785,3643,140,2,0
2021,"Bromley 002","E02000128",3063,2923,134,6,0
2021,"Bromley 004","E02000130",3665,3553,110,2,0
2021,"Bromley 005","E02000131",5068,4949,119,0,0
2021,"Bromley 006","E02000132",4941,4788,151,2,0
2021,"Bromley 007","E02000133",4326,4109,215,2,0
2021,"Bromley 008","E02000134",5300,5145,150,5,0
2021,"Bromley 009","E02000135",4441,4351,88,2,0
2021,"Bromley 010","E02000136",2294,2141,152,1,0
2021,"Bromley 011","E02000137",3674,3511,159,3,1
2021,"Bromley 012","E02000138",4139,3923,213,3,0
2021,"Bromley 013","E02000139",3308,3190,116,2,0
2021,"Bromley 014","E02000140",3340,3204,131,5,0
2021,"Bromley 015","E02000141",3092,2996,95,1,0
2021,"Bromley 016","E02000142",3452,3305,145,2,0
2021,"Bromley 018","E02000144",4312,4171,139,2,0
2021,"Bromley 019","E02000145",3514,3370,141,3,0
2021,"Bromley 020","E02000146",4041,3884,154,3,0
2021,"Bromley 021","E02000147",3167,3009,153,5,0
2021,"Bromley 022","E02000148",2699,2547,151,1,0
