"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
2021,"Camden 022","E02000187",3817,0,1373,1046,553,417,242,111,46,29
2021,"Camden 023","E02000188",2719,0,937,687,450,314,184,78,40,29
2021,"Camden 026","E02000191",2107,0,1068,680,195,99,34,19,5,7
2021,"Camden 027","E02000192",3088,0,1305,953,376,227,123,61,28,15
2021,"Camden 028","E02000193",3099,0,1630,954,280,135,53,28,13,6
2021,"Camden 029","E02007115",4468,0,2031,1304,533,292,172,77,30,29
2021,"Croydon 001","E02000194",4202,0,1522,1383,697,421,116,41,14,8
2021,"Croydon 002","E02000195",3493,0,825,1017,630,584,249,112,43,33
2021,"Croydon 003","E02000196",2815,0,707,812,493,389,209,106,51,48
2021,"Croydon 004","E02000197",3318,0,843,915,641,504,245,102,35,33
2021,"Croydon 005","E02000198",3504,0,1100,878,688,475,227,87,26,23
2021,"Croydon 006","E02000199",3205,0,828,880,689,474,221,70,27,16
2021,"Croydon 007","E02000200",4001,0,1433,1262,636,422,176,44,9,19
2021,"Croydon 008","E02000201",3820,0,1377,1122,637,420,176,54,22,12
2021,"Croydon 009","E02000202",3035,0,724,728,557,522,253,184,33,34
2021,"Croydon 010","E02000203",3119,0,1049,796,484,418,219,101,38,14
2021,"Croydon 011","E02000204",3229,0,744,796,580,513,309,153,80,54
2021,"Croydon 013","E02000206",4464,0,1496,1217,819,578,227,82,24,21
2021,"Croydon 014","E02000207",3560,0,1088,995,665,472,199,72,54,15
2021,"Croydon 015","E02000208",4098,0,1276,943,774,607,291,116,57,34
2021,"Croydon 016","E02000209",3063,0,639,710,649,577,297,127,35,29
2021,"Croydon 017","E02000210",3447,0,934,1055,653,499,194,71,25,16
2021,"Croydon 018","E02000211",3294,0,859,1046,599,536,179,54,15,6
2021,"Croydon 019","E02000212",3263,0,718,793,703,561,296,125,44,23
2021,"Croydon 020","E02000213",5391,0,1886,1566,865,600,278,125,45,26
2021,"Croydon 021","E02000214",2324,0,483,752,464,411,138,52,11,13
2021,"Croydon 022","E02000215",5254,0,1920,1640,821,527,211,87,30,18
2021,"Croydon 023","E02000216",2941,0,940,827,526,450,136,38,14,10
2021,"Croydon 024","E02000217",5021,0,1650,1444,922,620,256,74,37,18
2021,"Croydon 025","E02000218",2351,0,457,698,464,402,208,87,25,10
2021,"Croydon 026","E02000219",2984,0,715,1055,514,447,175,50,17,11
2021,"Croydon 028","E02000221",3988,0,1096,1000,769,631,311,118,48,15
2021,"Croydon 029","E02000222",3631,0,1176,1215,584,467,136,36,8,9
2021,"Croydon 030","E02000223",2789,0,579,602,544,494,382,128,35,25
2021,"Croydon 031","E02000224",3271,0,940,1004,621,471,158,51,18,8
2021,"Croydon 032","E02000225",2659,0,580,698,548,469,242,77,29,16
2021,"Croydon 033","E02000226",2783,0,562,925,540,502,173,53,16,12
2021,"Croydon 034","E02000227",4839,0,1475,1466,840,701,254,68,22,13
2021,"Croydon 035","E02000228",3007,0,627,1034,549,555,182,42,11,7
2021,"Croydon 036","E02000229",2237,0,559,556,467,357,189,62,36,11
2021,"Croydon 037","E02000230",4231,0,1215,1380,726,621,191,67,18,13
2021,"Croydon 038","E02000231",2748,0,496,899,512,535,186,76,25,19
2021,"Croydon 039","E02000232",2370,0,524,782,440,427,142,39,9,7
2021,"Croydon 040","E02000233",2395,0,527,792,478,403,136,35,12,12
2021,"Croydon 041","E02000234",3720,0,967,1175,678,610,211,62,13,4
2021,"Croydon 042","E02000235",2660,0,544,959,536,422,160,25,10,4
2021,"Croydon 043","E02000236",3308,0,562,1066,701,698,198,65,13,5
2021,"Croydon 044","E02000237",3037,0,758,1021,532,506,164,42,8,6
2021,"Croydon 045","E02006788",2895,0,694,861,592,473,177,64,22,12
2021,"Croydon 046","E02006987",3879,0,1650,1473,457,214,70,7,6,2
2021,"Croydon 047","E02006988",3305,0,1344,941,544,326,110,30,7,3
2021,"Ealing 001","E02000238",3738,0,881,902,741,667,321,127,49,50
2021,"Ealing 002","E02000239",2929,0,535,724,583,541,309,136,54,47
2021,"Ealing 003","E02000240",3896,0,862,991,802,682,324,135,56,44
2021,"Ealing 004","E02000241",2599,0,578,693,490,479,220,79,36,24
2021,"Ealing 005","E02000242",2231,0,409,565,425,407,239,106,44,36
2021,"Ealing 006","E02000243",3128,0,848,759,563,515,252,115,45,31
2021,"Ealing 007","E02000244",2938,0,826,725,547,451,249,97,22,21
2021,"Ealing 008","E02000245",3355,0,865,801,681,543,279,120,37,29
2021,"Ealing 009","E02000246",3072,0,634,679,567,591,375,131,53,42
2021,"Ealing 010","E02000247",3892,0,962,914,770,727,300,134,49,36
2021,"Ealing 011","E02000248",2990,0,881,797,538,473,170,86,23,22
2021,"Ealing 012","E02000249",2915,0,735,680,553,495,262,110,44,36
2021,"Ealing 013","E02000250",2544,0,660,768,478,463,135,28,9,3
2021,"Ealing 014","E02000251",2542,0,463,543,444,536,305,122,68,61
2021,"Ealing 015","E02000252",4408,0,1643,1247,647,462,237,103,39,30
2021,"Ealing 016","E02000253",3838,0,1090,899,759,635,266,136,30,23
2021,"Ealing 017","E02000254",2610,0,384,505,471,559,349,174,104,64
2021,"Ealing 018","E02000255",3791,0,1042,1102,698,616,200,62,41,30
2021,"Ealing 019","E02000256",4026,0,1261,1371,741,452,149,34,10,8
2021,"Ealing 021","E02000258",2602,0,740,691,433,439,183,79,24,13
2021,"Ealing 022","E02000259",2396,0,499,687,515,461,142,53,19,20
2021,"Ealing 023","E02000260",2753,0,492,550,442,506,355,194,87,127
2021,"Ealing 024","E02000261",4977,0,1536,1457,797,625,302,136,70,54
2021,"Ealing 025","E02000262",3946,0,1368,1155,639,481,180,71,32,20
2021,"Ealing 026","E02000263",3645,0,633,580,560,675,547,270,163,217
2021,"Ealing 027","E02000264",3543,0,1140,1098,615,430,168,52,23,17
2021,"Ealing 028","E02000265",4733,0,1546,1423,859,595,182,87,22,19
2021,"Ealing 029","E02000266",4296,0,1071,977,753,680,408,203,104,100
2021,"Ealing 030","E02000267",3219,0,852,978,595,549,174,48,10,13
2021,"Ealing 031","E02000268",3863,0,1167,1278,642,519,179,42,23,13
2021,"Ealing 032","E02000269",3303,0,883,1064,582,569,166,28,5,6
2021,"Ealing 033","E02000270",4117,0,1389,1263,676,494,169,78,25,23
2021,"Ealing 034","E02000271",2978,0,865,1044,496,419,114,31,7,2
2021,"Ealing 035","E02000272",2541,0,625,725,491,486,151,40,17,6
2021,"Ealing 038","E02000275",2347,0,441,519,324,438,315,123,79,108
2021,"Ealing 039","E02000276",2724,0,707,848,566,439,117,31,10,6
2021,"Ealing 040","E02006791",3451,0,1226,1117,577,371,108,32,11,9
2021,"Ealing 041","E02006968",3558,0,1211,1057,573,474,164,48,20,11
2021,"Ealing 042","E02006969",2975,0,1089,1049,444,273,99,13,5,3
2021,"Ealing 043","E02006970",2025,0,328,343,344,486,244,115,61,104
2021,"Ealing 044","E02006971",2226,0,298,386,374,492,309,176,94,97
2021,"Enfield 001","E02000277",2627,0,539,737,556,424,235,87,20,29
2021,"Enfield 002","E02000278",3339,0,825,814,675,540,301,117,44,23
2021,"Enfield 003","E02000279",4414,0,1089,1103,942,699,329,143,44,65
2021,"Enfield 004","E02000280",3413,0,927,986,664,581,196,39,11,9
2021,"Enfield 005","E02000281",3549,0,943,939,747,521,225,87,30,57
2021,"Enfield 006","E02000282",3466,0,863,809,715,564,292,112,68,43
