"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Bromley 037","E02000163",248,2,22,64,2,4,75,31,48,0
2021,"Bromley 039","E02000165",232,3,14,45,0,7,103,34,26,0
2021,"Camden 001","E02000166",866,3,50,352,0,37,153,79,192,0
2021,"Camden 002","E02000167",1205,2,78,520,3,40,189,98,275,0
2021,"Camden 003","E02000168",782,1,46,250,3,72,193,74,143,0
2021,"Camden 004","E02000169",1031,1,88,427,2,58,159,68,228,0
2021,"Camden 005","E02000170",766,0,54,184,1,63,192,80,192,0
2021,"Camden 006","E02000171",801,0,68,215,3,57,194,92,172,0
2021,"Camden 007","E02000172",837,0,35,95,2,253,244,55,153,0
2021,"Camden 008","E02000173",946,1,70,240,0,92,229,73,241,0
2021,"Camden 009","E02000174",779,1,42,165,2,172,206,74,117,0
2021,"Camden 010","E02000175",933,0,46,151,0,166,301,85,184,0
2021,"Camden 011","E02000176",715,0,66,204,1,47,164,73,160,0
2021,"Camden 012","E02000177",707,4,29,100,1,168,204,63,138,0
2021,"Camden 013","E02000178",741,2,53,86,2,84,271,86,157,0
2021,"Camden 014","E02000179",579,3,38,169,2,45,135,54,133,0
2021,"Camden 015","E02000180",966,1,52,130,4,299,286,77,117,0
2021,"Camden 016","E02000181",827,1,55,201,5,59,256,86,164,0
2021,"Camden 017","E02000182",804,1,51,200,3,71,222,76,180,0
2021,"Camden 018","E02000183",1057,1,64,403,3,101,210,77,198,0
2021,"Camden 019","E02000184",1481,0,57,77,1,738,397,81,130,0
2021,"Camden 020","E02000185",547,0,36,69,1,77,192,54,118,0
2021,"Camden 021","E02000186",1169,0,50,189,2,372,258,81,217,0
2021,"Camden 022","E02000187",1244,0,33,94,2,479,421,73,142,0
2021,"Camden 023","E02000188",986,0,16,47,2,517,235,52,117,0
2021,"Camden 026","E02000191",2046,1,65,119,2,1183,410,115,151,0
2021,"Camden 027","E02000192",811,0,50,136,5,152,239,82,147,0
2021,"Camden 028","E02000193",1361,0,66,119,1,463,365,128,219,0
2021,"Croydon 001","E02000194",493,2,32,86,0,5,151,86,131,0
2021,"Croydon 002","E02000195",414,0,36,91,1,9,97,64,116,0
2021,"Croydon 003","E02000196",272,3,25,33,3,2,70,33,103,0
2021,"Croydon 004","E02000197",331,1,29,49,3,14,80,43,112,0
2021,"Croydon 005","E02000198",277,3,25,31,6,8,72,34,98,0
2021,"Croydon 006","E02000199",293,1,18,35,1,9,92,47,90,0
2021,"Croydon 007","E02000200",348,0,21,33,0,9,132,55,98,0
2021,"Croydon 008","E02000201",277,2,17,35,1,11,93,41,77,0
2021,"Croydon 009","E02000202",239,0,23,30,2,11,57,39,77,0
2021,"Croydon 010","E02000203",249,2,32,30,0,10,60,29,86,0
2021,"Croydon 011","E02000204",326,1,26,18,5,14,106,50,106,0
2021,"Croydon 013","E02000206",373,0,26,40,3,15,111,55,123,0
2021,"Croydon 014","E02000207",302,0,37,33,0,23,80,42,87,0
2021,"Croydon 015","E02000208",375,1,33,27,3,12,107,34,158,0
2021,"Croydon 016","E02000209",291,0,27,22,1,25,75,51,90,0
2021,"Croydon 017","E02000210",269,1,23,31,1,4,94,38,77,0
2021,"Croydon 018","E02000211",278,1,17,58,3,5,80,31,83,0
2021,"Croydon 019","E02000212",274,0,22,16,4,15,90,37,90,0
2021,"Croydon 020","E02000213",488,1,39,37,3,12,183,88,125,0
2021,"Croydon 021","E02000214",228,1,17,70,0,4,60,28,48,0
2021,"Croydon 022","E02000215",541,0,35,72,1,13,150,98,172,0
2021,"Croydon 023","E02000216",359,1,42,69,1,9,87,42,108,0
2021,"Croydon 024","E02000217",463,0,34,45,6,5,143,92,138,0
2021,"Croydon 025","E02000218",223,0,17,55,1,8,40,33,69,0
2021,"Croydon 026","E02000219",252,0,29,74,2,5,51,31,60,0
2021,"Croydon 028","E02000221",354,4,17,38,3,38,125,34,95,0
2021,"Croydon 029","E02000222",404,3,28,73,1,4,127,45,123,0
2021,"Croydon 030","E02000223",144,1,18,16,5,5,48,12,39,0
