"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"Greenwich 011","E02000323",4820,3239,589,242,750
2021,"Greenwich 012","E02000324",2854,2219,316,90,229
2021,"Greenwich 014","E02000326",3049,2401,331,79,238
2021,"Greenwich 015","E02000327",2634,2070,234,67,263
2021,"Greenwich 016","E02000328",2946,2521,197,32,196
2021,"Greenwich 017","E02000329",2462,2014,192,64,192
2021,"Greenwich 019","E02000331",3191,2490,298,102,301
2021,"Greenwich 020","E02000332",2999,2524,191,73,211
2021,"Greenwich 021","E02000333",2883,2458,214,41,170
2021,"Greenwich 022","E02000334",2543,2062,241,61,179
2021,"Greenwich 023","E02000335",2592,2288,155,58,91
2021,"Greenwich 025","E02000337",3084,2526,257,99,202
2021,"Greenwich 027","E02000339",2590,2270,152,39,129
2021,"Greenwich 028","E02000340",3022,2595,167,57,203
2021,"Greenwich 029","E02000341",2941,2462,220,91,168
2021,"Greenwich 030","E02000342",2342,2019,150,44,129
2021,"Greenwich 031","E02000343",2695,2280,173,66,176
2021,"Greenwich 032","E02000344",2450,2170,140,42,98
2021,"Hackney 001","E02000345",2589,1786,349,41,413
2021,"Hackney 002","E02000346",3972,2539,523,164,746
2021,"Hackney 003","E02000347",2582,1825,392,80,285
2021,"Hackney 004","E02000348",2723,1865,391,91,376
2021,"Hackney 006","E02000350",3693,2644,588,55,406
2021,"Hackney 007","E02000351",4231,3115,475,89,552
2021,"Hackney 008","E02000352",2686,2105,315,55,211
2021,"Hackney 009","E02000353",3156,2423,385,38,310
2021,"Hackney 010","E02000354",3990,2864,559,104,463
2021,"Hackney 011","E02000355",3115,2343,459,48,265
2021,"Hackney 012","E02000356",3062,2441,316,49,256
2021,"Hackney 013","E02000357",2719,2019,324,93,283
2021,"Hackney 014","E02000358",4816,3499,638,108,571
2021,"Hackney 015","E02000359",2438,1865,309,58,206
2021,"Hackney 016","E02000360",4851,3480,665,160,546
2021,"Hackney 017","E02000361",3678,2700,404,104,470
2021,"Hackney 018","E02000362",2805,2205,334,65,201
2021,"Hackney 019","E02000363",4445,3190,589,193,473
2021,"Hackney 020","E02000364",4099,3216,465,57,361
2021,"Hackney 022","E02000366",3539,2842,399,66,232
2021,"Hackney 023","E02000367",4594,3533,524,84,453
2021,"Hackney 024","E02000368",4151,2967,589,112,483
2021,"Hackney 025","E02000369",5929,4247,852,172,658
2021,"Hackney 026","E02000370",3990,2748,575,118,549
