"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"Greenwich 025","E02000337",3085,69,21,4,2991
2021,"Greenwich 027","E02000339",2593,79,22,4,2488
2021,"Greenwich 028","E02000340",3020,80,30,5,2905
2021,"Greenwich 029","E02000341",2941,59,24,6,2852
2021,"Greenwich 030","E02000342",2342,50,17,0,2275
2021,"Greenwich 031","E02000343",2693,71,21,3,2598
2021,"Greenwich 032","E02000344",2448,71,19,4,2354
2021,"Hackney 001","E02000345",2584,10,4,1,2569
2021,"Hackney 002","E02000346",3971,27,13,11,3920
2021,"Hackney 003","E02000347",2575,13,17,1,2544
2021,"Hackney 004","E02000348",2714,13,10,1,2690
2021,"Hackney 006","E02000350",3689,28,9,0,3652
2021,"Hackney 007","E02000351",4230,21,16,3,4190
2021,"Hackney 008","E02000352",2686,16,13,0,2657
2021,"Hackney 009","E02000353",3155,26,11,0,3118
2021,"Hackney 010","E02000354",3988,20,27,3,3938
2021,"Hackney 011","E02000355",3112,14,12,3,3083
2021,"Hackney 012","E02000356",3060,16,7,0,3037
2021,"Hackney 013","E02000357",2721,25,14,0,2682
2021,"Hackney 014","E02000358",4815,35,26,0,4754
2021,"Hackney 015","E02000359",2437,15,16,0,2406
2021,"Hackney 016","E02000360",4852,26,31,2,4793
2021,"Hackney 017","E02000361",3678,19,10,0,3649
2021,"Hackney 018","E02000362",2803,14,15,1,2773
2021,"Hackney 019","E02000363",4440,31,13,2,4394
2021,"Hackney 020","E02000364",4100,30,14,1,4055
2021,"Hackney 022","E02000366",3538,35,13,3,3487
2021,"Hackney 023","E02000367",4593,30,21,1,4541
2021,"Hackney 024","E02000368",4152,24,17,2,4109
