"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"Enfield 022","E02000298",2515,313,1570,632
2021,"Enfield 023","E02000299",3447,496,1386,1565
2021,"Enfield 024","E02000300",3135,454,1326,1355
2021,"Enfield 025","E02000301",3781,486,1492,1803
2021,"Enfield 026","E02000302",2969,407,1543,1019
2021,"Enfield 027","E02000303",3259,440,1294,1525
2021,"Enfield 028","E02000304",2679,332,1682,665
2021,"Enfield 029","E02000305",2630,435,1455,740
2021,"Enfield 030","E02000306",3549,486,1264,1799
2021,"Enfield 031","E02000307",3355,461,1482,1412
2021,"Enfield 032","E02000308",2693,410,1332,951
2021,"Enfield 033","E02000309",4073,569,1553,1951
2021,"Enfield 035","E02000311",3778,603,1724,1451
2021,"Enfield 036","E02000312",3415,574,1758,1083
2021,"Greenwich 001","E02000313",2059,330,926,803
2021,"Greenwich 002","E02000314",4597,828,1968,1801
2021,"Greenwich 003","E02000315",3110,491,1291,1328
2021,"Greenwich 005","E02000317",2519,378,1088,1053
2021,"Greenwich 006","E02000318",3747,554,1405,1788
2021,"Greenwich 007","E02000319",3211,523,1392,1296
2021,"Greenwich 008","E02000320",2199,366,1038,795
2021,"Greenwich 009","E02000321",2521,421,1123,977
2021,"Greenwich 011","E02000323",3830,727,1462,1641
2021,"Greenwich 012","E02000324",2622,346,1282,994
2021,"Greenwich 014","E02000326",1934,332,1040,562
2021,"Greenwich 015","E02000327",2091,378,897,816
2021,"Greenwich 016","E02000328",1869,254,1135,480
2021,"Greenwich 017","E02000329",2062,257,1174,631
2021,"Greenwich 019","E02000331",2620,428,1234,958
2021,"Greenwich 020","E02000332",2231,296,1334,601
2021,"Greenwich 021","E02000333",1806,259,1191,356
2021,"Greenwich 022","E02000334",2138,295,1177,666
2021,"Greenwich 023","E02000335",1984,258,1274,452
2021,"Greenwich 025","E02000337",2794,390,1452,952
2021,"Greenwich 027","E02000339",2108,322,1382,404
2021,"Greenwich 028","E02000340",2261,293,1452,516
2021,"Greenwich 029","E02000341",2614,323,1351,940
2021,"Greenwich 030","E02000342",2210,479,1085,646
2021,"Greenwich 031","E02000343",2396,293,1377,726
2021,"Greenwich 032","E02000344",2071,264,1311,496
2021,"Hackney 001","E02000345",2144,281,731,1132
2021,"Hackney 002","E02000346",2974,504,1124,1346
2021,"Hackney 003","E02000347",2280,237,805,1238
2021,"Hackney 004","E02000348",2424,303,853,1268
2021,"Hackney 006","E02000350",2664,525,1066,1073
2021,"Hackney 007","E02000351",2383,449,1056,878
2021,"Hackney 008","E02000352",1837,260,834,743
2021,"Hackney 009","E02000353",1966,345,928,693
2021,"Hackney 010","E02000354",3064,524,1205,1335
2021,"Hackney 011","E02000355",2290,401,1027,862
2021,"Hackney 012","E02000356",1622,322,783,517
2021,"Hackney 013","E02000357",2501,383,977,1141
2021,"Hackney 014","E02000358",3076,540,1375,1161
2021,"Hackney 015","E02000359",2008,395,794,819
2021,"Hackney 016","E02000360",3729,524,1536,1669
2021,"Hackney 017","E02000361",2049,435,813,801
2021,"Hackney 018","E02000362",2277,369,896,1012
2021,"Hackney 019","E02000363",4052,689,1660,1703
2021,"Hackney 020","E02000364",2621,476,1233,912
2021,"Hackney 022","E02000366",2793,445,1257,1091
2021,"Hackney 023","E02000367",2510,563,1040,907
2021,"Hackney 024","E02000368",3368,518,1402,1448
2021,"Hackney 025","E02000369",3668,650,1518,1500
2021,"Hackney 026","E02000370",2643,501,1058,1084
2021,"Hammersmith and Fulham 001","E02000372",3895,702,1662,1531
2021,"Hammersmith and Fulham 002","E02000373",2522,412,962,1148
2021,"Hammersmith and Fulham 003","E02000374",2287,376,1017,894
2021,"Hammersmith and Fulham 004","E02000375",2376,470,1071,835
2021,"Hammersmith and Fulham 005","E02000376",1935,410,896,629
2021,"Hammersmith and Fulham 006","E02000377",2413,458,1093,862
2021,"Hammersmith and Fulham 007","E02000378",1848,397,897,554
2021,"Hammersmith and Fulham 008","E02000379",2203,350,1159,694
2021,"Hammersmith and Fulham 009","E02000380",1540,261,825,454
2021,"Hammersmith and Fulham 010","E02000381",2183,386,1166,631
2021,"Hammersmith and Fulham 011","E02000382",1936,339,980,617
2021,"Hammersmith and Fulham 012","E02000383",2979,607,1419,953
