"date","geography","geography code","Disability: Total: All usual residents","Disability: Disabled under the Equality Act","Disability: Disabled under the Equality Act: Day-to-day activities limited a lot","Disability: Disabled under the Equality Act: Day-to-day activities limited a little","Disability: Not disabled under the Equality Act","Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","Disability: Not disabled under the Equality Act: No long term physical or mental health conditions"
2021,"Greenwich 012","E02000324",7867,1419,673,746,6448,402,6046
2021,"Greenwich 014","E02000326",7798,993,399,594,6805,537,6268
2021,"Greenwich 015","E02000327",6625,935,446,489,5690,314,5376
2021,"Greenwich 016","E02000328",6509,1000,424,576,5509,465,5044
2021,"Greenwich 017","E02000329",6332,1063,523,540,5269,349,4920
2021,"Greenwich 019","E02000331",8235,1337,687,650,6898,401,6497
2021,"Greenwich 020","E02000332",7451,1066,434,632,6385,481,5904
2021,"Greenwich 021","E02000333",6242,885,344,541,5357,443,4914
2021,"Greenwich 022","E02000334",6640,1035,484,551,5605,352,5253
2021,"Greenwich 023","E02000335",6675,981,377,604,5694,458,5236
2021,"Greenwich 025","E02000337",8471,1599,757,842,6872,424,6448
2021,"Greenwich 027","E02000339",6289,933,387,546,5356,410,4946
2021,"Greenwich 028","E02000340",6864,1038,434,604,5826,414,5412
2021,"Greenwich 029","E02000341",7995,1537,752,785,6458,373,6085
2021,"Greenwich 030","E02000342",6346,984,404,580,5362,358,5004
2021,"Greenwich 031","E02000343",7047,1263,629,634,5784,377,5407
2021,"Greenwich 032","E02000344",6430,875,406,469,5555,402,5153
2021,"Hackney 001","E02000345",8199,808,390,418,7391,245,7146
2021,"Hackney 002","E02000346",9398,1370,633,737,8028,459,7569
2021,"Hackney 003","E02000347",8153,890,463,427,7263,281,6982
2021,"Hackney 004","E02000348",8106,1006,516,490,7100,245,6855
2021,"Hackney 006","E02000350",10242,1254,499,755,8988,535,8453
2021,"Hackney 007","E02000351",9286,1279,521,758,8007,624,7383
2021,"Hackney 008","E02000352",6749,997,475,522,5752,414,5338
2021,"Hackney 009","E02000353",7763,1043,432,611,6720,483,6237
2021,"Hackney 010","E02000354",9609,1529,706,823,8080,535,7545
2021,"Hackney 011","E02000355",8194,1272,531,741,6922,466,6456
2021,"Hackney 012","E02000356",7034,917,326,591,6117,464,5653
2021,"Hackney 013","E02000357",6845,1144,564,580,5701,334,5367
2021,"Hackney 014","E02000358",11090,1686,689,997,9404,575,8829
2021,"Hackney 015","E02000359",6697,974,449,525,5723,392,5331
2021,"Hackney 016","E02000360",11511,1923,879,1044,9588,585,9003
2021,"Hackney 017","E02000361",8059,1158,444,714,6901,489,6412
2021,"Hackney 018","E02000362",6961,1275,629,646,5686,333,5353
2021,"Hackney 019","E02000363",11882,1824,883,941,10058,488,9570
2021,"Hackney 020","E02000364",9217,1393,604,789,7824,537,7287
2021,"Hackney 022","E02000366",8326,1507,713,794,6819,466,6353
2021,"Hackney 023","E02000367",10420,1371,564,807,9049,616,8433
2021,"Hackney 024","E02000368",9921,1749,872,877,8172,452,7720
2021,"Hackney 025","E02000369",13458,1845,866,979,11613,659,10954
2021,"Hackney 026","E02000370",8863,1207,569,638,7656,436,7220
2021,"Hammersmith and Fulham 001","E02000372",9984,1643,758,885,8341,523,7818
2021,"Hammersmith and Fulham 002","E02000373",7035,989,467,522,6046,237,5809
2021,"Hammersmith and Fulham 003","E02000374",6914,980,450,530,5934,322,5612
2021,"Hammersmith and Fulham 004","E02000375",7485,1050,491,559,6435,385,6050
2021,"Hammersmith and Fulham 005","E02000376",6701,901,409,492,5800,364,5436
2021,"Hammersmith and Fulham 006","E02000377",7795,1099,488,611,6696,450,6246
2021,"Hammersmith and Fulham 007","E02000378",6435,769,337,432,5666,363,5303
2021,"Hammersmith and Fulham 008","E02000379",7386,947,470,477,6439,420,6019
2021,"Hammersmith and Fulham 009","E02000380",5509,666,304,362,4843,316,4527
2021,"Hammersmith and Fulham 010","E02000381",7628,948,420,528,6680,370,6310
2021,"Hammersmith and Fulham 011","E02000382",6190,767,315,452,5423,370,5053
2021,"Hammersmith and Fulham 012","E02000383",8462,1185,524,661,7277,442,6835
2021,"Hammersmith and Fulham 013","E02000384",8267,1236,572,664,7031,439,6592
2021,"Hammersmith and Fulham 014","E02000385",5614,617,222,395,4997,346,4651
2021,"Hammersmith and Fulham 015","E02000386",7582,1116,495,621,6466,418,6048
2021,"Hammersmith and Fulham 016","E02000387",6025,848,399,449,5177,285,4892
2021,"Hammersmith and Fulham 017","E02000388",8657,1018,451,567,7639,459,7180
2021,"Hammersmith and Fulham 018","E02000389",8645,870,309,561,7775,527,7248
2021,"Hammersmith and Fulham 019","E02000390",6197,736,313,423,5461,360,5101
2021,"Hammersmith and Fulham 020","E02000391",7587,825,365,460,6762,370,6392
2021,"Hammersmith and Fulham 021","E02000392",9229,965,416,549,8264,456,7808
2021,"Hammersmith and Fulham 022","E02000393",5976,505,181,324,5471,328,5143
2021,"Hammersmith and Fulham 023","E02000394",9281,1049,453,596,8232,434,7798
2021,"Hammersmith and Fulham 024","E02000395",5680,539,189,350,5141,340,4801
2021,"Hammersmith and Fulham 025","E02000396",6898,706,309,397,6192,341,5851
2021,"Haringey 001","E02000397",7907,1121,496,625,6786,434,6352
2021,"Haringey 002","E02000398",7519,1153,624,529,6366,253,6113
2021,"Haringey 004","E02000400",7987,1012,463,549,6975,429,6546
2021,"Haringey 005","E02000401",6864,1165,615,550,5699,267,5432
2021,"Haringey 006","E02000402",6472,1001,511,490,5471,225,5246
2021,"Haringey 007","E02000403",7513,955,413,542,6558,318,6240
