"date","geography","geography code","Number of rooms (VOA): Total: All households","Number of rooms (VOA): 1 room","Number of rooms (VOA): 2 rooms","Number of rooms (VOA): 3 rooms","Number of rooms (VOA): 4 rooms","Number of rooms (VOA): 5 rooms","Number of rooms (VOA): 6 rooms","Number of rooms (VOA): 7 rooms","Number of rooms (VOA): 8 rooms","Number of rooms (VOA): 9 or more rooms"
2021,"Bromley 029","E02000155",3043,4,185,706,810,1074,182,55,15,12
2021,"Bromley 030","E02000156",4859,65,312,593,437,2333,715,284,76,44
2021,"Bromley 031","E02000157",3280,13,37,459,719,1278,502,188,49,35
2021,"Bromley 032","E02000158",3033,1,147,413,841,1062,344,165,42,18
2021,"Bromley 033","E02000159",2820,1,52,375,512,888,338,269,177,208
2021,"Bromley 034","E02000160",3044,11,175,436,566,1122,467,170,71,26
2021,"Bromley 035","E02000161",3346,4,114,364,885,1281,488,168,28,14
2021,"Bromley 036","E02000162",2966,35,280,596,665,786,382,136,48,38
2021,"Bromley 037","E02000163",3068,3,116,345,571,1084,470,224,133,122
2021,"Bromley 039","E02000165",2739,2,78,361,1165,651,307,122,33,20
2021,"Camden 001","E02000166",3397,124,825,748,637,400,259,173,102,129
2021,"Camden 002","E02000167",3373,192,653,779,561,394,263,195,128,208
2021,"Camden 003","E02000168",3494,275,857,948,599,297,209,143,81,85
2021,"Camden 004","E02000169",3025,148,393,787,736,293,186,118,122,242
2021,"Camden 005","E02000170",3465,374,623,865,576,405,299,168,86,69
2021,"Camden 006","E02000171",3332,191,785,1034,554,285,188,129,89,77
2021,"Camden 007","E02000172",4037,260,1155,1193,928,302,122,42,15,20
2021,"Camden 008","E02000173",3504,510,749,890,679,323,140,59,47,107
2021,"Camden 009","E02000174",3552,344,915,1065,650,285,141,88,34,30
2021,"Camden 010","E02000175",4308,549,1111,1253,663,414,119,93,50,56
2021,"Camden 011","E02000176",3000,444,668,962,478,182,102,74,25,65
2021,"Camden 012","E02000177",3653,218,934,1259,810,266,60,50,27,29
2021,"Camden 013","E02000178",4163,492,1417,1235,612,219,93,48,17,30
2021,"Camden 014","E02000179",2547,273,453,841,564,217,91,45,26,37
2021,"Camden 015","E02000180",3514,228,1002,1134,631,283,91,68,47,30
2021,"Camden 016","E02000181",3754,281,864,1400,751,219,81,57,38,63
2021,"Camden 017","E02000182",3079,190,613,1026,644,239,172,75,30,90
2021,"Camden 018","E02000183",3613,365,904,1012,584,290,170,126,84,78
2021,"Camden 019","E02000184",3634,296,850,1411,727,219,75,28,17,11
2021,"Camden 020","E02000185",4069,566,1236,1233,614,269,82,26,19,24
2021,"Camden 021","E02000186",2941,374,763,921,418,175,93,73,55,69
2021,"Camden 022","E02000187",3817,219,1130,1424,752,223,40,13,4,12
2021,"Camden 023","E02000188",2719,156,784,939,580,185,38,18,8,11
2021,"Camden 026","E02000191",2106,308,646,738,233,94,43,14,9,21
2021,"Camden 027","E02000192",3089,280,974,1125,502,99,33,24,15,37
2021,"Camden 028","E02000193",3096,489,1044,844,433,190,57,21,5,13
2021,"Croydon 001","E02000194",4203,164,1087,1509,546,610,155,55,29,48
2021,"Croydon 002","E02000195",3489,35,227,662,443,1415,415,185,62,45
2021,"Croydon 003","E02000196",2816,148,344,361,243,993,551,99,37,40
2021,"Croydon 004","E02000197",3318,42,318,699,549,1219,307,120,43,21
2021,"Croydon 005","E02000198",3502,95,538,1092,763,767,201,25,12,9
2021,"Croydon 006","E02000199",3210,62,287,566,653,1375,201,49,9,8
2021,"Croydon 007","E02000200",4003,215,973,1328,269,894,154,90,33,47
2021,"Croydon 008","E02000201",3820,253,1062,1098,555,688,121,26,10,7
2021,"Croydon 009","E02000202",3034,56,208,347,484,1724,168,31,12,4
2021,"Croydon 010","E02000203",3119,147,683,684,548,821,157,51,16,12
2021,"Croydon 011","E02000204",3227,86,304,510,275,1748,205,55,13,31
2021,"Croydon 013","E02000206",4465,214,982,1465,954,608,140,59,28,15
2021,"Croydon 014","E02000207",3560,156,476,852,592,1278,147,38,14,7
2021,"Croydon 015","E02000208",4098,342,861,1261,651,787,116,42,17,21
2021,"Croydon 016","E02000209",3060,42,304,684,737,1188,67,15,12,11
2021,"Croydon 017","E02000210",3443,75,310,555,908,1470,97,16,8,4
2021,"Croydon 018","E02000211",3295,18,157,513,875,1229,374,87,29,13
2021,"Croydon 019","E02000212",3266,97,375,779,1115,791,80,17,8,4
2021,"Croydon 020","E02000213",5392,280,1753,2100,544,448,141,71,27,28
2021,"Croydon 021","E02000214",2326,27,123,253,150,1240,369,108,32,24
2021,"Croydon 022","E02000215",5256,275,1524,1572,741,808,208,66,28,34
2021,"Croydon 023","E02000216",2942,72,533,811,428,418,391,150,82,57
2021,"Croydon 024","E02000217",5021,197,1207,1569,827,1008,146,45,11,11
2021,"Croydon 025","E02000218",2352,8,65,580,528,893,203,56,12,7
2021,"Croydon 026","E02000219",2985,6,72,453,262,1240,530,255,93,74
2021,"Croydon 028","E02000221",3988,76,498,1136,1207,781,189,68,18,15
2021,"Croydon 029","E02000222",3633,143,606,1000,591,652,315,153,94,79
2021,"Croydon 030","E02000223",2789,6,236,764,444,1247,71,8,8,5
2021,"Croydon 031","E02000224",3273,133,494,888,402,875,283,109,56,33
2021,"Croydon 032","E02000225",2656,7,111,657,1119,656,73,20,10,3
2021,"Croydon 033","E02000226",2780,6,45,157,364,1317,509,285,60,37
2021,"Croydon 034","E02000227",4838,33,691,904,1332,1444,354,59,12,9
2021,"Croydon 035","E02000228",3010,22,118,336,310,975,665,330,154,100
2021,"Croydon 036","E02000229",2237,34,241,683,881,324,55,15,2,2
2021,"Croydon 037","E02000230",4231,83,583,1027,441,866,693,288,166,84
2021,"Croydon 038","E02000231",2749,26,116,310,197,461,649,444,286,260
2021,"Croydon 039","E02000232",2373,3,55,327,459,1005,273,144,86,21
2021,"Croydon 040","E02000233",2396,29,132,476,507,837,242,72,66,35
2021,"Croydon 041","E02000234",3720,75,415,768,684,913,536,208,77,44
2021,"Croydon 042","E02000235",2656,28,50,550,363,880,336,231,145,73
2021,"Croydon 043","E02000236",3308,10,50,309,533,1734,415,176,48,33
2021,"Croydon 044","E02000237",3034,13,188,416,745,1127,345,137,49,14
2021,"Ealing 001","E02000238",3737,150,607,658,577,1492,213,17,8,15
2021,"Ealing 002","E02000239",2928,26,166,235,310,2004,120,41,20,6
2021,"Ealing 003","E02000240",3894,67,427,1265,1147,847,89,34,11,7
2021,"Ealing 004","E02000241",2598,28,244,713,437,1049,83,27,7,10
2021,"Ealing 005","E02000242",2231,75,185,169,300,1366,93,27,9,7
2021,"Ealing 006","E02000243",3127,30,455,646,391,1424,130,33,6,12
2021,"Ealing 007","E02000244",2939,171,352,506,185,1554,118,26,19,8
2021,"Ealing 008","E02000245",3355,97,687,1369,646,412,83,37,15,9
2021,"Ealing 009","E02000246",3071,73,367,515,1138,782,132,40,11,13
2021,"Ealing 010","E02000247",3890,31,718,1287,845,823,93,65,18,10
2021,"Ealing 011","E02000248",2989,188,397,967,287,820,166,68,46,50
2021,"Ealing 012","E02000249",2912,50,349,798,400,1135,119,30,21,10
2021,"Ealing 013","E02000250",2545,29,269,522,351,851,347,128,28,20
2021,"Ealing 014","E02000251",2542,20,102,302,303,1683,84,29,14,5
2021,"Ealing 015","E02000252",4411,441,986,1299,462,979,152,48,22,22
2021,"Ealing 016","E02000253",3840,83,604,1000,867,1084,154,23,13,12
2021,"Ealing 017","E02000254",2610,38,81,374,516,1450,78,35,22,16
2021,"Ealing 018","E02000255",3792,156,571,1020,406,950,442,160,57,30
2021,"Ealing 019","E02000256",4026,271,743,1465,321,305,335,269,138,179
2021,"Ealing 021","E02000258",2603,170,401,580,515,543,195,120,44,35
2021,"Ealing 022","E02000259",2391,33,231,588,245,931,235,86,26,16
2021,"Ealing 023","E02000260",2755,124,216,579,458,1066,223,47,21,21
2021,"Ealing 024","E02000261",4977,257,993,1561,579,975,333,148,48,83
2021,"Ealing 025","E02000262",3944,253,1035,1183,481,442,275,141,74,60
2021,"Ealing 026","E02000263",3649,80,375,530,577,1831,167,34,26,29
2021,"Ealing 027","E02000264",3543,248,626,954,399,380,433,230,142,131
2021,"Ealing 028","E02000265",4733,197,1310,1350,587,956,215,65,32,21
2021,"Ealing 029","E02000266",4294,54,757,1090,994,1077,210,70,27,15
2021,"Ealing 030","E02000267",3219,79,585,879,808,654,137,59,12,6
2021,"Ealing 031","E02000268",3862,156,616,924,667,766,359,213,95,66
2021,"Ealing 032","E02000269",3303,107,474,635,608,893,377,128,43,38
2021,"Ealing 033","E02000270",4116,122,1295,1564,577,374,119,35,6,24
2021,"Ealing 034","E02000271",2977,124,369,631,405,711,389,165,98,85
2021,"Ealing 035","E02000272",2543,48,244,335,442,1105,260,77,21,11
2021,"Ealing 038","E02000275",2348,72,437,455,348,708,179,89,33,27
2021,"Ealing 039","E02000276",2725,57,524,640,566,629,220,63,15,11
2021,"Enfield 001","E02000277",2628,40,213,604,837,808,82,29,8,7
2021,"Enfield 002","E02000278",3339,68,374,866,739,1196,69,14,7,6
2021,"Enfield 003","E02000279",4417,65,799,1336,1048,937,179,30,14,9
2021,"Enfield 004","E02000280",3413,65,241,1000,890,938,164,57,23,35
2021,"Enfield 005","E02000281",3546,126,423,1169,799,844,114,53,11,7
2021,"Enfield 006","E02000282",3468,83,558,988,1151,582,67,20,11,8
2021,"Enfield 007","E02000283",2800,20,96,500,989,1063,85,35,9,3
2021,"Enfield 008","E02000284",3620,86,428,1084,782,938,206,62,14,20
2021,"Enfield 009","E02000285",2456,8,83,162,394,1616,138,32,16,7
2021,"Enfield 010","E02000286",4001,194,740,1349,602,584,287,148,53,44
2021,"Enfield 011","E02000287",2875,71,231,551,398,603,367,239,176,239
2021,"Enfield 012","E02000288",4053,157,620,853,1178,1057,128,35,12,13
2021,"Enfield 013","E02000289",2428,5,39,213,395,1259,364,93,38,22
2021,"Enfield 014","E02000290",2515,46,616,809,614,368,50,7,3,2
2021,"Enfield 015","E02000291",4333,169,967,1589,749,587,151,57,40,24
2021,"Enfield 016","E02000292",3569,14,210,682,997,1498,122,36,6,4
2021,"Enfield 017","E02000293",2492,22,163,459,274,794,406,208,94,72
2021,"Enfield 018","E02000294",3086,33,166,529,825,1400,107,15,8,3
2021,"Enfield 019","E02000295",3350,33,303,1229,305,1057,302,74,30,17
2021,"Enfield 020","E02000296",4039,65,596,1569,557,967,189,65,15,16
2021,"Enfield 021","E02000297",3476,34,242,396,403,1893,356,98,29,25
2021,"Enfield 022","E02000298",3056,52,238,515,251,1036,571,196,84,113
2021,"Enfield 023","E02000299",3315,75,414,752,1112,869,53,17,8,15
2021,"Enfield 024","E02000300",2999,145,447,427,671,1176,73,43,10,7
2021,"Enfield 025","E02000301",3726,109,686,1025,1055,764,60,16,8,3
2021,"Enfield 026","E02000302",3117,36,253,419,479,1715,168,37,7,3
2021,"Enfield 027","E02000303",2977,149,481,679,823,711,87,27,8,12
2021,"Enfield 028","E02000304",2911,36,178,428,284,925,705,246,70,39
2021,"Enfield 029","E02000305",3454,149,645,976,266,775,434,152,35,22
2021,"Enfield 030","E02000306",3399,57,851,1379,780,237,60,23,4,8
2021,"Enfield 031","E02000307",3340,16,141,646,895,1490,86,36,10,20
2021,"Enfield 032","E02000308",3226,39,429,768,634,1128,159,44,13,12
2021,"Enfield 033","E02000309",3989,122,420,1051,1333,924,97,22,11,9
2021,"Enfield 035","E02000311",3634,78,460,723,406,1782,148,22,10,5
2021,"Enfield 036","E02000312",4499,321,829,1218,494,1127,321,111,39,39
2021,"Greenwich 001","E02000313",2596,21,781,566,961,181,64,11,5,6
2021,"Greenwich 002","E02000314",4537,14,669,2165,914,644,110,14,2,5
2021,"Greenwich 003","E02000315",3490,127,336,1174,1357,398,60,29,4,5
2021,"Greenwich 005","E02000317",2823,91,505,1004,604,272,216,106,16,9
2021,"Greenwich 006","E02000318",3581,87,462,612,1049,853,368,110,32,8
2021,"Greenwich 007","E02000319",3919,71,615,1193,903,777,279,61,14,6
2021,"Greenwich 008","E02000320",2556,17,269,571,572,941,120,45,9,12
2021,"Greenwich 009","E02000321",2954,8,751,1045,626,335,144,31,6,8
2021,"Greenwich 011","E02000323",4823,92,1210,1506,933,655,272,100,36,19
2021,"Greenwich 012","E02000324",2854,25,521,695,753,630,138,48,28,16
2021,"Greenwich 014","E02000326",3049,22,369,739,841,618,314,78,15,53
2021,"Greenwich 015","E02000327",2635,43,719,708,501,406,216,27,7,8
2021,"Greenwich 016","E02000328",2944,94,627,942,409,267,262,148,99,96
2021,"Greenwich 017","E02000329",2462,70,167,350,484,1081,238,50,14,8
2021,"Greenwich 019","E02000331",3191,111,405,942,845,672,146,44,17,9
2021,"Greenwich 020","E02000332",2999,41,319,528,486,1179,312,86,33,15
2021,"Greenwich 021","E02000333",2882,86,636,911,379,364,222,127,64,93
2021,"Greenwich 022","E02000334",2542,26,197,559,796,747,151,33,20,13
2021,"Greenwich 023","E02000335",2592,3,137,272,367,1560,161,77,10,5
2021,"Greenwich 025","E02000337",3084,0,217,572,1279,818,118,68,6,6
2021,"Greenwich 027","E02000339",2591,53,329,416,347,702,317,300,65,62
2021,"Greenwich 028","E02000340",3021,17,513,770,537,780,233,94,39,38
2021,"Greenwich 029","E02000341",2945,10,237,829,1177,550,95,24,17,6
2021,"Greenwich 030","E02000342",2341,34,332,582,527,687,111,47,15,6
2021,"Greenwich 031","E02000343",2695,54,298,487,175,1264,309,56,14,38
2021,"Greenwich 032","E02000344",2447,40,186,332,153,1331,291,90,11,13
2021,"Hackney 001","E02000345",2590,171,497,675,380,357,208,150,72,80
2021,"Hackney 002","E02000346",3972,164,1111,1540,927,154,43,8,7,18
2021,"Hackney 003","E02000347",2580,96,499,925,498,137,168,166,48,43
2021,"Hackney 004","E02000348",2723,117,520,1023,527,268,150,75,24,19
2021,"Hackney 006","E02000350",3695,146,912,1103,625,260,275,169,154,51
2021,"Hackney 007","E02000351",4231,414,1063,1547,768,206,71,64,27,71
2021,"Hackney 008","E02000352",2684,88,546,1012,533,247,131,56,30,41
2021,"Hackney 009","E02000353",3156,139,660,768,695,484,291,80,21,18
2021,"Hackney 010","E02000354",3991,227,1075,1287,812,318,127,78,46,21
2021,"Hackney 011","E02000355",3114,157,585,680,503,539,419,168,35,28
2021,"Hackney 012","E02000356",3061,101,770,909,584,338,213,88,47,11
2021,"Hackney 013","E02000357",2721,57,675,769,929,236,47,4,2,2
2021,"Hackney 014","E02000358",4814,212,1210,1535,1093,386,244,73,41,20
2021,"Hackney 015","E02000359",2438,81,354,397,811,458,276,38,13,10
2021,"Hackney 016","E02000360",4848,166,1207,1942,1069,341,73,35,5,10
2021,"Hackney 017","E02000361",3675,220,1097,1241,673,280,93,51,5,15
2021,"Hackney 018","E02000362",2808,70,682,936,737,256,81,23,9,14
2021,"Hackney 019","E02000363",4439,102,979,1871,1127,270,53,18,4,15
2021,"Hackney 020","E02000364",4099,200,1085,1117,901,434,211,96,35,20
2021,"Hackney 022","E02000366",3539,123,884,1055,777,440,166,58,20,16
2021,"Hackney 023","E02000367",4596,184,1090,1908,916,274,142,49,14,19
2021,"Hackney 024","E02000368",4155,87,1078,1420,1118,319,87,26,14,6
2021,"Hackney 025","E02000369",5928,162,1618,2520,1233,304,59,24,3,5
2021,"Hackney 026","E02000370",3990,116,1200,1603,822,187,36,11,7,8
