"date","geography","geography code","Religion (detailed): Total: All Usual Residents","Religion (detailed): Christian","Religion (detailed): Buddhist","Religion (detailed): Hindu","Religion (detailed): Jewish","Religion (detailed): Muslim","Religion (detailed): Sikh","Religion (detailed): No religion","Religion (detailed): No religion: Agnostic","Religion (detailed): No religion: Atheist","Religion (detailed): No religion: Free Thinker","Religion (detailed): No religion: Humanist","Religion (detailed): No religion: No religion","Religion (detailed): No religion: Realist","Religion (detailed): Other religion","Religion (detailed): Other religion: Alevi","Religion (detailed): Other religion: Animism","Religion (detailed): Other religion: Baha'i","Religion (detailed): Other religion: Believe in God","Religion (detailed): Other religion: Brahma Kumari","Religion (detailed): Other religion: Chinese Religion","Religion (detailed): Other religion: Church of All Religion","Religion (detailed): Other religion: Confucianist","Religion (detailed): Other religion: Deist","Religion (detailed): Other religion: Druid","Religion (detailed): Other religion: Druze","Religion (detailed): Other religion: Eckankar","Religion (detailed): Other religion: Heathen","Religion (detailed): Other religion: Jain","Religion (detailed): Other religion: Mixed Religion","Religion (detailed): Other religion: Mysticism","Religion (detailed): Other religion: Native American Church","Religion (detailed): Other religion: New Age","Religion (detailed): Other religion: Occult","Religion (detailed): Other religion: Other religions","Religion (detailed): Other religion: Own Belief System","Religion (detailed): Other religion: Pagan","Religion (detailed): Other religion: Pantheism","Religion (detailed): Other religion: Rastafarian","Religion (detailed): Other religion: Ravidassia","Religion (detailed): Other religion: Reconstructionist","Religion (detailed): Other religion: Satanism","Religion (detailed): Other religion: Scientology","Religion (detailed): Other religion: Shamanism","Religion (detailed): Other religion: Shintoism","Religion (detailed): Other religion: Spiritual","Religion (detailed): Other religion: Spiritualist","Religion (detailed): Other religion: Taoist","Religion (detailed): Other religion: Theism","Religion (detailed): Other religion: Thelemite","Religion (detailed): Other religion: Traditional African Religion","Religion (detailed): Other religion: Unification Church","Religion (detailed): Other religion: Universalist","Religion (detailed): Other religion: Valmiki","Religion (detailed): Other religion: Vodun","Religion (detailed): Other religion: Wicca","Religion (detailed): Other religion: Witchcraft","Religion (detailed): Other religion: Yazidi","Religion (detailed): Other religion: Zoroastrian","Religion (detailed): Religion not stated"
2021,"Hammersmith and Fulham 002","E02000373",7035,2806,88,72,18,2324,5,1150,1,1,0,0,1148,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,563
2021,"Hammersmith and Fulham 003","E02000374",6915,2900,51,80,27,1239,30,2004,4,3,0,1,1996,0,71,0,0,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,29,0,4,1,6,0,0,0,2,0,0,5,9,0,1,0,0,0,1,0,0,2,0,0,4,513
2021,"Hammersmith and Fulham 004","E02000375",7481,3126,84,65,28,1217,12,2249,11,3,0,2,2233,0,86,8,0,2,1,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,31,1,5,0,4,0,0,1,1,1,1,10,7,2,0,0,0,0,0,0,0,0,0,0,0,614
2021,"Hammersmith and Fulham 005","E02000376",6702,2772,60,65,37,920,28,2224,13,10,0,0,2201,0,47,0,1,2,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,14,1,4,0,0,0,1,1,0,0,1,5,3,0,0,0,0,0,0,0,0,2,2,0,2,549
2021,"Hammersmith and Fulham 006","E02000377",7795,3408,56,68,56,951,8,2524,10,1,0,1,2512,0,69,3,0,4,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,21,0,7,0,4,0,0,1,0,0,0,8,4,3,2,0,1,0,0,0,0,3,0,0,2,655
2021,"Hammersmith and Fulham 007","E02000378",6431,2775,66,72,59,681,23,2181,6,3,0,0,2172,0,63,8,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,18,2,9,0,1,0,0,0,0,0,0,10,2,1,0,0,2,0,0,0,0,0,0,1,5,511
2021,"Hammersmith and Fulham 008","E02000379",7388,3385,59,91,53,915,22,2275,6,3,0,1,2265,0,57,3,0,0,2,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,17,1,2,0,1,0,1,1,1,1,1,9,5,0,0,0,0,0,0,0,0,3,1,0,2,531
2021,"Hammersmith and Fulham 009","E02000380",5512,2562,52,75,61,368,22,1925,3,2,0,0,1920,0,44,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,2,0,1,0,0,1,0,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,2,403
2021,"Hammersmith and Fulham 010","E02000381",7625,3658,62,72,82,633,28,2340,2,1,0,2,2335,0,59,0,0,1,0,0,0,0,0,0,0,0,0,1,2,6,0,0,1,0,26,0,1,0,1,0,0,0,2,0,1,6,4,0,0,0,1,0,0,0,0,0,0,0,6,691
2021,"Hammersmith and Fulham 011","E02000382",6190,2738,79,94,45,556,14,2119,6,2,0,1,2110,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,14,0,6,0,2,0,0,0,0,0,1,8,3,2,0,0,0,0,0,0,0,0,0,0,1,499
2021,"Hammersmith and Fulham 012","E02000383",8460,3460,105,187,71,1109,27,2571,15,4,0,1,2551,0,46,0,0,4,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,9,0,3,0,2,0,0,1,2,0,1,6,3,1,0,0,0,0,3,0,0,1,0,0,2,884
2021,"Hammersmith and Fulham 013","E02000384",8264,3392,120,104,31,1113,13,2674,11,1,0,3,2659,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,1,0,3,0,1,1,0,0,0,3,3,0,0,0,1,0,0,0,0,3,0,0,1,781
2021,"Hammersmith and Fulham 014","E02000385",5617,2360,66,103,29,397,19,2138,7,5,0,3,2123,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,2,2,1,0,0,0,0,0,1,5,4,1,0,0,0,0,0,0,0,0,1,0,4,474
2021,"Hammersmith and Fulham 015","E02000386",7580,3335,76,66,16,1363,9,2099,11,3,0,1,2084,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,1,0,0,1,0,0,1,0,0,1,7,3,2,0,0,0,0,0,0,0,0,0,0,1,592
2021,"Hammersmith and Fulham 016","E02000387",6028,2935,59,108,24,561,19,1730,2,2,0,0,1726,0,32,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12,0,0,0,5,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,560
2021,"Hammersmith and Fulham 017","E02000388",8658,3957,101,103,53,680,13,2951,9,5,0,3,2934,0,48,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,17,0,2,1,3,0,0,1,0,0,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,752
2021,"Hammersmith and Fulham 018","E02000389",8646,4305,86,148,73,437,20,2813,8,2,0,2,2801,0,68,0,0,4,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,18,0,8,0,1,0,0,0,0,0,2,12,2,1,0,0,0,0,0,0,2,1,0,0,7,696
2021,"Hammersmith and Fulham 019","E02000390",6197,3029,31,38,31,471,10,2029,5,3,3,1,2017,0,29,0,0,2,0,0,0,0,0,2,0,0,0,0,4,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,1,0,0,0,529
2021,"Hammersmith and Fulham 020","E02000391",7584,3830,56,80,100,545,22,2199,3,3,0,0,2193,0,51,0,3,2,4,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,8,0,5,0,3,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,1,0,0,5,701
2021,"Hammersmith and Fulham 021","E02000392",9229,4596,70,72,57,872,7,2751,6,5,0,1,2739,0,46,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,15,0,5,0,2,0,0,1,0,1,0,7,3,1,0,0,0,0,0,0,0,1,0,0,2,758
2021,"Hammersmith and Fulham 022","E02000393",5976,3078,32,66,73,216,13,2028,4,0,0,0,2024,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,3,1,0,0,0,3,0,0,0,5,0,3,2,0,0,0,0,0,0,1,0,0,4,442
2021,"Hammersmith and Fulham 023","E02000394",9279,4342,74,121,61,1103,18,2735,5,2,0,2,2726,0,67,2,0,2,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,24,0,6,0,2,0,0,1,0,0,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,758
2021,"Hammersmith and Fulham 024","E02000395",5681,3091,52,29,58,163,6,1766,4,2,0,0,1760,0,43,0,0,1,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,13,2,1,0,0,0,0,0,0,0,1,8,4,1,0,1,0,0,0,0,1,0,0,0,0,473
2021,"Hammersmith and Fulham 025","E02000396",6897,3440,33,62,38,733,9,1994,6,4,0,0,1984,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,4,0,1,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,1,0,0,3,558
2021,"Haringey 001","E02000397",7905,3522,88,144,83,990,30,2281,8,1,0,2,2270,0,160,88,0,3,0,0,0,0,0,0,0,0,0,1,11,6,0,0,0,0,26,0,7,0,8,1,0,1,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,607
2021,"Haringey 002","E02000398",7522,3800,39,62,25,1540,26,1120,3,1,0,0,1116,0,285,238,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,26,0,1,0,4,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,3,625
2021,"Haringey 004","E02000400",7988,3296,68,158,129,992,14,2622,8,3,0,3,2608,0,188,150,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,14,0,0,0,3,0,0,1,0,0,0,8,2,1,0,0,0,0,0,0,1,0,0,0,1,521
2021,"Haringey 005","E02000401",6859,3039,92,74,27,1539,22,1298,4,0,0,0,1294,0,285,242,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,18,1,2,0,8,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,483
2021,"Haringey 006","E02000402",6472,2906,52,64,12,1328,22,1212,6,1,0,2,1203,0,350,316,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,16,0,1,0,3,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,526
2021,"Haringey 007","E02000403",7514,3421,113,141,44,881,35,2165,9,3,2,0,2151,0,106,57,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,12,0,5,1,5,0,0,0,1,0,0,4,1,3,0,1,1,0,0,0,0,1,0,1,0,608
2021,"Haringey 008","E02000404",7108,3203,91,133,22,1286,25,1578,4,0,1,1,1572,0,210,156,0,3,0,0,0,0,0,0,1,0,0,0,6,6,1,0,0,0,22,0,4,0,1,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,3,0,0,0,560
2021,"Haringey 009","E02000405",6474,2122,51,98,334,291,22,2987,4,3,0,1,2979,0,67,33,0,1,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,15,0,2,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,502
2021,"Haringey 010","E02000406",6736,2895,116,116,32,973,35,1743,4,2,0,2,1735,0,210,158,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,22,2,3,0,3,0,0,0,0,0,0,7,3,0,0,0,2,0,0,0,2,0,0,0,0,616
2021,"Haringey 011","E02000407",7602,3803,76,114,21,1160,25,1604,5,2,0,2,1595,0,164,109,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,4,0,13,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,635
2021,"Haringey 012","E02000408",8251,4174,63,79,32,1639,24,1404,5,0,0,2,1397,0,273,222,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,22,1,7,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,4,1,563
2021,"Haringey 013","E02000409",6061,2468,66,79,27,1330,35,1409,4,1,0,0,1404,0,241,196,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,26,2,0,0,3,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0,0,0,3,0,406
2021,"Haringey 014","E02000410",6416,2019,59,44,370,284,28,2973,12,2,0,2,2957,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,18,0,6,0,0,0,1,1,0,0,2,9,4,1,0,1,0,0,0,0,0,0,1,0,0,589
2021,"Haringey 015","E02000411",11428,5152,88,175,46,1814,33,3025,12,2,0,1,3010,0,304,193,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,58,0,12,6,11,0,0,0,0,0,0,9,2,1,3,0,1,0,0,0,0,1,0,0,1,791
2021,"Haringey 016","E02000412",7321,2875,96,131,18,1406,14,1881,5,2,1,0,1873,0,252,182,1,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,13,1,23,0,4,0,0,1,0,1,0,6,0,1,0,1,1,0,0,0,1,0,0,0,0,648
2021,"Haringey 017","E02000413",7765,2467,48,91,698,460,25,3226,14,3,0,4,3205,0,125,64,0,10,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,20,0,5,1,0,0,0,1,0,0,0,11,2,0,0,0,0,0,1,0,0,2,0,0,1,625
2021,"Haringey 018","E02000414",7078,3265,56,113,42,882,34,1995,8,4,0,1,1982,0,143,88,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,22,0,8,1,2,0,0,1,0,0,0,10,4,0,0,1,1,0,0,0,0,0,0,0,0,548
2021,"Haringey 019","E02000415",7238,3003,65,135,56,1159,23,2088,3,1,0,0,2084,0,103,59,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,2,2,0,0,1,606
2021,"Haringey 020","E02000416",8457,2769,98,117,128,884,44,3563,13,6,0,1,3543,0,217,151,0,1,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,20,1,7,0,6,0,1,1,0,3,1,10,4,1,0,0,0,0,1,0,0,1,1,0,1,637
2021,"Haringey 021","E02000417",6557,2204,58,88,410,202,25,2958,12,6,0,5,2935,0,72,21,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,14,0,7,0,1,0,0,0,0,0,0,9,1,2,1,0,0,0,0,0,0,8,0,0,3,540
