"date","geography","geography code","Accommodation type: Total: All households","Accommodation type: Detached","Accommodation type: Semi-detached","Accommodation type: Terraced","Accommodation type: In a purpose-built block of flats or tenement","Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop","Accommodation type: A caravan or other mobile or temporary structure"
2021,"Croydon 033","E02000226",2781,579,1679,379,71,20,4,49,0
2021,"Croydon 034","E02000227",4838,316,1693,1413,1342,44,8,21,1
2021,"Croydon 035","E02000228",3007,1653,865,30,388,36,10,25,0
2021,"Croydon 036","E02000229",2237,62,1046,481,556,44,0,48,0
2021,"Croydon 037","E02000230",4230,1243,869,358,1471,189,18,79,3
2021,"Croydon 038","E02000231",2749,1663,544,59,331,114,22,16,0
2021,"Croydon 039","E02000232",2370,770,1207,215,144,10,1,22,1
2021,"Croydon 040","E02000233",2396,480,878,455,488,61,15,18,1
2021,"Croydon 041","E02000234",3716,1056,927,634,883,123,10,81,2
2021,"Croydon 042","E02000235",2655,1193,790,172,431,51,9,8,1
2021,"Croydon 043","E02000236",3308,822,1563,706,138,62,4,13,0
2021,"Croydon 044","E02000237",3036,913,1410,325,318,36,10,23,1
2021,"Ealing 001","E02000238",3736,138,1164,1050,1121,187,39,35,2
2021,"Ealing 002","E02000239",2930,163,1024,1279,292,117,4,39,12
2021,"Ealing 003","E02000240",3895,120,1138,851,1601,159,5,19,2
2021,"Ealing 004","E02000241",2600,92,835,856,621,123,9,38,26
2021,"Ealing 005","E02000242",2231,106,848,850,239,137,17,31,3
2021,"Ealing 006","E02000243",3128,116,1291,556,877,251,6,28,3
2021,"Ealing 007","E02000244",2935,109,867,904,721,262,45,26,1
2021,"Ealing 008","E02000245",3355,103,502,647,1972,109,6,16,0
2021,"Ealing 009","E02000246",3071,93,1111,449,1285,95,3,34,1
2021,"Ealing 010","E02000247",3893,231,721,688,2075,114,10,37,17
2021,"Ealing 011","E02000248",2986,274,674,299,1361,307,25,43,3
2021,"Ealing 012","E02000249",2913,150,1021,397,1036,195,24,89,1
2021,"Ealing 013","E02000250",2542,96,674,939,661,118,12,41,1
2021,"Ealing 014","E02000251",2543,136,602,1377,279,116,7,25,1
2021,"Ealing 015","E02000252",4410,121,598,744,2357,485,25,63,17
2021,"Ealing 016","E02000253",3839,137,875,1092,1536,170,6,11,12
2021,"Ealing 017","E02000254",2612,168,858,1201,207,136,4,35,3
2021,"Ealing 018","E02000255",3788,154,848,797,1566,400,15,4,4
2021,"Ealing 019","E02000256",4026,380,611,228,1704,1018,43,39,3
2021,"Ealing 021","E02000258",2601,111,871,296,592,688,22,16,5
2021,"Ealing 022","E02000259",2395,165,696,615,509,350,22,37,1
2021,"Ealing 023","E02000260",2753,184,992,586,654,208,8,117,4
2021,"Ealing 024","E02000261",4975,175,887,410,2669,643,144,45,2
2021,"Ealing 025","E02000262",3946,108,529,446,1573,1110,42,135,3
2021,"Ealing 026","E02000263",3646,319,784,1510,646,288,28,58,13
2021,"Ealing 027","E02000264",3543,310,840,131,1042,1158,26,34,2
2021,"Ealing 028","E02000265",4734,102,660,990,1867,968,37,106,4
2021,"Ealing 029","E02000266",4296,209,926,816,2052,107,136,23,27
2021,"Ealing 030","E02000267",3221,96,511,1173,817,475,50,96,3
2021,"Ealing 031","E02000268",3865,216,901,997,917,741,37,47,9
2021,"Ealing 032","E02000269",3304,145,558,1324,575,582,41,75,4
2021,"Ealing 033","E02000270",4115,50,164,331,2872,574,70,34,20
2021,"Ealing 034","E02000271",2978,140,431,1140,592,577,57,40,1
2021,"Ealing 035","E02000272",2541,92,730,1124,349,228,9,8,1
2021,"Ealing 038","E02000275",2350,324,587,360,763,253,15,46,2
2021,"Ealing 039","E02000276",2723,63,332,983,684,584,18,58,1
2021,"Enfield 001","E02000277",2627,186,1027,721,551,124,3,13,2
2021,"Enfield 002","E02000278",3341,184,820,1058,1175,43,8,51,2
2021,"Enfield 003","E02000279",4415,345,767,1439,1634,157,39,33,1
2021,"Enfield 004","E02000280",3416,425,863,1061,863,117,26,41,20
2021,"Enfield 005","E02000281",3549,134,638,1278,1310,155,16,18,0
2021,"Enfield 006","E02000282",3468,154,581,803,1666,153,10,96,5
2021,"Enfield 007","E02000283",2800,213,886,1299,254,128,9,10,1
2021,"Enfield 008","E02000284",3617,143,706,1270,1173,209,27,88,1
2021,"Enfield 009","E02000285",2460,54,1251,908,178,51,1,16,1
2021,"Enfield 010","E02000286",4001,511,681,515,2096,145,26,27,0
2021,"Enfield 011","E02000287",2873,958,718,137,939,63,8,49,1
2021,"Enfield 012","E02000288",4053,271,838,1397,1130,283,64,63,7
2021,"Enfield 013","E02000289",2425,375,1709,156,166,10,3,6,0
2021,"Enfield 014","E02000290",2518,126,331,578,1353,92,7,20,11
2021,"Enfield 015","E02000291",4330,166,543,681,2457,309,58,114,2
2021,"Enfield 016","E02000292",3572,175,784,2032,347,195,8,27,4
2021,"Enfield 017","E02000293",2492,616,1011,190,564,86,2,23,0
2021,"Enfield 018","E02000294",3086,231,710,1492,485,133,7,23,5
2021,"Enfield 019","E02000295",3348,245,1327,331,1235,66,133,9,2
2021,"Enfield 020","E02000296",4040,212,701,756,2148,126,20,76,1
2021,"Enfield 021","E02000297",3475,179,1475,1203,473,101,5,37,2
2021,"Enfield 022","E02000298",3054,440,1453,346,392,346,14,62,1
2021,"Enfield 023","E02000299",3314,303,582,1419,697,213,31,65,4
2021,"Enfield 024","E02000300",3001,219,546,1239,680,281,11,19,6
2021,"Enfield 025","E02000301",3725,241,597,1240,1489,122,13,20,3
2021,"Enfield 026","E02000302",3115,79,956,1342,524,197,7,10,0
2021,"Enfield 027","E02000303",2976,161,960,530,1029,256,18,20,2
2021,"Enfield 028","E02000304",2911,292,1516,322,424,320,21,13,3
2021,"Enfield 029","E02000305",3453,105,548,856,707,1097,50,89,1
2021,"Enfield 030","E02000306",3400,131,379,502,2236,98,19,32,3
2021,"Enfield 031","E02000307",3343,272,750,1954,169,164,3,29,2
2021,"Enfield 032","E02000308",3226,113,622,1011,1169,253,26,29,3
2021,"Enfield 033","E02000309",3986,336,760,1476,1052,252,32,73,5
2021,"Enfield 035","E02000311",3636,174,718,1560,933,219,6,26,0
2021,"Enfield 036","E02000312",4495,133,745,1029,1267,1201,47,66,7
2021,"Greenwich 001","E02000313",2596,117,224,699,1394,137,9,8,8
2021,"Greenwich 002","E02000314",4536,299,876,1531,1754,47,8,19,2
2021,"Greenwich 003","E02000315",3491,128,461,1399,1397,50,6,19,31
2021,"Greenwich 005","E02000317",2822,69,248,726,1598,122,32,25,2
2021,"Greenwich 006","E02000318",3581,277,650,1649,594,319,18,74,0
2021,"Greenwich 007","E02000319",3922,196,430,1495,1496,253,18,27,7
2021,"Greenwich 008","E02000320",2557,121,304,1299,754,68,1,9,1
2021,"Greenwich 009","E02000321",2960,94,255,908,1514,165,16,8,0
2021,"Greenwich 011","E02000323",4821,141,323,1041,2643,490,98,82,3
2021,"Greenwich 012","E02000324",2854,111,753,492,1232,226,8,30,2
2021,"Greenwich 014","E02000326",3046,113,316,1283,898,401,11,24,0
2021,"Greenwich 015","E02000327",2635,76,269,729,1212,174,151,23,1
2021,"Greenwich 016","E02000328",2944,158,435,435,1262,606,33,13,2
2021,"Greenwich 017","E02000329",2464,88,810,1050,313,181,9,12,1
2021,"Greenwich 019","E02000331",3188,97,771,840,1265,182,17,14,2
2021,"Greenwich 020","E02000332",2999,218,720,1138,614,249,55,3,2
2021,"Greenwich 021","E02000333",2883,323,391,323,851,913,48,34,0
2021,"Greenwich 022","E02000334",2542,144,1139,741,296,43,175,4,0
2021,"Greenwich 023","E02000335",2591,44,1099,1130,247,40,9,21,1
2021,"Greenwich 025","E02000337",3087,96,1492,1016,403,54,16,9,1
2021,"Greenwich 027","E02000339",2591,117,702,956,621,107,15,70,3
2021,"Greenwich 028","E02000340",3020,292,784,402,1290,156,15,79,2
2021,"Greenwich 029","E02000341",2941,153,749,839,890,285,8,16,1
2021,"Greenwich 030","E02000342",2341,74,740,617,829,53,2,25,1
2021,"Greenwich 031","E02000343",2689,139,1256,471,684,117,2,19,1
2021,"Greenwich 032","E02000344",2446,160,1523,272,352,109,7,22,1
2021,"Hackney 001","E02000345",2590,81,186,661,1039,520,58,34,11
2021,"Hackney 002","E02000346",3971,16,53,38,3661,125,6,43,29
2021,"Hackney 003","E02000347",2577,53,173,325,1244,752,11,18,1
2021,"Hackney 004","E02000348",2722,45,90,300,1942,300,19,24,2
2021,"Hackney 006","E02000350",3694,60,96,673,1167,1538,109,49,2
2021,"Hackney 007","E02000351",4230,42,146,311,1892,1716,29,74,20
2021,"Hackney 008","E02000352",2690,27,121,464,1569,457,32,17,3
2021,"Hackney 009","E02000353",3156,34,98,1179,866,674,168,135,2
2021,"Hackney 010","E02000354",3989,77,145,473,2141,1046,72,30,5
2021,"Hackney 011","E02000355",3113,76,149,1096,651,1029,47,57,8
2021,"Hackney 012","E02000356",3061,22,58,746,1115,938,135,43,4
2021,"Hackney 013","E02000357",2724,52,105,289,2167,60,15,21,15
2021,"Hackney 014","E02000358",4814,69,133,856,2486,940,234,93,3
2021,"Hackney 015","E02000359",2437,81,198,1074,603,374,75,31,1
2021,"Hackney 016","E02000360",4849,55,84,394,3476,630,157,45,8
2021,"Hackney 017","E02000361",3678,31,101,353,2000,837,165,184,7
2021,"Hackney 018","E02000362",2803,80,220,574,1539,263,100,22,5
2021,"Hackney 019","E02000363",4441,19,84,326,3742,128,101,37,4
2021,"Hackney 020","E02000364",4099,53,309,667,1720,1090,206,47,7
2021,"Hackney 022","E02000366",3540,73,197,814,1614,631,153,56,2
2021,"Hackney 023","E02000367",4593,70,138,631,2829,463,335,108,19
2021,"Hackney 024","E02000368",4153,64,182,401,3216,218,38,22,12
2021,"Hackney 025","E02000369",5930,34,101,306,5086,99,212,56,36
2021,"Hackney 026","E02000370",3991,27,32,133,3410,86,276,16,11
2021,"Hammersmith and Fulham 001","E02000372",3876,142,501,1150,1674,329,19,26,35
2021,"Hammersmith and Fulham 002","E02000373",2537,38,142,185,2099,47,10,14,2
2021,"Hammersmith and Fulham 003","E02000374",2616,73,352,696,944,518,13,17,3
2021,"Hammersmith and Fulham 004","E02000375",3497,30,93,442,1951,875,46,59,1
2021,"Hammersmith and Fulham 005","E02000376",3188,36,101,315,1174,1391,47,123,1
2021,"Hammersmith and Fulham 006","E02000377",3449,46,134,587,1413,1151,41,73,4
2021,"Hammersmith and Fulham 007","E02000378",3252,13,55,239,1696,1172,42,32,3
2021,"Hammersmith and Fulham 008","E02000379",3103,73,388,491,1584,497,58,10,2
2021,"Hammersmith and Fulham 009","E02000380",2498,17,72,847,589,899,49,23,2
2021,"Hammersmith and Fulham 010","E02000381",3548,18,87,729,1350,1285,35,43,1
2021,"Hammersmith and Fulham 011","E02000382",2771,49,229,548,1369,430,67,77,2
2021,"Hammersmith and Fulham 012","E02000383",4110,16,32,161,2784,1047,40,27,3
2021,"Hammersmith and Fulham 013","E02000384",3806,30,114,421,2412,692,47,69,21
