"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"Camden 023","E02000188",2694,949,356,94,308,21,33,273,13,110,485,52
2021,"Camden 026","E02000191",2143,1162,181,59,77,9,9,78,18,64,468,18
2021,"Camden 027","E02000192",3148,1608,215,95,252,22,15,198,13,129,552,49
2021,"Camden 028","E02000193",2824,1540,219,61,177,27,10,97,10,90,548,45
2021,"Croydon 001","E02000194",5002,2515,205,405,465,20,48,877,46,151,212,58
2021,"Croydon 002","E02000195",4584,1865,188,261,491,25,48,1317,87,98,141,63
2021,"Croydon 003","E02000196",3754,1195,231,380,478,30,59,996,72,74,171,68
2021,"Croydon 004","E02000197",4462,1433,271,549,557,18,76,1107,89,89,195,78
2021,"Croydon 005","E02000198",4268,1220,254,420,765,28,39,1140,66,70,186,80
2021,"Croydon 006","E02000199",4252,1450,211,499,578,48,39,1039,64,80,197,47
2021,"Croydon 007","E02000200",4736,1998,215,594,521,16,37,950,50,92,191,72
2021,"Croydon 008","E02000201",4194,1459,223,558,625,36,28,920,56,74,161,54
2021,"Croydon 009","E02000202",4119,1186,217,351,659,24,93,1129,71,87,250,52
2021,"Croydon 010","E02000203",3716,1003,190,457,646,39,41,830,61,81,275,93
2021,"Croydon 011","E02000204",4341,1106,206,365,748,23,39,1214,99,101,361,79
2021,"Croydon 013","E02000206",5105,1576,259,661,751,29,51,1236,74,77,319,72
2021,"Croydon 014","E02000207",4360,1565,288,452,468,26,34,1125,70,53,220,59
2021,"Croydon 015","E02000208",4710,1175,210,425,788,39,54,1226,80,74,547,92
2021,"Croydon 016","E02000209",4233,989,359,236,681,18,29,1353,107,54,338,69
2021,"Croydon 017","E02000210",4581,1800,230,419,471,21,41,1150,107,66,223,53
2021,"Croydon 018","E02000211",4077,1574,94,276,198,20,24,1585,107,37,129,33
2021,"Croydon 019","E02000212",4224,883,274,282,787,33,30,1154,91,64,546,80
